Year,Zone Code,Zone Name,Sample Id,Date,Postcode,Parameter,PCV,Result,Units
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1951188,06-Jan-14,BT52 1GA,Aluminium,200,38,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1951512,08-Jan-14,BT55 7RY,Aluminium,200,29,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1952141,13-Jan-14,BT56 8AD,Aluminium,200,24,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1952400,15-Jan-14,BT51 5EH,Aluminium,200,22,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1952762,20-Jan-14,BT51 4LJ,Aluminium,200,23,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1953371,27-Jan-14,BT52 2JJ,Aluminium,200,24,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1953604,29-Jan-14,BT55 7AX,Aluminium,200,22,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1960289,03-Feb-14,BT51 3RF,Aluminium,200,29,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1961788,10-Feb-14,BT55 7RH,Aluminium,200,22,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1962097,12-Feb-14,BT44 8SZ,Aluminium,200,27,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1962587,17-Feb-14,BT53 6LD,Aluminium,200,42,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1965502,24-Feb-14,BT52 2AN,Aluminium,200,36,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1968775,26-Feb-14,BT51 4DA,Aluminium,200,13,ug Al/l
2014,ZN0101,Ballinrees Coleraine,ZN0101AE-14-1969489,03-Mar-14,BT51 5RS,Aluminium,200,21,ug Al/l
