DCA,Jobs,Innovation & Technology,Developing Trade,Skills,R&D,Other,Total Support 
Antrim and Newtownabbey,23.47,1.9,0.74,2.48,16.64,2.02,47.25
Ards and North Down,8.59,1.63,0.57,0.66,2.72,1.32,15.49
"Armagh City, Banbridge and Craigavon",32.64,3.61,1.1,5.2,15.37,1.97,59.89
Belfast,84.45,5.39,2.41,25.13,45.44,19.98,182.8
Causeway Coast and Glens,7.43,1.97,0.39,0.75,2.89,1.48,14.91
Derry City and Strabane,19.37,2.11,0.56,3.02,10.43,1.26,36.75
Fermanagh and Omagh,12.55,1.97,0.52,1.01,3.13,0.96,20.15
Lisburn and Castlereagh,13.72,2.78,1.14,2.45,8.3,1.79,30.17
Mid and East Antrim,11.42,1.82,0.46,4.9,8.58,2.24,29.43
Mid Ulster,31.43,5.51,1.57,5.73,10.75,4.56,59.56
"Newry, Mourne and Down",13.85,3.1,0.79,1.67,4.86,2.93,27.19
Northern Ireland,262.05,31.81,10.24,53.06,130.24,40.48,527.88
