TEMA,SURVEY,SHAPE_Length,OBJECTID
MOTORWAY,20050114,328.110143,1
MOTORWAY,20050114,436.58125,2
MOTORWAY,20050114,424.345572,3
MOTORWAY,20050202,390.150259,4
MOTORWAY,20050202,128.443534,5
MOTORWAY,20031029,220.989616,6
MOTORWAY,20031029,263.080483,7
MOTORWAY,20031029,637.788527,8
MOTORWAY,20031029,642.244659,9
MOTORWAY,20031029,106.055752,10
MOTORWAY,20060307,1276.120466,11
MOTORWAY,20060307,919.93389,12
MOTORWAY,20060307,1011.242299,13
MOTORWAY,20060307,46.27818,14
MOTORWAY,20031029,214.384787,15
MOTORWAY,20031029,184.488258,16
MOTORWAY,20031029,181.784921,17
MOTORWAY,20031029,150.64332,18
MOTORWAY,20031029,2537.163765,19
MOTORWAY,20031029,1518.033772,20
MOTORWAY,20031029,118.364914,21
MOTORWAY,20060309,528.575933,22
MOTORWAY,20060309,536.06934,23
MOTORWAY,20060309,607.778045,24
MOTORWAY,20031029,1441.816289,25
MOTORWAY,20050114,1510.295363,26
MOTORWAY,20031029,293.80402,27
MOTORWAY,20031029,682.380502,28
MOTORWAY,20060309,3547.177985,29
MOTORWAY,20031015,447.67663,30
MOTORWAY,20031015,525.161655,31
MOTORWAY,20060309,501.180937,32
MOTORWAY,20060309,476.648131,33
MOTORWAY,20060309,474.804679,34
MOTORWAY,20060309,1317.818627,35
MOTORWAY,20060309,1075.513004,36
MOTORWAY,20060309,108.289984,37
MOTORWAY,20060307,902.440923,38
MOTORWAY,20060307,306.812745,39
MOTORWAY,20060307,251.841882,40
MOTORWAY,20060307,2352.486318,41
MOTORWAY,20060307,45.882793,42
MOTORWAY,20031029,493.691194,43
MOTORWAY,20031029,136.990138,44
MOTORWAY,20060309,519.244057,45
MOTORWAY,20060309,471.775288,46
MOTORWAY,20031029,331.254443,47
MOTORWAY,20031029,339.47028,48
MOTORWAY,20031029,202.666929,49
MOTORWAY,20050114,226.429734,50
MOTORWAY,20050114,374.008299,51
MOTORWAY,20060307,3033.400359,52
MOTORWAY,20050114,0.830721,53
MOTORWAY,20031029,57.995211,54
MOTORWAY,20031029,28.154804,55
MOTORWAY,20031029,160.646474,56
MOTORWAY,20050114,0.324353,57
MOTORWAY,20050114,76.615615,58
MOTORWAY,20050114,220.998081,59
MOTORWAY,20060309,378.372728,60
MOTORWAY,20060309,427.76752,61
MOTORWAY,20050114,1064.012434,62
MOTORWAY,20050114,1619.698485,63
MOTORWAY,20060307,4984.936097,64
MOTORWAY,20050114,1546.584162,65
MOTORWAY,20050114,15.225585,66
MOTORWAY,20050114,30.534154,67
MOTORWAY,20050114,78.67309,68
MOTORWAY,20050114,23.791864,69
MOTORWAY,20060309,457.494877,70
MOTORWAY,20060309,436.356835,71
MOTORWAY,20060309,1649.349795,72
MOTORWAY,20060309,2532.845312,73
MOTORWAY,20060309,479.157779,74
MOTORWAY,20031029,12.085541,75
MOTORWAY,20031029,550.882895,76
MOTORWAY,20031029,410.221238,77
MOTORWAY,20031029,1315.517385,78
MOTORWAY,20031029,426.527357,79
MOTORWAY,20031029,418.009684,80
MOTORWAY,20031029,490.066591,81
MOTORWAY,20050114,207.802877,82
MOTORWAY,20050114,143.142085,83
MOTORWAY,20050114,624.920561,84
MOTORWAY,20050114,1958.546855,85
MOTORWAY,20050114,121.113483,86
MOTORWAY,20050114,8857.682095,87
MOTORWAY,20031015,587.331572,88
MOTORWAY,20031015,345.570395,89
MOTORWAY,20050131,187.294997,90
MOTORWAY,20050131,468.117591,91
MOTORWAY,20050131,87.309945,92
MOTORWAY,20050114,26.106698,93
MOTORWAY,20050114,3041.531766,94
MOTORWAY,20050114,927.247739,95
MOTORWAY,20050114,810.790562,96
MOTORWAY,20050114,265.243618,97
MOTORWAY,20050114,270.385899,98
MOTORWAY,20031029,291.656008,99
MOTORWAY,20031029,300.658637,100
MOTORWAY,20060309,827.823267,101
MOTORWAY,20060309,845.838658,102
MOTORWAY,20031015,365.328145,103
MOTORWAY,20031015,690.152148,104
MOTORWAY,20050114,874.406928,105
MOTORWAY,20050114,1147.760089,106
MOTORWAY,20031029,301.325672,107
MOTORWAY,20050114,259.166771,108
MOTORWAY,20050202,46.268014,109
MOTORWAY,20050202,2192.498476,110
