Field Name,Dedicated Division,Facility,Neighborhood,Battting Cage,Concession Stand,Back Stop,Infield,Goal Post,Lights,Left,Center,Right,Permit,Drag,Pashek Map Number,Field Renovated,CD,Lights Renovated,Control Link,,,,,,
Herschel Field #1 (Lower),Western,HERSCHEL PLAYGROUND,Elliott,,1,1,1,,1,315,387,367,Yes,Yes,53,"2004 (R. Sprow $9,756.50)",Yes,yes 9-2003,Yes,,,,,,
Herschel Field #2,Western,HERSCHEL PLAYGROUND,Elliott,1,1,1,1,,1,180,180,180,Yes,Yes,55,2002 (Construction Division),Yes,,Yes,,,,,,
Heth's Field #1,Northeast,HETHS PLAYGROUND,Morningside,,1,1,1,,,376,315,195,Yes,Yes,56,"2004 (R.Sprow $8,220.29)",No,,No,,,,,,
Heth's Field #2,Northeast,HETHS PLAYGROUND,Morningside,,1,1,1,,,362,270,182,Yes,Yes,57,"2004 (R.Sprow $7,763.13)",No,,No,,,,,,
Heth's Field #3,Northeast,HETHS PLAYGROUND,Morningside,,1,1,1,,,,,,Yes,Yes,58,,No,,No,,,,,,
Horace Mann Field,Northern,HORACE MANN FIELD,Marshall-Shadeland,,,1,1,,1,290,340,240,Yes,Yes,61,,Yes,,No,,,,,,
Jim Rawe Field,Western,ALTON PLAYGROUND,Beechview,,,1,,,,,,,Yes,Yes,2,2006 ?,No,,No,,,,,,
Joe Natoli Field #1,Northeast,JOE NATOLI PLAYGROUND,Morningside,,1,1,1,,1,337,351,290,Yes,Yes,62,2009,No,Yes 2009,Yes,,,,,,
Joe Natoli Field #2,Northeast,JOE NATOLI PLAYGROUND,Morningside,1,1,1,1,2,1,254,311,227,Yes,Yes,63,2009( just touched up),No,Yes 2009,Yes,,,,,,
Joe Natoli Field #3,Northeast,JOE NATOLI PLAYGROUND,Morningside,,1,1,,,1,,,,Yes,No,,,No,Yes 2009,Yes,,,,,,
John McGrane Field #1,Northeast,LESLIE PARK,Central Lawrenceville,,1,1,1,,1,413,320,205,Yes,Yes,66,"2004 (R. Sprow $6,579.00)",Yes,,Yes,,,,,,
John McGrane Field #2,Northeast,LESLIE PARK,Central Lawrenceville,1,1,1,1,,1,417,296,263,Yes,Yes,67,"2004 (R. Sprow $9,854.50)",Yes,,Yes,,,,,,
John Merry Field #3,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,1,1,1,1,,,320,375,252,Yes,Yes,17,,No,,No,,,,,,
Kennard Field #1,Schenley,KENNARD PLAYGROUND,Terrace Village,,1,1,1,2,1,395,453,345,Yes,Yes,65,"2004 (R. Sprow $8,178.30)",Yes,,Yes,,,,,,
Larimer Field,Northeast,LARIMER PLAYGROUND,Larimer,,,1,1,,,193,216,127,Yes,No,,,Yes,,No,,,,,,
Loretta Miller Field,Southern,McKINLEY PARK,Beltzhoover,,1,1,1,,,195,175,140,Yes,Yes,76,"2005 (R. Sprow $10,982.90)",Yes,,No,,,,,,
M.L.King School,State,ALLEGHENY COMMONS PARK,Allegheny Center,,,1,1,,,190,276,190,Yes,Yes,40,,Yes,,No,,,,,,
Magee Field #1,Schenley,MAGEE PLAYGROUND,Greenfield,,1,1,1,,1,362,324,209,Yes,Yes,68,"2004 (R. Sprow $17,626.88)",No,,Yes,,,,,,
Magee Field #2,Schenley,MAGEE PLAYGROUND,Greenfield,,1,1,1,1,1,304,362,280,Yes,Yes,69,"2004 (R. Sprow $17,626.88)",No,,Yes,,,,,,
Manchester Field,Northern,MANCHESTER PLAYGROUND,Manchester,,,1,1,,1,315,401,350,Yes,Yes,70,,Yes,,Yes,,,,,,
Marmaduke Field,Northern,MARMADUKE PLAYGROUND,Brighton Heights,,,1,1,,,,,,Yes,No,71,,No,,No,,,,,,
Mazeroski Field,Schenley,SCHENLEY PARK,Squirrel Hill South,,,1,1,,,182,185,182,Yes,Yes,64,2004 (Pampena),No,,No,,,,,,
McBride Park Field,Southern,McBRIDE PARK,Lincoln Place,,,1,1,,,299,327,179,Yes,Yes,73,"2004 (R.Sprow 7,216.40)",No,,No,,,,,,
McGonigle Field,Western,McGONIGLE PLAYGROUND,Sheraden,1,1,1,1,,,200,222,250,Yes,Yes,74,,No,,No,,,,,,
