PCA / Ownership / Year,Support £m,Investment £m,Jobs Promoted,No of Businesses,Offers
BELFAST SOUTH - External - 2011-12,5.26,50.72,624,25,39
BELFAST SOUTH - Local - Total,35.07,170.53,"2,510",720,"1,932"
BELFAST SOUTH - Local - 2015-16,4.3,21.4,275,190,323
BELFAST SOUTH - Local - 2014-15,10.29,64.07,943,253,398
BELFAST SOUTH - Local - 2013-14,7.94,35.12,604,270,423
BELFAST SOUTH - Local - 2012-13,5.4,19.19,312,237,413
BELFAST SOUTH - Local - 2011-12,7.15,30.76,377,205,375
BELFAST WEST -All - Total,14.04,100.07,"1,304",521,851
BELFAST WEST - External - Total,4.5,37.29,409,15,60
BELFAST WEST - External - 2015-16,0.11,0.91,12,5,11
BELFAST WEST - External - 2014-15,0.96,3.63,-,7,14
BELFAST WEST - External - 2013-14,0.22,1.3,29,5,11
BELFAST WEST - External - 2012-13,1.63,12.99,201,5,15
BELFAST WEST - External - 2011-12,1.58,18.46,167,5,9
BELFAST WEST - Local - All,9.54,62.78,895,509,791
BELFAST WEST - Local - 2015-16,0.73,3.87,48,103,145
BELFAST WEST - Local - 2014-15,0.96,4.32,251,187,217
BELFAST WEST - Local - 2013-14,5.54,45.37,307,152,181
BELFAST WEST - Local - 2012-13,1.55,6.56,169,94,145
BELFAST WEST - Local - 2011-12,0.76,2.66,121,70,103
EAST ANTRIM - All - Total,15.49,120.74,"1,158",192,595
EAST ANTRIM - External -Total,10.9,100.76,672,10,81
EAST ANTRIM - External -2015-16,1.13,6.5,-,7,8
EAST ANTRIM - External -2014-15,3.49,32.05,33,6,16
EAST ANTRIM - External -2013-14,3.46,41.95,202,4,22
EAST ANTRIM - External -2012-13,2.8,20.22,437,6,25
EAST ANTRIM - External -2011-12,0.02,0.04,-,3,10
EAST ANTRIM - Local - Total,4.59,19.97,486,182,514
EAST ANTRIM - Local - 2015-16,0.53,2.83,34,46,76
EAST ANTRIM - Local - 2014-15,0.72,3,113,60,100
EAST ANTRIM - Local - 2013-14,1.01,4.95,119,67,102
EAST ANTRIM - Local - 2012-13,1.12,5.29,78,60,107
EAST ANTRIM - Local - 2011-12,1.21,3.91,142,67,129
EAST LONDONDERRY - All - Total,9.71,56.18,948,356,828
EAST LONDONDERRY - External - Total,0.17,2.77,1,5,20
EAST LONDONDERRY - External - 2015-16,0,0,-,2,2
EAST LONDONDERRY - External - 2014-15,0,0,-,1,1
EAST LONDONDERRY - External - 2013-14,0.09,2.45,-,2,2
EAST LONDONDERRY - External - 2012-13,0.07,0.16,1,4,8
EAST LONDONDERRY - External - 2011-12,0,0.16,-,4,7
EAST LONDONDERRY - Local - Total,9.54,53.4,947,351,808
EAST LONDONDERRY - Local - 2015-16,1.73,15.01,163,94,144
EAST LONDONDERRY - Local - 2014-15,1.52,6.93,213,117,181
EAST LONDONDERRY - Local - 2013-14,2.5,10.66,253,114,194
EAST LONDONDERRY - Local - 2012-13,2.42,16.89,159,102,158
EAST LONDONDERRY - Local - 2011-12,1.37,3.92,158,89,131
FERMANAGH AND SOUTH TYRONE  - All - Total,30.68,213.44,"3,182",482,"1,644"
FERMANAGH AND SOUTH TYRONE  - External - Total,6.37,57.33,997,20,102
FERMANAGH AND SOUTH TYRONE  - External - 2015-16,2.91,28.6,810,9,16
FERMANAGH AND SOUTH TYRONE  - External - 2014-15,2.11,18.37,147,7,19
FERMANAGH AND SOUTH TYRONE  - External - 2013-14,0.31,1.47,1,4,14
FERMANAGH AND SOUTH TYRONE  - External - 2012-13,0.55,4.48,20,11,30
FERMANAGH AND SOUTH TYRONE  - External - 2011-12,0.49,4.4,19,7,23
