SAMPLENO,AG,AL,AS_,AU,BA,BE,BI,BR,CD,CE,CO,CR,CS,CU,HO,K,LA,LI,LU,MN,MO,ND,NI,P,PB,PD,PT,RB,RH,SB,SE,SN,SR,TH,TI,TL,U,V,W,Y,ZN,ZR,B,CA,FE,MG,NA,SI,SO4,EASTING,NORTHING
550001,0.0000,194.6510,2.5160,,91.5490,0.0310,,,0.0220,0.6710,0.7660,0.8750,0.0080,2.1140,0.0250,0.9240,0.2770,0.5300,0.0150,0.2060,0.1220,0.3460,1.6303,0.0380,0.5210,,,0.8560,,0.0570,-0.2110,0.0890,33.1310,,,0.0120,0.0830,0.7590,,0.5760,5.2000,0.6740,0.0110,13.7610,2.8370,2.3920,7.6660,1.8610,4.8760,252580,370800
550002,-0.0030,187.5110,1.4270,,9.2240,-0.0060,,,0.0080,0.9080,1.7820,0.6520,0.0000,1.1680,0.0180,0.2050,0.2580,0.8090,0.0080,0.3470,0.0150,0.3800,1.4319,0.0150,0.3330,,,0.3780,,0.0210,-0.6010,0.0950,15.4180,,,-0.0010,0.1270,0.1490,,0.5450,0.7700,0.2770,0.0050,3.7150,1.4330,1.6930,5.5310,2.0530,2.3240,250820,377800
550003,-0.0040,253.0520,0.9360,,35.3140,0.0030,,,0.0270,0.3370,0.4650,1.0980,0.0140,2.5970,0.0100,2.0980,0.1580,0.8920,0.0040,0.0710,0.0930,0.2240,1.6871,0.0930,0.7200,,,1.9780,,0.0680,-0.0360,0.0790,39.2570,,,0.0030,0.0670,1.2210,,0.3250,4.0200,0.3720,0.0210,14.6830,1.2300,3.2920,8.9620,2.7400,6.5720,259680,371450
550004,-0.0020,64.2770,1.2800,,55.2470,0.0340,,,0.0160,0.1790,0.6740,1.0970,0.0060,2.0450,0.0150,3.8070,0.0800,0.5570,0.0070,0.1770,0.0890,0.1130,2.3240,0.0890,0.2620,,,2.6610,,0.0490,0.6480,0.0710,51.1180,,,0.0050,0.0230,0.9840,,0.3780,9.6000,0.3920,0.0170,20.7340,1.9280,5.2500,9.1270,3.8650,7.8400,256280,371600
550005,0.0000,41.5820,0.4750,,5.4560,0.0070,,,0.0000,0.0990,0.2490,0.5320,0.0060,0.7710,0.0050,0.4810,0.0530,0.2700,0.0020,0.3160,0.0330,0.0740,0.7510,0.0290,0.2950,,,0.4170,,0.0520,0.0540,0.0680,28.8590,,,0.0060,0.0710,0.2680,,0.1670,2.8600,0.1120,0.0040,15.0180,1.1740,4.1620,9.3650,3.0550,4.9500,258600,379230
550006,0.0030,83.9020,2.4490,,11.7120,0.0070,,,0.0340,0.5790,1.2190,0.5840,0.0010,1.3430,0.0160,0.1980,0.1850,0.3840,0.0060,0.3730,0.0170,0.2370,1.5820,0.0240,0.3160,,,0.5460,,0.0560,0.8360,0.0780,15.8520,,,0.0040,0.0760,0.1780,,0.3820,50.5600,0.5240,0.0060,3.3290,1.0080,1.5030,5.2320,1.7410,2.4260,248510,376480
550007,0.0030,132.0470,0.6790,,14.5410,0.0080,,,0.0380,0.1420,0.7800,0.7140,0.0080,5.2170,0.0070,4.1730,0.0830,0.5310,0.0020,0.3060,0.1060,0.1130,1.1930,0.6920,0.9120,,,2.6790,,0.0640,0.4320,0.1260,46.6610,,,0.0070,0.0210,0.5680,,0.2090,11.6400,0.0960,0.1130,20.6570,0.5960,4.3180,13.7570,4.0440,15.5100,256880,375670
550008,-0.0020,72.2020,1.2530,,7.4140,-0.0130,,,0.0190,0.3090,1.9300,0.4950,-0.0040,2.6400,0.0090,1.4080,0.1280,0.6710,0.0070,0.1940,0.4290,0.1670,5.1018,0.0580,0.4800,,,1.6010,,0.0870,0.2870,0.0790,180.0060,,,0.0020,0.1400,0.1540,,0.2970,4.6400,0.4880,0.0300,28.6850,1.2300,4.7630,15.8310,3.6710,9.5720,259700,408950
550009,0.0060,41.1870,5.7390,,19.1430,0.0090,,,0.0240,0.1770,0.2540,0.3290,0.0050,2.4340,0.0040,2.2730,0.0740,0.5130,0.0020,0.0350,0.1460,0.0990,2.4270,0.0590,0.3990,,,1.4660,,0.1470,0.6740,0.0440,37.3540,,,0.0020,0.0890,0.1990,,0.1960,9.9600,0.1270,0.0120,14.7430,0.7360,3.5160,7.6900,2.6320,6.5220,249410,374100
550011,-0.0020,13.0180,0.7270,,9.8890,0.0060,,,0.0100,0.0670,0.2090,0.1900,0.0010,2.7600,0.0020,3.4360,0.0480,0.5000,0.0010,0.0130,0.2310,0.0520,1.8100,0.2480,0.1830,,,2.3080,,0.0870,0.3780,0.0650,109.3980,,,0.0070,0.1550,0.4270,,0.0890,8.9600,0.0380,0.0280,26.1990,0.0460,5.1690,16.1660,3.6250,11.1860,256300,409280
