OBJECTID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,BFE_REVERT,DEP_REVERT,SOURCE_CIT
68,1447,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
69,1476,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
70,1477,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
71,1482,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
72,1484,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
73,1485,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
74,1488,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
75,1495,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
76,1496,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
77,1497,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
78,1503,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
79,1507,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
80,1508,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
81,1517,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
82,1523,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
83,1532,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
84,1536,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
85,1539,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
86,1540,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
87,1547,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
88,1548,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
89,1549,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
90,1550,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
91,1551,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
92,1552,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
93,1553,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
94,1555,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
95,1727,AE, ,T,729,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1
96,1728,AE, ,T,729,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1
97,1729,AE, ,T,733,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1
98,1808,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
99,1809,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
100,1813,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
101,1814,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
102,1815,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
103,1819,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
104,1820,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
105,1824,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
106,1827,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
107,1841,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
108,1842,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
109,1850,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
110,1851,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
111,1855,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
112,1856,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
113,1861,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
114,1863,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
115,1896,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
116,1899,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
117,1923,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
118,1925,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
119,1926,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
120,1937,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
121,1944,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
122,1946,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
123,1948,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
124,1989,AE, ,T,732,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1
125,2033,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
126,2036,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
127,2124,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
128,2138,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
129,2143,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
130,2148,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
131,2150,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
132,2151,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
133,2155,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
134,2156,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
135,2168,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
136,2169,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
137,2170,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
138,2171,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
139,2180,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
140,2185,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
141,2189,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
142,2190,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
143,2193,AE, ,T,732,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1
144,2194,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
145,2195,AE, ,T,731,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1
146,2203,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
147,2228,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
148,2238,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
149,2239,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
150,2503,AE, ,T,727,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1
151,2595,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
152,2611,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
153,2718,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
154,2719,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
155,3285,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
156,3789,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
157,3927,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
158,3928,A, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
159,4083,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
160,4084,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
161,4086,AE, ,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
162,4146,AE,FLOODWAY,T,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1
