Council/Group Name,Statement Category,Financial Item,FY Ending,Value ($000)
Metro,F_Income,7001_Rates income (excl. metered water),2013,804855
Metro,F_Income,7001_Rates income (excl. metered water),2014,843597
Metro,F_Income,7001_Rates income (excl. metered water),2015,880975
Metro,F_Income,7001_Rates income (excl. metered water),2016,919816
Metro,F_Income,7001_Rates income (excl. metered water),2017,959352
Metro,F_Income,7001_Rates income (excl. metered water),2018,994689
Metro,F_Income,7001_Rates income (excl. metered water),2019,1034513
Metro,F_Income,7001_Rates income (excl. metered water),2020,1081829
Metro,F_Income,7001_Rates income (excl. metered water),2021,1121407
Metro,F_Income,7001_Rates income (excl. metered water),2022,1160175
Metro,F_Income,7002_Subsidies & grants income,2013,102988
Metro,F_Income,7002_Subsidies & grants income,2014,102150
Metro,F_Income,7002_Subsidies & grants income,2015,109566
Metro,F_Income,7002_Subsidies & grants income,2016,100388
Metro,F_Income,7002_Subsidies & grants income,2017,95213
Metro,F_Income,7002_Subsidies & grants income,2018,84682
Metro,F_Income,7002_Subsidies & grants income,2019,103302
Metro,F_Income,7002_Subsidies & grants income,2020,85267
Metro,F_Income,7002_Subsidies & grants income,2021,91162
Metro,F_Income,7002_Subsidies & grants income,2022,97123
Metro,F_Income,7003_Other income,2013,392726
Metro,F_Income,7003_Other income,2014,406848
Metro,F_Income,7003_Other income,2015,418043
Metro,F_Income,7003_Other income,2016,433364
Metro,F_Income,7003_Other income,2017,449446
Metro,F_Income,7003_Other income,2018,460195
Metro,F_Income,7003_Other income,2019,474151
Metro,F_Income,7003_Other income,2020,490456
Metro,F_Income,7003_Other income,2021,505006
Metro,F_Income,7003_Other income,2022,521654
Metro,F_Income,7004_Development & financial contributions,2013,25322
Metro,F_Income,7004_Development & financial contributions,2014,28955
Metro,F_Income,7004_Development & financial contributions,2015,33799
Metro,F_Income,7004_Development & financial contributions,2016,35840
Metro,F_Income,7004_Development & financial contributions,2017,41986
Metro,F_Income,7004_Development & financial contributions,2018,44653
Metro,F_Income,7004_Development & financial contributions,2019,48217
Metro,F_Income,7004_Development & financial contributions,2020,46471
Metro,F_Income,7004_Development & financial contributions,2021,46977
Metro,F_Income,7004_Development & financial contributions,2022,47615
Metro,F_Income,7005_Total operating income,2013,1350357
Metro,F_Income,7005_Total operating income,2014,1412219
Metro,F_Income,7005_Total operating income,2015,1468346
Metro,F_Income,7005_Total operating income,2016,1525784
Metro,F_Income,7005_Total operating income,2017,1578941
Metro,F_Income,7005_Total operating income,2018,1625400
Metro,F_Income,7005_Total operating income,2019,1703148
Metro,F_Income,7005_Total operating income,2020,1749003
Metro,F_Income,7005_Total operating income,2021,1809563
Metro,F_Income,7005_Total operating income,2022,1866148
Metro,F_Income,7006_Income from revaluations,2013,290950
Metro,F_Income,7006_Income from revaluations,2014,762672
Metro,F_Income,7006_Income from revaluations,2015,563202
Metro,F_Income,7006_Income from revaluations,2016,424483
Metro,F_Income,7006_Income from revaluations,2017,835835
Metro,F_Income,7006_Income from revaluations,2018,659835
Metro,F_Income,7006_Income from revaluations,2019,542677
Metro,F_Income,7006_Income from revaluations,2020,993277
Metro,F_Income,7006_Income from revaluations,2021,818294
Metro,F_Income,7006_Income from revaluations,2022,626606
Metro,F_Income,7007_Vested assets,2013,24466
Metro,F_Income,7007_Vested assets,2014,30670
Metro,F_Income,7007_Vested assets,2015,25963
Metro,F_Income,7007_Vested assets,2016,36377
Metro,F_Income,7007_Vested assets,2017,32944
Metro,F_Income,7007_Vested assets,2018,41180
Metro,F_Income,7007_Vested assets,2019,42965
Metro,F_Income,7007_Vested assets,2020,44980
Metro,F_Income,7007_Vested assets,2021,45011
Metro,F_Income,7007_Vested assets,2022,39581
Metro,F_Income,7008_Total comprehensive income,2013,343309
Metro,F_Income,7008_Total comprehensive income,2014,830809
Metro,F_Income,7008_Total comprehensive income,2015,649493
Metro,F_Income,7008_Total comprehensive income,2016,531413
Metro,F_Income,7008_Total comprehensive income,2017,949762
Metro,F_Income,7008_Total comprehensive income,2018,781441
Metro,F_Income,7008_Total comprehensive income,2019,694927
Metro,F_Income,7008_Total comprehensive income,2020,1128799
Metro,F_Income,7008_Total comprehensive income,2021,967175
Metro,F_Income,7008_Total comprehensive income,2022,782886
Metro,G_Expenditure,8001_Employee costs,2013,192329
Metro,G_Expenditure,8001_Employee costs,2014,196920
Metro,G_Expenditure,8001_Employee costs,2015,199948
Metro,G_Expenditure,8001_Employee costs,2016,205900
Metro,G_Expenditure,8001_Employee costs,2017,211799
Metro,G_Expenditure,8001_Employee costs,2018,217385
Metro,G_Expenditure,8001_Employee costs,2019,223631
Metro,G_Expenditure,8001_Employee costs,2020,230344
Metro,G_Expenditure,8001_Employee costs,2021,237348
Metro,G_Expenditure,8001_Employee costs,2022,244449
Metro,G_Expenditure,8002_Interest expense,2013,103271
