"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7125A0004_27 - WOODLOUGH RD1: START OF D C TO M1 -  DUNGANNON","DUNGANNON","?",601,601,0,0
"7125A0004_27 - WOODLOUGH RD1: START OF D C TO M1 -  DUNGANNON","DUNGANNON","?",622,622,0,0
"7125A0004_27 - WOODLOUGH RD1: START OF D C TO M1 -  DUNGANNON","DUNGANNON","?",745,745,0,0
"7125A0004_27 - WOODLOUGH RD1: START OF D C TO M1 -  DUNGANNON","DUNGANNON","?",833,833,0,0
"7125A0005_03 - TULLYVAR RD1: U334 LISGINNY RD TO A4 ANNAGHILLA RD -  DUNGANNON","DUNGANNON","?",841,841,0,0
"7125A0005_03 - TULLYVAR RD1: U334 LISGINNY RD TO A4 ANNAGHILLA RD -  DUNGANNON","DUNGANNON","?",847,847,0,0
"7125A0005_03 - TULLYVAR RD1: U334 LISGINNY RD TO A4 ANNAGHILLA RD -  DUNGANNON","DUNGANNON","?",1007,1007,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",700,700,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",700,700,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",818,818,0,0
"7125A0005_03 - TULLYVAR RD1: U334 LISGINNY RD TO A4 ANNAGHILLA RD -  DUNGANNON","DUNGANNON","?",165,165,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",277,277,0,0
"7125A0005_03 - TULLYVAR RD1: U334 LISGINNY RD TO A4 ANNAGHILLA RD -  DUNGANNON","DUNGANNON","?",894,894,0,0
"7125A0005_03 - TULLYVAR RD1: U334 LISGINNY RD TO A4 ANNAGHILLA RD -  DUNGANNON","DUNGANNON","?",1124,1124,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",230,230,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",299,299,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",381,381,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",465,465,0,0
"7125A0004_29 - BALLYGAWLEY RBT1: A4 ANNAGHILLA RD STRETCH 19 TO A4 ANNAGHILLA RD STRETCH 19 -  DUNGANNON","DUNGANNON","?",28,28,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",68,68,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",79,79,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",421,421,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",922,922,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",942,942,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",972,972,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",982,982,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",1056,1056,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",100,100,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",109,109,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",138,138,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",151,151,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",162,162,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",805,805,0,0
"7125A0005_03 - TULLYVAR RD1: U334 LISGINNY RD TO A4 ANNAGHILLA RD -  DUNGANNON","DUNGANNON","?",1011,1011,0,0
"7125A0005_03 - TULLYVAR RD1: U334 LISGINNY RD TO A4 ANNAGHILLA RD -  DUNGANNON","DUNGANNON","?",1123,1123,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",178,178,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",197,197,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",897,897,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",516,516,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",620,620,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",92,92,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",126,126,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",226,226,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",268,268,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",312,312,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",806,806,0,0
"7125A0004_26 - WOODLOUGH RD1: EGLISH RD RBT TO START OF D C -  DUNGANNON","DUNGANNON","?",810,810,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",760,760,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",805,805,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",818,818,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",19,19,0,0
"7125A0004_25 - WOODLOUGH RD1: GRANVILLE RD A45 TO EGLISH RD RBT -  DUNGANNON","DUNGANNON","?",19,19,0,0
