Year,"All cancers (C00–C96, D45–D47) No.","All cancers (C00–C96, D45–D47) Rate","Lip, Oral Cavity and Pharynx (C00–C14) No.","Lip, Oral Cavity and Pharynx (C00–C14) Rate",Oesophagus (C15) No.,Oesophagus (C15) Rate,Stomach (C16) No.,Stomach (C16) Rate,Colorectum and anus (C18–C21) No.,Colorectum and anus (C18–C21) Rate,Liver and intrahepatic bile ducts (C22) No.,Liver and intrahepatic bile ducts (C22) Rate,Pancreas (C25) No.,Pancreas (C25) Rate,Lung (C33–C34)No.,Lung (C33–C34) Rate,Melanoma (C43) No.,Melanoma (C43) Rate,Prostate (C61) No.,Prostate (C61) Rate,Testis (C62) No.,Testis (C62) Rate,"Kidney (C64–C66, C68) No.","Kidney (C64–C66, C68) Rate",Bladder (C67) No.,Bladder (C67) Rate,Brain (C71) No.,Brain (C71) Rate,Thyroid (C73) No.,Thyroid (C73) Rate,Hodgkin Lymphoma (C81) No.,Hodgkin Lymphoma (C81) Rate,"Non-Hodgkin Lymphoma (C82–C85, C96)   No.","Non-Hodgkin Lymphoma (C82–C85, C96)   Rate",Myeloma (C90) No.,Myeloma (C90) Rate,Leukaemia (C91–C95)  No.,Leukaemia (C91–C95)  Rate
1948,1319,146,59,7,47,3.9,,,226,25.3,,,,,158,16.3,,,154,17.8,,,,,,,,,,,,,,,,,,
1949,1275,138.5,41,4.6,50,4.5,,,189,20.7,,,,,171,17.6,,,143,16.7,,,,,,,,,,,,,,,,,,
1950,1396,151,52,5.7,41,4.5,301,31.8,217,23.7,,,,,121,12.4,,,134,16.6,,,,,,,,,,,,,,,,,,
1951,1512,160.2,42,4.7,49,5.5,315,33.8,234,25.2,,,,,170,17.1,,,151,16.6,,,,,,,,,,,,,,,,,,
1952,1486,152.4,40,4.5,58,6.2,246,24.7,222,23.1,,,,,242,24,,,172,18.9,,,,,,,,,,,,,,,,,,
1953,1553,154.6,42,4.4,50,4.8,294,28.9,223,23.3,,,,,225,21.8,,,164,16.7,,,,,,,,,,,,,,,,,,
1954,1565,154.4,52,5.3,41,4.4,244,24,249,24.8,,,,,260,24.8,21,2.2,182,17.9,,,,,,,,,,,,,,,,,,
1955,1660,161,32,3.2,44,4.3,256,25,256,24.8,37,3.6,80,7.7,300,28.5,22,2.1,201,20.1,9,0.9,34,3.1,49,4.7,58,5.4,9,0.8,18,1.6,37,3.7,15,1.4,79,7.3
1956,1684,158,55,5.2,44,4.2,255,23.5,243,27.4,36,3.3,78,9.3,314,40.7,22,2.2,180,14,11,1.1,41,3.7,52,5,46,4.2,7,0.9,28,2.7,45,4.1,19,1.7,74,6.7
1957,1752,163.6,41,3.9,48,4.3,264,24.9,259,24.3,42,3.9,84,7.8,357,32.5,20,1.9,179,17.6,11,1.1,43,4,56,5.3,51,4.6,4,0.4,10,0.9,53,4.9,24,2.2,83,7.6
1958,1743,159.4,45,4.3,52,4.8,273,24.9,243,25.4,37,3.3,96,11.2,343,44.6,20,1.8,187,14.6,15,1.4,44,4,68,6.4,55,4.9,6,0.5,16,1.5,50,4.3,17,1.5,79,6.9
1959,1811,163.9,42,3.7,35,3.2,252,23,253,26.2,36,3.3,105,10.5,365,45.4,23,2.1,209,16.8,20,1.7,45,4,73,6.7,50,4.4,4,0.5,16,1.4,57,5.2,24,2.2,88,7.7
1960,1724,156.4,43,4.3,45,3.9,251,22.6,248,23.9,38,3.3,84,7.4,344,30.7,26,2.3,179,16.6,16,1.5,39,3.5,48,4.4,64,5.5,5,0.5,24,2.2,55,4.9,19,1.7,77,6.9
1961,1870,166.1,43,3.9,54,5,253,22.4,265,23.8,37,3.3,88,8,398,35,22,2,188,17.1,18,1.7,36,3.2,80,7.1,70,5.6,5,0.4,19,1.7,53,4.6,19,1.7,84,7.2
1962,1936,169.9,39,3.4,42,3.6,237,21,259,23.3,47,4.1,120,10.5,439,37.9,22,1.9,196,18.1,22,2,54,4.7,79,7,61,5,2,0.2,19,1.7,45,4,18,1.5,88,7.3
