District Council,Apartment,Detached,Semi-Detached,Terrace,Total Housing Stock
Antrim and Newtownabbey,6136,19132,14601,16826,56695
"Armagh City, Banbridge and Craigavon",4098,34204,18807,23746,80855
Belfast,31834,14626,40666,67263,154389
Causeway Coast and Glens,5283,28201,15313,13440,62237
Derry City and Strabane,6031,17697,14889,20826,59443
Fermanagh and Omagh,2481,28562,7899,8718,47660
Lisburn and Castlereagh,5132,21350,16593,12924,55999
Mid and East Antrim,5519,23006,12461,16733,57719
Mid Ulster,1866,28027,11007,10583,51483
"Newry, Mourne and Down",4347,31808,15796,14854,66805
Ards and North Down,7396,25259,19041,17364,69060
Northern Ireland,80123,271872,187073,223277,762345
