Quarter Year,Detached Simple Mean Price,Detached Simple Median Price,Detached Standardised Price,SemiDetached Simple Mean Price,SemiDetached Simple Median Price,SemiDetached Standardised Price,Terrace Simple Mean Price,Terrace Simple Median Price,Terrace Standardised Price,Apartment Simple Mean Price,Apartment Simple Median Price,Apartment Standardised Price,All Properties Simple Mean Price,All Properties Simple Median Price,All Properties Standardised Price,,,,,,,,,,,,,,,,,,,,,,,
Q1 2005,166315,149973,160429,105804,100000,104031,85719,79000,82022,106794,95000,100738,115913,100000,111920,,,,,,,,,,,,,,,,,,,,,,,
Q2 2005,173371,155000,169687,112783,105500,109617,85116,80000,83227,105409,94975,97660,120481,105000,116004,,,,,,,,,,,,,,,,,,,,,,,
Q3 2005,185398,165000,180697,118770,111500,115048,95451,85500,89825,108503,99680,102237,128866,115000,123386,,,,,,,,,,,,,,,,,,,,,,,
Q4 2005,186545,165000,185324,120545,116500,119854,96872,90000,93128,110374,100000,105333,129647,117000,127674,,,,,,,,,,,,,,,,,,,,,,,
Q1 2006,191381,173000,188669,124734,120000,123416,99636,92500,96062,114383,107500,111145,132978,120000,131302,,,,,,,,,,,,,,,,,,,,,,,
Q2 2006,202776,185000,201644,137740,130000,135697,112267,105000,108063,121266,114900,117168,145269,130000,143918,,,,,,,,,,,,,,,,,,,,,,,
Q3 2006,230350,200000,222695,152828,145000,150408,127093,120000,121910,136990,127329,133113,164078,145000,160529,,,,,,,,,,,,,,,,,,,,,,,
Q4 2006,252446,230000,245252,170426,164000,168931,140207,133000,137713,154573,143000,152563,179157,160000,179841,,,,,,,,,,,,,,,,,,,,,,,
Q1 2007,284098,249500,267678,186953,180000,186864,155114,150000,154256,163311,150000,168111,198065,175000,198950,,,,,,,,,,,,,,,,,,,,,,,
Q2 2007,324678,280000,305404,208950,201000,206097,163840,158000,160884,186495,172500,179936,216948,193000,216751,,,,,,,,,,,,,,,,,,,,,,,
Q3 2007,357388,315000,332718,215913,205000,209688,167368,162500,164232,181490,167500,179542,233897,200000,224670,,,,,,,,,,,,,,,,,,,,,,,
Q4 2007,354715,305000,314061,209511,195000,198459,168749,159450,157828,184301,168750,176930,231539,191000,214269,,,,,,,,,,,,,,,,,,,,,,,
Q1 2008,329234,275000,285012,193269,180000,185214,152502,145000,145721,174974,162500,172588,211752,175000,198362,,,,,,,,,,,,,,,,,,,,,,,
Q2 2008,282258,249725,265410,179444,170000,177815,140163,135000,133949,167790,156475,164944,188449,165000,185845,,,,,,,,,,,,,,,,,,,,,,,
Q3 2008,258042,225000,237370,164136,160000,157733,133076,125000,123962,160826,150000,149309,176225,152500,168076,,,,,,,,,,,,,,,,,,,,,,,
Q4 2008,232343,210000,224760,150986,145000,143250,120259,110000,111354,139408,130000,136028,161764,144887,153774,,,,,,,,,,,,,,,,,,,,,,,
Q1 2009,211187,187500,198957,135075,130000,130838,109126,100000,103678,135587,120000,123453,146240,130000,140190,,,,,,,,,,,,,,,,,,,,,,,
Q2 2009,216080,192500,204236,136592,130000,132443,110011,100000,103329,131782,120413,122809,148921,132000,141489,,,,,,,,,,,,,,,,,,,,,,,
Q3 2009,208830,190000,204150,138872,133550,132387,112356,105000,104010,142196,128000,123823,149567,135000,141864,,,,,,,,,,,,,,,,,,,,,,,
Q4 2009,211068,186000,207191,141230,135000,133479,111108,105000,102886,140475,127500,120972,151513,137500,141994,,,,,,,,,,,,,,,,,,,,,,,
Q1 2010,228900,191000,205307,135345,125000,127129,103001,93000,95451,133738,115000,117824,148311,124000,135701,,,,,,,,,,,,,,,,,,,,,,,
Q2 2010,205095,183750,201922,133286,125000,128936,99783,90000,92934,136018,120000,116218,142585,125000,134515,,,,,,,,,,,,,,,,,,,,,,,
Q3 2010,204300,185000,202034,131352,125000,125927,95803,85000,90124,132381,120750,115882,140779,125000,132164,,,,,,,,,,,,,,,,,,,,,,,
