objectid,pghdbsdeZoningarea,perimeter,zoning_,zoning_id,zon_new,shape_leng,correctionlabel,full_zoning_type,legendtype,municode,status
927,229106.383128,3747.337162,0,0,R2-H,2779.766098,,TWO-UNIT RESIDENTIAL HIGH DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
928,178895.252287,3205.946897,0,0,AP,1996.653102,,RESIDENTIAL/COMMERCIAL PLANNED UNIT DEVELOPMENT,Planned Unit Development,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH909PLDEDI_909.02PUPLUNDEDI,Approved
929,99713.882727,1644.658898,0,0,GPRC,2157.758961,,GRANDVIEW PUBLIC REALM DISTRICT C,Grandview Public Realm,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI_908.02GRPUREDI,Approved
930,661989.201808,6585.002207,0,0,LNC,6585.002207,,LOCAL NEIGHBORHOOD COMMERCIAL,Local Neighborhood Commercial ,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.02LN*,Approved
931,856417.98288,8668.855756,0,0,GPRA,8668.855756,,GRANDVIEW PUBLIC REALM DISTRICT A,Grandview Public Realm,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI_908.02GRPUREDI,Approved
932,136964.869239,2627.11067,0,0,GPRB,2627.11067,,GRANDVIEW PUBLIC REALM DISTRICT B,Grandview Public Realm,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI.html#PIZOCO_TITNINEZOCO_ARTIVPLDI_CH908PUREDI_908.02GRPUREDI,Approved
933,1733917.871265,13059.880182,0,0,UI,13059.880182,,URBAN INDUSTRIAL,Urban Industrial,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH904MIUSZODI_904.07UI*,Approved
934,953196.938553,5766.062115,0,0,R2-H,5766.062115,,TWO-UNIT RESIDENTIAL HIGH DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
935,104616.503517,1547.436968,0,0,P,1547.436968,,PARKS AND OPEN SPACE,Parks,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI.html#PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH905SPPUDI_905.01PPADI,Approved
936,1678214.000856,9182.850857,0,0,R2-H,9182.850857,,TWO-UNIT RESIDENTIAL HIGH DENSITY,Two-Unit Residential,http://library.municode.com/HTML/13525/level4/PIZOCO_TITNINEZOCO_ARTIIBAZODI_CH903REZODI.html#TOPTITLE,Approved
