Accredited Enrolments,Group 1 - Most Deprived,Group 2,Group 3,Group 4,Group 5 - Least Deprived,Unknown Postcode
Including ROI ,32.6%,19.3%,19.5%,9.8%,2.7%,16.0%
Excluding ROI ,38.0%,22.5%,22.7%,11.4%,3.2%,2.2%
Sources: Consolidated Data Return (CDR),,,,,,
Notes:,,,,,,
For further details on definitions please refer to the metadata.,,,,,,
