Publisher,Dept / sponsor Dept where NDPB,Number of datasets,Number of unique underlying data records
Agri-Food and Biosciences Institute - Fisheries and Aquatic Ecosystems Branch,"Department of Agriculture, Environment and Rural Affairs",2,2
Belfast City Council,Department for Communities,19,19
Business Services Organisation,Department of Health,1,37
Department for Employment and Learning,Department for the Economy,7,77
Department for Infrastructure - Planning,Department for Infrastructure,1,1
Department of Health,Department of Health,9,61
Department for Social Development - Analytical Services Unit,Department for Communities,4,4
"Department of Agriculture, Environment and Rural Affairs","Department of Agriculture, Environment and Rural Affairs",2,5
Driver and Vehicle Agency,Department for Infrastructure,2,2
Geological Survey of Northern Ireland,Department for the Economy,7,16
Land & Property Services,Department of Finance,50,125
Libraries NI,Department for Communities,1,1
NI Water,Department for Infrastructure,2,5
Northern Ireland Assembly,The Executive Office,1,1
Northern Ireland Statistics and Research Agency,Department of Finance,8,10
OpenDataNI,Department of Finance,2,2
Police Service of Northern Ireland,Department of Justice,1,1
Translink,Department for Infrastructure,12,14
TransportNI,Department for Infrastructure,6,29
