FE college,2009/10,2010/11,2011/12,2012/13,2013/14
Belfast Metropolitan College,54466,43171,38563,39950,37055
Northern Regional College,25686,25468,26861,25285,24557
North West Regional College,25173,26072,25662,24953,23167
South Eastern Regional College,29340,30275,31267,37312,35832
Southern Regional College,40248,37081,35492,35436,33075
South West College,24664,24403,26575,27408,27139
NI Total,199577,186470,184420,190344,180825
Sources: Further Education Statistical Return (FESR) and Consolidated Data Return (CDR),,,,,
Notes:,,,,,
For further details on definitions please refer to the metadata.,,,,,
