Academic Year,Entry Level 1,Entry Level 2,Entry Level 3,Level 1,Level 2,Not Known,Number of enrolments
Up to 31 July 2003,885,719,1030,1062,282,31,4009
1 August 2003 - 31 July 2004,1258,1806,2942,2280,759,56,9101
1 August 2004 - 31 July 2005,1196,1791,4286,3300,1724,764,13061
1 August 2005 - 31 July 2006,829,1595,4101,5727,4753,254,17259
1 August 2006 - 31 July 2007,688,1609,4583,7567,5565,246,20258
1 August 2007 - 31 July 2008,574,1725,4574,10096,8191,387,25547
1 August 2008 - 31 July 2009,499,1487,4693,16454,11837,0,34970
1 August 2009 - 31 July 2010,506,1419,4254,26361,16539,802,49881
1 August 2010 - 31 July 2011,824,1471,4988,30932,21019,767,60001
1 August 2011 - 31 July 2012,594,1576,4619,28979,22695,749,59212
1 August 2012 - 31 July 2013,565,1156,4055,23854,21516,589,51735
1 August 2013 - 31 July 2014,519,1232,3667,20384,19200,790,45792
