OBJECTID,SCHOOLD
1,Allegheny Valley
2,Avonworth
3,Baldwin-Whitehall
4,Bethel Park
5,Brentwood Borough
6,Carlynton
7,Chartiers Valley
8,City of Pittsburgh
9,Clairton City
10,Cornell
11,Deer Lakes
12,Duquesne City
13,East Allegheny
14,Elizabeth Foreward
15,Fort Cherry
16,Fox Chapel Area
17,Gateway
18,Hampton Township
19,Highlands
20,Keystone Oaks
21,McKeesport Area
22,Montour
23,Moon Area
24,Mt. Lebanon
25,North Allegheny
26,North Hills
27,Northgate
28,Penn-Trafford
29,Penn Hills
30,Pine-Richland
31,Plum Borough
32,Quaker Valley
33,Riverview
34,Shaler Area
35,South Allegheny
36,South Fayete Township
37,South Park
38,Steel Valley
39,Sto-Rox
40,Upper St. Clair Area
41,West Allegheny
42,West Jefferson Hills
43,West Mifflin Area
44,Wilkinsburg
45,Woodland Hills
