LocationID,PTI_REF_GIS,Latitude,Longitude,Easting,Northing,IG_Code,Stop_Name,DepotOpsArea,Timing_Point,TP_Name,Fare_Stage,FS_Name,ServiceDirection,Modified
87,700000000087,54.60721698,-5.874376678,337399,375300,712699,Palmerston Road (Station Road),Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:51
88,700000000088,54.55495425,-6.021817949,328037,369205,697242,St Luke's,Belfast Metro Ops,F,,F,,Outward,05/07/2012 15:20
89,700000000089,54.6051473,-5.877270529,337219,375064,712283,Larkfield Road,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:50
90,700000000090,54.55499142,-6.02189344,328032,369209,697241,St Luke's,Belfast Metro Ops,F,,F,,Inward,05/07/2012 15:21
91,700000000091,54.60522048,-5.87971613,337060.75,375067.37,712128.12,Connsbrook Avenue (Larkfield),Belfast Metro Ops,T,Connsbrook Avenue/Larkfield,T,Connsbrook Avenue (Larkfield),Inward,30/07/2015 14:22
92,700000000092,54.55495363,-6.019035507,328217,369210,697427,Aspen Walk,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:54
93,700000000093,54.60379248,-5.88104569,336979.64,374905.85,711885.49,Strandburn Drive,Belfast Metro Ops,F,,F,,Inward,30/07/2015 14:11
94,700000000094,54.55372568,-6.0170237,328351,369077,697428,Cherry Park,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
95,700000000095,54.60270723,-5.88204635,336918.62,374783.12,711701.74,Parkgate Avenue,Belfast Metro Ops,F,,F,,Inward,30/07/2015 14:18
96,700000000096,54.55440736,-6.013667153,328566,369159,697725,Cherry Road,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
97,700000000097,54.60010771,-5.884512347,336768,374489,711257,Glendale Court,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
98,700000000098,54.55662667,-6.010390204,328771,369412,698183,Upper Dunmurry Lane (Cherry Road),Belfast Metro Ops,T,Upper Dunmurry Lane(Cherry Road),T,Upper Dunmurry Lane (Cherry Road),Inward,09/11/2011 15:54
99,700000000099,54.59902988,-5.885047977,336737,374368,711105,Connsbrook Avenue,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
100,700000000100,54.55798144,-6.012457622,328633,369559,698192,Upper Dunmurry Lane (Credenhill),Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
101,700000000101,54.59825059,-5.886728731,336631,374278,710909,Holywood Arches,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:53
102,700000000102,54.56311994,-6.021175157,328053,370115,698168,Old Colin,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
103,700000000103,54.59787086,-5.89088075,336363.96,374227.68,710591.64,Connswater,Belfast Metro Ops,T,Connswater,T,Connswater,Inward,30/07/2015 11:29
104,700000000104,54.56322951,-6.026782301,327690,370117,697807,Laurelbank,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:53
105,700000000105,54.59822144,-5.893817784,336173,374261,710434,Hunt Street,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
106,700000000106,54.56564603,-6.026758337,327684,370386,698070,Poleglass (Pembroke Loop),Belfast Metro Ops,T,Poleglass(Pembroke Loop),T,Poleglass(Pembroke Loop),Terminal,09/11/2011 15:50
107,700000000107,54.59870949,-5.897599474,335927,374308,710235,Dee Street,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:51
108,700000000108,54.56758043,-6.023618682,327881,370607,698488,Pembroke Manor,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
109,700000000109,54.59920802,-5.901473564,335675,374356,710031,Templemore Avenue,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:50
110,700000000110,54.57036011,-6.026576961,327681,370911,698592,Colinbrook Avenue,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:51
111,700000000111,54.59947787,-5.903564339,335539,374382,709921,Tower Street,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
112,700000000112,54.56898301,-6.028081606,327588,370755,698343,Springbank Close,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:54
113,700000000113,54.59987012,-5.906500013,335348,374420,709768,Bryson Street,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:51
114,700000000114,54.56794755,-6.029600591,327493,370637,698130,Springbank Drive,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
115,700000000115,54.60017728,-5.90903915,335182.91,374449.3,709632.21,Short Strand (Newtownards Road),Belfast Metro Ops,T,Short Strand/N'Ards Road,T,Short Strand (Newtownards Road),Inward,30/07/2015 10:57
116,700000000116,54.56410415,-6.028626369,327568,370211,697779,Pantridge Road (Pembrooke Loop),Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
117,700000000117,54.59976535,-5.917090633,334664,374388,709052,Bridge End,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
118,700000000118,54.5632978,-6.026562544,327704,370125,697829,Laurelbank,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:54
119,700000000119,54.59890936,-5.921653084,334372,374284,708656,Oxford Street,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
120,700000000120,54.5633521,-6.021086604,328058,370141,698199,Old Colin,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
121,700000000121,54.59727866,-5.921395721,334394,374103,708497,Waterfront Hall,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:53
122,700000000122,54.56314752,-6.034439579,327195,370094,697289,Brian's Well Close,Belfast Metro Ops,F,,F,,Inward,06/06/2012 16:08
123,700000000123,54.59574091,-5.916888671,334690.33,373940.48,708630.81,East Bridge Street (Central Station),Belfast Metro Ops,T,East Bridge St.(Central Station),T,East Bridge St.(Central Station),Outward,05/03/2012 10:53
124,700000000124,54.56104262,-6.035947753,327104,369857,696961,Brian's Well Road (Glenkeen),Belfast Metro Ops,T,Brians Well Road(Glenkeen),T,Brians Well Road (Glenkeen),Outward,06/06/2012 16:29
125,700000000125,54.59582345,-5.909405098,335173.68,373964.03,709137.71,Short Strand (Albert Bridge Road),Belfast Metro Ops,T,Short Strand / Albert Bridge Road,T,Short Strand (Albert Bridge Road),Outward,09/07/2015 14:47
126,700000000126,54.5635136,-6.034298273,327203,370135,697338,Brian's Well Close,Belfast Metro Ops,F,,F,,Outward,06/06/2012 16:07
127,700000000127,54.5953583,-5.906422056,335368,373918,709286,The Mount,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:53
128,700000000128,54.56049701,-6.030021792,327489,369807,697296,Bell Steel Road (Glenwood),Belfast Metro Ops,T,Bellsteel Road(Glenwood),T,Bell Steel Road(Glenwood),Outward,09/11/2011 15:44
129,700000000129,54.59532098,-5.90271025,335608,373921,709529,Templemore Avenue,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:50
130,700000000130,54.55629306,-6.029528842,327534,369340,696874,Bell Steel Road (Woodside),Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:51
131,700000000131,54.59588901,-5.90004616,335778.28,373989.36,709767.64,Glenmore Street,Belfast Metro Ops,F,,F,,Outward,06/08/2015 11:35
132,700000000132,54.55722899,-6.026314608,327739,369450,697189,Bell Steel Road (Stewartstown Road),Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:50
133,700000000133,54.59669957,-5.897238822,335957,374085,710042,Hornby Street,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:51
134,700000000134,54.59732016,-5.931158033,333763,374089,707852,Donegall Square North,Belfast Metro Ops,T,Donegal Square North,T,Donegal Square North,,09/11/2011 15:44
135,700000000135,54.59776963,-5.893670888,336184,374211,710395,Bloomfield Commercial Centre,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:54
136,700000000136,54.59647342,-5.933135244,333638,373991,707629,Upper Queen Steet,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
137,700000000137,54.59961473,-5.882526093,336898,374438,711336,Strandtown,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
138,700000000138,54.59610377,-5.933061127,333644,373950,707594,Upper Queen Steet,Belfast Europa,T,Upper Queen Steet,T,Upper Queen Steet,Terminal,09/11/2011 15:54
139,700000000139,54.60042259,-5.879915166,337064,374533,711597,Strand Cinema,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
140,700000000140,54.59572962,-5.935354745,333497,373904,707401,Opera House,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
141,700000000141,54.60121049,-5.878218265,337171,374624,711795,Holywood Road (Park Avenue),Belfast Metro Ops,T,Holywood Road(Park Avenue),T,Holywood Road(Park Avenue),Outward,09/11/2011 15:53
142,700000000142,54.59552379,-5.939620459,333222,373873,707095,Spendlove's,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
143,700000000143,54.60347195,-5.87501837,337370.15,374881.94,712252.09,St Mark's,Belfast Metro Ops,F,,F,,Outward,15/09/2015 13:37
144,700000000144,54.59530051,-5.94459191,332901.44,373838.74,706740.18,Grosvenor Road Rec. Centre,Belfast Metro Ops,F,,F,,Outward,08/10/2015 09:53
145,700000000145,54.60491023,-5.872980102,337497,375046,712543,Clonaver,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
146,700000000146,54.59520394,-5.947234182,332731,373823,706554,184 Grosvenor Road,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:50
147,700000000147,54.60699423,-5.870394867,337657,375283,712940,Tudordale,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:53
148,700000000148,54.59511149,-5.949730087,332570,373808,706378,Grosvenor Road 210,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
149,700000000149,54.61510876,-5.860264124,338284,376206,714490,Garnerville Road,Belfast Metro Ops,T,Garnerville Road,T,Garnerville Road,Other Direction,09/11/2011 15:50
150,700000000150,54.59525535,-5.95226766,332405.54,373819.23,706224.77,Oak Bar,Belfast Metro Ops,F,,F,,Outward,07/10/2015 09:41
151,700000000151,54.61477597,-5.856689911,338516,376176,714692,55 Garnerville Road,Belfast Metro Ops,F,,F,,Other Direction,09/11/2011 15:44
152,700000000152,54.59544998,-5.953272036,332340,373839,706179,Royal Hospitals (Grosvenor Road),Belfast Metro Ops,T,Royal Hospital/ Grosvenor Road,T,Royal Hospitals (Grosvenor Road),Outward,09/11/2011 15:50
153,700000000153,54.61479692,-5.852802979,338767,376186,714953,Upper Garnaville Road,Belfast Metro Ops,T,Upp Garnerville Rd.,T,Upp Garnerville Rd.,Other Direction,09/11/2011 15:51
154,700000000154,54.59604803,-5.956228508,332147,373900,706047,Springfield Road - Inner Zone,Belfast Metro Ops,F,,F,,Outward,08/06/2012 10:30
155,700000000155,54.60721535,-5.869715888,337700.12,375308.94,713009.06,Tudordale,Belfast Metro Ops,F,,F,,Inward,05/03/2012 10:53
156,700000000156,54.59722025,-5.958073134,332024,374027,706051,Iris Street,Belfast Metro Ops,F,,F,,Outward,16/07/2012 12:07
157,700000000157,54.6126079,-5.852484806,338795,375943,714738,Old Holywood Road,Belfast Metro Ops,F,,F,,Inward,03/07/2012 12:19
158,700000000158,54.59889101,-5.959645334,331917,374210,706127,Blackstaff Bar,Belfast Metro Ops,F,,F,,Outward,06/06/2012 14:28
159,700000000159,54.61052586,-5.852625423,338793,375711,714504,Glenmillan,Belfast Metro Ops,F,,F,,Inward,08/06/2012 09:40
160,700000000160,54.59989546,-5.960600995,331852,374320,706172,Springfield Road,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
161,700000000161,54.60912662,-5.85124406,338887,375558,714445,Old Holywood Road.,Belfast Metro Ops,T,Old Hollywood Rd.,T,Old Holywood Road.,Inward,09/11/2011 15:54
162,700000000162,54.60161081,-5.963223541,331677,374506,706183,Elswick Street,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
163,700000000163,54.60790194,-5.851091889,338901,375422,714323,82 Old Holywood Road,Belfast Metro Ops,F,,F,,Inward,06/06/2012 13:50
164,700000000164,54.60219121,-5.965144568,331551,374567,706118,Pollard Street,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:53
165,700000000165,54.6062311,-5.854151737,338709,375230,713939,Cairnburn Road,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
166,700000000166,54.60084929,-5.9692352,331291,374410,705701,Springdale,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
167,700000000167,54.60541437,-5.860292974,338315,375127,713442,C I Y M S,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:53
168,700000000168,54.5994721,-5.971764316,331132,374252,705384,Farset Int.,Belfast Metro Ops,T,Springvale Bus Stop,T,Westcircular Rd.,Outward,09/11/2011 15:44
169,700000000169,54.60435971,-5.863660471,338101,375003,713104,Circular Road,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:50
170,700000000170,54.59932234,-5.973551403,331017,374232,705249,West Circular (Springfield),Belfast Metro Ops,F,,F,,Outward,16/07/2012 15:45
171,700000000171,54.60616673,-5.870855987,337630,375190,712820,Circular Road,Belfast Metro Ops,T,Circular Road,T,Circular Road,Inward,09/11/2011 15:44
172,700000000172,54.60137704,-5.974455264,330952,374459,705411,Springfield Parade,Belfast Metro Ops,F,,F,,Outward,05/07/2012 09:01
173,700000000173,54.60582618,-5.871426947,337594.26,375150.98,712745.24,Station Road,Belfast Metro Ops,F,,F,,Inward,05/03/2012 10:53
174,700000000174,54.60397029,-5.974790788,330922,374747,705669,West Circular Flats,Belfast Metro Ops,F,,F,,Outward,16/07/2012 12:02
175,700000000175,54.60438032,-5.873503015,337465,374986,712451,Clonaver,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:54
176,700000000176,54.60523326,-5.974557824,330933,374888,705821,West Circular Crescent,Belfast Metro Ops,F,,F,,Outward,16/07/2012 12:01
177,700000000177,54.60286372,-5.875655977,337331,374813,712144,St Mark's,Belfast Metro Ops,F,,F,,Inward,05/07/2012 15:25
178,700000000178,54.60721537,-5.973809302,330975,375110,706085,Ballygomartin Bapist Church,Belfast Metro Ops,F,,F,,Outward,06/06/2012 13:57
179,700000000179,54.60107449,-5.878147959,337176,374609,711785,Holywood Road (Park Avenue),Belfast Metro Ops,T,Holywood Road(Park Avenue),T,Holywood Road(Park Avenue),Inward,09/11/2011 15:44
180,700000000180,54.61007574,-5.967568362,331369,375440,706809,Twaddell Avenue,Belfast Metro Ops,T,Twaddell Ave.,T,Twaddell Avenue,Outward,09/11/2011 15:44
181,700000000181,54.59928686,-5.883301408,336849,374400,711249,Strandtown,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:54
182,700000000182,54.61187095,-5.9674634,331370,375640,707010,The Avenue,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
