LocationID,PTI_REF_GIS,Latitude,Longitude,Easting,Northing,IG_Code,Stop_Name,DepotOpsArea,Timing_Point,TP_Name,Fare_Stage,FS_Name,ServiceDirection,Modified
183,700000000183,54.59744286,-5.893997253,336164,374174,710338,Bloomfield Commercial Centre,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
184,700000000184,54.61341966,-5.964986718,331525,375817,707342,The Cabin,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:53
185,700000000185,54.5968883,-5.89620778,336023,374108,710131,Hornby Street,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
186,700000000186,54.61273767,-5.966085952,331456.19,375739.04,707195.23,The Cabin,Belfast Metro Ops,F,,F,,Inward,07/03/2012 14:28
187,700000000187,54.59625402,-5.89827198,335891.72,374033.42,709925.14,Avoniel,Belfast Metro Ops,F,,F,,Inward,06/08/2015 11:37
188,700000000188,54.61157214,-5.967176284,331389.51,375607.28,706996.79,Woodvale Parade,Belfast Metro Ops,T,Twaddell Ave.,T,Woodvale Parade,Inward,07/03/2012 14:28
189,700000000189,54.5952527,-5.902031983,335652.06,373914.71,709566.77,Templemore Avenue,Belfast Metro Ops,F,,F,,Inward,07/03/2012 14:28
190,700000000190,54.59516322,-5.916985167,334686,373876,708562,Central Station,Belfast Metro Ops,T,"Central Station ,Lower Ent.",T,"Central Station ,Lower Ent.",Outward,09/11/2011 15:51
191,700000000191,54.62183066,-5.913857379,334800,376850,711650,Bretland House,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
192,700000000192,54.59352857,-5.953352946,332341,373625,705966,School of Denistry RVH,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:50
193,700000000193,54.59512852,-5.906124371,335388,373893,709281,The Mount,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:51
194,700000000194,54.59170551,-5.957126794,332103,373415,705518,Elliott Dynes Rehabilitation Unit,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
195,700000000195,54.59552082,-5.909585867,335163,373930,709093,Short Strand (Albert Bridge Road),Belfast Metro Ops,T,Short Strand / Albert Bridge Road,T,Short Strand (Albert Bridge Road),Inward,09/11/2011 15:50
196,700000000196,54.59037989,-5.957904859,332057,373266,705323,Power Plant Terminus RVH,Belfast Metro Ops,T,Royal Hospitals,T,Royal Hospitals,Terminal,09/11/2011 15:51
197,700000000197,54.59561166,-5.915894572,334755,373928,708683,Maysfield,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
198,700000000198,54.59055359,-5.958081829,332045,373285,705330,RVH Stores,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:54
199,700000000199,54.59552956,-5.91791037,334625,373915,708540,East Bridge Street (Central Station),Belfast Metro Ops,T,East Bridge St.(Central Station),T,East Bridge St.(Central Station),Inward,09/11/2011 15:44
200,700000000200,54.59243862,-5.956378352,332149,373498,705647,Childrens Hospital,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
201,700000000201,54.60060934,-5.877754305,337203,374558,711761,Gelstons Corner,Belfast Metro Ops,T,Gelstons Corner,T,Gelstons Corner,Outward,09/11/2011 15:54
202,700000000202,54.59322264,-5.954389501,332275,373589,705864,RVH Maternity Ward,Belfast Metro Ops,T,Flexibus Hospital Link Rvh Terminus,T,RVH Maternity Ward,Inward,09/11/2011 15:44
203,700000000203,54.60022755,-5.874942099,337386,374521,711907,Ranfurly Drive,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
204,700000000204,54.5946943,-5.951623339,332449,373758,706207,Institute Of Pathology,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:53
205,700000000205,54.60011143,-5.873447,337483,374511,711994,78 Belmont Road,Ulsterbus,F,,F,,Outward,30/09/2013 13:58
206,700000000206,54.59481815,-5.951508806,332456,373772,706228,Institute Of Clinical Science,Belfast Metro Ops,F,,F,,Outward,03/07/2012 16:24
207,700000000207,54.59984541,-5.871603789,337603,374485,712088,98 Belmont Road,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:53
208,700000000208,54.59949394,-5.971995359,331117,374254,705371,Springvale (West Circular Road),Belfast Metro Ops,T,Springvale [West Circular Road],T,West Circular Road,Inward,09/11/2011 15:44
209,700000000209,54.59959079,-5.869388592,337747,374461,712208,126 Belmont Road,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:50
210,700000000210,54.60017853,-5.970491155,331212,374333,705545,Springvale Parade,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:53
211,700000000211,54.59964207,-5.865161074,338020,374475,712495,Belmont Church Road,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
212,700000000212,54.60156816,-5.968704179,331323,374491,705814,Springvale Campus,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:50
213,700000000213,54.60002714,-5.863051694,338155,374522,712677,Pine Lodge,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:51
214,700000000214,54.60241732,-5.965767817,331510,374591,706101,Workman Avenue,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:44
215,700000000215,54.60055693,-5.858458528,338450,374590,713040,212 Belmont Road,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:50
216,700000000216,54.60150347,-5.962718193,331710,374495,706205,Lanark Way,Belfast Metro Ops,F,,F,,Inward,08/06/2012 12:14
217,700000000217,54.6065133,-5.851319845,338891,375267,714158,37 Old Hllywood Road,Belfast Metro Ops,F,,F,,Outward,06/06/2012 13:50
218,700000000218,54.59982897,-5.960387664,331866,374313,706179,Springfield Road 197,Belfast Metro Ops,F,,F,,Inward,04/07/2012 09:52
219,700000000219,54.60117439,-5.853752292,338752,374668,713420,Campbell College,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
220,700000000220,54.59894383,-5.959580792,331921,374216,706137,Blackstaff Bar,Belfast Metro Ops,F,,F,,Inward,06/06/2012 14:27
221,700000000221,54.60310909,-5.852396852,338833,374886,713719,Schomberg Avenue,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:54
222,700000000222,54.59783567,-5.958336349,332005,374095,706100,Peter Pan Complex,Belfast Metro Ops,F,,F,,Inward,03/07/2012 16:44
223,700000000223,54.60516103,-5.848032418,339108,375123,714231,2 Massey Avenue,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
224,700000000224,54.59566456,-5.95374096,332309,373862,706171,Grosvenor Road (Royal Hospital),Belfast Metro Ops,T,Grosvenor Road[Royal Hospital],T,Grosvenor Road[Royal Hospital],Inward,09/11/2011 15:53
225,700000000225,54.60434413,-5.846558731,339206,375035,714241,Netherleigh Mews,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
226,700000000226,54.59519326,-5.950313976,332532,373816,706348,Grosvenor Road Surgery,Belfast Metro Ops,F,,F,,Inward,03/07/2012 12:37
227,700000000227,54.60406156,-5.844313958,339352,375008,714360,Massey Avenue (Castlehill Road),Belfast Metro Ops,T,Massey Avenue (Castlehill Road),T,Massey Ave,Outward,09/11/2011 15:53
228,700000000228,54.59525853,-5.947803962,332694,373828,706522,Grosvenor Road Post Office,Belfast Metro Ops,F,,F,,Inward,03/07/2012 12:37
229,700000000229,54.6035819,-5.84159985,339529,374960,714489,Cloverhill Gardens,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:50
230,700000000230,54.5953477,-5.946174737,332799,373841,706640,Cullingtree Road,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:53
231,700000000231,54.60245641,-5.838950977,339704,374840,714544,42 Massey Avenue,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:44
232,700000000232,54.59572208,-5.93881772,333273.23,373896.59,707169.82,Grosvenor Road PSNI Station,Belfast Metro Ops,F,,F,,Inward,07/10/2015 09:55
233,700000000233,54.6034046,-5.83218366,340138,374959,715097,Parliament Buildings,Belfast Metro Ops,F,,F,,Outward,09/11/2011 15:51
234,700000000234,54.59575627,-5.936390148,333430,373905,707335,Grosvenor Road / Gt. Victoria St,Belfast Metro Ops,F,,F,,Inward,08/06/2012 10:25
235,700000000235,54.600326,-5.827322844,340462.66,374626.07,715088.73,I T Division,Belfast Metro Ops,F,,F,,Outward,05/03/2012 10:53
236,700000000236,54.62955254,-5.897975224,335800,377740,713540,Dargan Road,Belfast Metro Ops,F,,F,,Inward,09/11/2011 15:51
