SAMPLE_NO,YEAR,LABNO,EASTING,NORTHING,TIO2,V,CO,GA,RB,SR,Y,ZR,NB,BI,TH,AG,CS,LA
550001,1994,1994,252580,370800,0.908,106.0,20.0,17.0,86.0,107.0,29.0,1044.0,17.3,0.25,9.20,0.50,0.5,44.0
550002,1994,1994,250820,377800,0.892,96.0,69.0,21.0,113.0,111.0,34.0,693.0,17.0,0.25,11.10,0.50,0.5,63.0
550003,1994,1994,259680,371450,1.024,104.0,17.0,12.0,53.0,111.0,31.0,1653.0,17.1,0.70,9.40,0.50,0.5,38.0
550004,1994,1994,256280,371600,0.859,105.0,22.0,17.0,88.0,122.0,31.0,455.0,15.6,0.25,8.90,0.50,2.0,46.0
550005,1994,1994,258600,379230,0.908,138.0,18.0,13.0,50.0,101.0,20.0,425.0,14.2,0.25,7.80,0.50,0.5,25.0
550006,1994,1994,248510,376480,0.950,81.0,39.0,17.0,99.0,83.0,26.0,1004.0,17.4,0.25,10.30,0.50,0.5,47.0
550007,1994,1994,256880,375670,1.264,176.0,20.0,18.0,57.0,103.0,37.0,848.0,17.9,0.25,7.80,0.50,,34.0
550008,1994,1994,259700,408950,0.710,49.0,42.0,11.0,63.0,77.0,31.0,1588.0,14.9,0.25,9.10,0.50,0.5,37.0
550009,1994,1994,249410,374100,1.008,126.0,33.0,21.0,116.0,90.0,28.0,669.0,17.1,0.25,10.20,0.50,,46.0
550011,1994,1994,256300,409280,0.917,81.0,16.0,15.0,77.0,92.0,31.0,1067.0,16.9,0.25,8.70,0.50,,34.0
550012,1994,1994,249500,376100,1.033,122.0,34.0,22.0,120.0,94.0,29.0,669.0,19.0,0.25,10.40,0.50,0.5,50.0
550013,1994,1994,257070,383300,1.165,85.0,23.0,15.0,70.0,75.0,31.0,969.0,19.4,0.60,8.60,0.50,,42.0
550014,1994,1994,249170,377700,0.892,78.0,44.0,16.0,90.0,73.0,31.0,753.0,16.0,0.25,10.10,1.00,0.5,54.0
550015,1994,1994,246300,383210,1.057,156.0,69.0,23.0,118.0,101.0,37.0,760.0,21.2,0.25,9.10,0.50,,48.0
550016,1994,1994,254750,373920,1.223,177.0,28.0,17.0,57.0,106.0,38.0,752.0,17.6,0.25,8.40,0.50,,37.0
550017,1994,1994,254710,373320,1.504,177.0,27.0,16.0,58.0,124.0,29.0,1046.0,19.3,0.25,8.90,0.50,,38.0
550018,1994,1994,246640,381720,0.834,90.0,26.0,20.0,123.0,85.0,25.0,601.0,16.9,0.25,9.10,0.50,0.5,38.0
550019,1994,1994,252680,374610,0.859,123.0,24.0,18.0,95.0,85.0,23.0,602.0,16.2,0.25,8.60,0.50,0.5,37.0
550020,1994,1994,245850,378230,0.842,105.0,37.0,21.0,143.0,138.0,33.0,566.0,18.5,0.25,9.70,0.50,1.0,46.0
550021,1994,1994,252680,380850,0.875,83.0,287.0,15.0,82.0,74.0,26.0,818.0,15.2,0.25,8.90,2.00,,48.0
550023,1994,1994,259300,383150,1.033,95.0,22.0,15.0,72.0,79.0,22.0,657.0,16.9,0.25,8.40,0.50,,36.0
550024,1994,1994,249390,372420,0.859,97.0,23.0,16.0,88.0,115.0,23.0,551.0,16.7,0.25,8.40,0.50,0.5,32.0
550025,1994,1994,248980,371110,0.735,95.0,29.0,14.0,63.0,83.0,32.0,280.0,14.0,0.25,8.20,0.50,,43.0
550026,1994,1994,253290,374280,0.759,104.0,18.0,12.0,50.0,65.0,17.0,343.0,12.8,0.25,7.00,0.50,0.5,29.0
550027,1994,1994,257320,408960,0.850,45.0,23.0,10.0,51.0,66.0,27.0,1086.0,15.3,0.25,8.80,0.50,0.5,34.0
550028,1994,1994,253300,375950,1.107,149.0,28.0,15.0,51.0,100.0,23.0,499.0,15.7,0.25,8.00,0.50,,30.0
550029,1994,1994,247320,377060,0.908,81.0,49.0,16.0,95.0,68.0,29.0,1191.0,16.5,0.25,9.80,0.50,0.5,50.0
550030,1994,1994,257350,408820,0.751,45.0,26.0,10.0,56.0,92.0,27.0,770.0,14.5,0.25,8.20,0.50,0.5,36.0
550031,1994,1994,252800,377870,1.314,113.0,31.0,18.0,96.0,112.0,35.0,1217.0,21.8,0.90,10.20,1.00,,56.0
550032,1994,1994,243100,380950,0.610,66.0,14.0,19.0,207.0,240.0,23.0,272.0,16.4,0.25,10.30,1.00,6.0,27.0
550033,1994,1994,250480,373320,0.908,98.0,18.0,16.0,91.0,104.0,32.0,885.0,17.4,0.50,8.80,0.50,0.5,40.0
550034,1994,1994,257490,373940,1.157,142.0,26.0,15.0,57.0,135.0,26.0,959.0,16.0,0.70,9.30,0.50,,37.0
550035,1994,1994,256450,384410,0.991,99.0,46.0,19.0,103.0,91.0,29.0,752.0,17.3,0.50,10.30,0.50,,53.0
