SAMPLE_NO,YEAR,LABNO,EASTING,NORTHING,TIO2,V,CO,GA,RB,SR,Y,ZR,NB,BI,TH,AG,CS,LA
550036,1994,1994,259280,381510,0.660,121.0,33.0,13.0,55.0,76.0,24.0,267.0,12.5,0.25,7.40,0.50,,28.0
550037,1994,1994,256620,370830,0.834,104.0,23.0,17.0,95.0,93.0,21.0,392.0,16.4,0.25,8.20,0.50,0.5,30.0
550038,1994,1994,259920,373580,0.991,108.0,16.0,15.0,63.0,106.0,26.0,906.0,16.7,0.25,8.60,0.50,0.5,39.0
550039,1994,1994,253510,374800,0.917,135.0,27.0,14.0,48.0,84.0,21.0,297.0,13.5,0.25,7.20,0.50,0.5,30.0
550040,1994,1994,253860,380420,1.107,160.0,40.0,21.0,91.0,116.0,31.0,473.0,16.5,0.25,9.00,0.50,,41.0
550041,1994,1994,245150,382110,0.983,66.0,15.0,14.0,75.0,77.0,28.0,1368.0,19.6,0.25,9.10,0.50,0.5,39.0
550042,1994,1994,244830,378080,0.884,86.0,32.0,19.0,114.0,86.0,26.0,796.0,17.0,0.25,9.50,0.50,0.5,48.0
550043,1994,1994,246700,375730,0.941,79.0,16.0,15.0,82.0,65.0,22.0,648.0,17.1,0.25,8.70,0.50,0.5,43.0
550044,1994,1994,247200,378070,0.784,91.0,73.0,19.0,104.0,65.0,36.0,734.0,14.7,0.25,10.50,1.00,0.5,58.0
550045,1994,1994,244290,380600,0.892,66.0,12.0,15.0,89.0,89.0,28.0,793.0,18.2,0.60,8.50,0.50,1.0,34.0
550046,1994,1994,245730,382300,1.041,125.0,27.0,22.0,126.0,99.0,33.0,931.0,20.8,0.50,9.80,0.50,0.5,47.0
550047,1994,1994,250100,370580,1.008,78.0,11.0,14.0,65.0,102.0,25.0,956.0,18.9,0.25,8.40,0.50,0.5,30.0
550048,1994,1994,255700,384720,0.991,78.0,15.0,15.0,72.0,77.0,20.0,878.0,16.9,0.25,8.10,0.50,0.5,30.0
550049,1994,1994,246190,381720,0.925,89.0,31.0,18.0,109.0,87.0,27.0,1174.0,18.4,0.60,9.40,0.50,0.5,41.0
550050,1994,1994,249500,373600,1.314,128.0,27.0,16.0,83.0,96.0,26.0,1074.0,20.7,0.50,9.40,0.50,0.5,40.0
550051,1994,1994,257550,382700,1.057,96.0,33.0,19.0,98.0,119.0,31.0,858.0,18.4,0.25,10.30,0.50,,53.0
550052,1994,1994,256410,380240,0.908,148.0,16.0,15.0,58.0,99.0,22.0,349.0,14.3,0.25,7.80,1.00,,27.0
550053,1994,1994,258820,409280,0.710,92.0,47.0,19.0,120.0,113.0,33.0,537.0,16.8,0.25,9.30,0.50,,43.0
550054,1994,1994,254420,375700,0.801,110.0,20.0,13.0,51.0,76.0,31.0,401.0,14.0,0.25,7.70,0.50,0.5,32.0
550055,1994,1994,244730,375750,0.867,90.0,28.0,17.0,101.0,93.0,31.0,701.0,17.6,0.25,9.10,0.50,,45.0
550056,1994,1994,246870,383080,1.223,111.0,27.0,21.0,103.0,88.0,34.0,865.0,26.0,0.25,9.10,0.50,,51.0
550057,1994,1994,253780,382770,0.991,92.0,37.0,17.0,89.0,92.0,25.0,818.0,16.4,0.25,9.60,0.50,,41.0
550058,1994,1994,246430,378900,0.900,95.0,32.0,21.0,120.0,90.0,28.0,871.0,17.3,0.25,10.30,0.50,0.5,50.0
550059,1994,1994,258150,381260,1.008,128.0,21.0,15.0,48.0,103.0,17.0,430.0,15.6,0.25,8.20,0.50,,24.0
550060,1994,1994,259320,378070,0.635,146.0,24.0,11.0,39.0,67.0,24.0,218.0,10.8,0.25,7.00,4.00,,34.0
550061,1994,1994,254430,383250,1.057,87.0,33.0,17.0,97.0,96.0,35.0,980.0,18.5,0.25,10.80,0.50,0.5,69.0
550062,1994,1994,255620,374380,0.991,93.0,15.0,12.0,45.0,89.0,22.0,845.0,16.1,0.25,7.30,0.50,0.5,29.0
550063,1994,1994,251800,377230,1.033,119.0,41.0,22.0,117.0,116.0,32.0,607.0,18.4,0.25,10.10,2.00,,53.0
550064,1994,1994,255590,380700,0.834,107.0,27.0,10.0,51.0,64.0,22.0,569.0,13.9,0.25,7.20,2.00,,29.0
550065,1994,1994,256300,370430,0.809,104.0,28.0,15.0,81.0,96.0,22.0,590.0,15.6,0.25,8.10,0.50,0.5,36.0
550066,1994,1994,256220,381740,1.107,158.0,27.0,16.0,75.0,102.0,31.0,471.0,15.9,0.60,8.70,1.00,,41.0
550067,1994,1994,257920,376550,1.016,87.0,8.0,10.0,36.0,98.0,22.0,324.0,14.6,0.25,6.90,0.50,0.5,24.0
550069,1994,1994,254660,370210,0.917,113.0,20.0,17.0,87.0,97.0,36.0,1974.0,17.3,1.10,10.30,0.50,0.5,56.0
550070,1994,1994,258550,381310,0.875,144.0,32.0,15.0,62.0,98.0,22.0,266.0,14.2,0.25,8.30,0.50,0.5,29.0
550071,1994,1994,254220,380980,1.024,90.0,37.0,17.0,94.0,85.0,23.0,897.0,17.5,0.25,9.40,0.50,,40.0
550072,1994,1994,258730,371400,0.900,78.0,23.0,12.0,50.0,122.0,22.0,965.0,16.2,0.60,8.50,0.50,0.5,32.0
550073,1994,1994,245910,377030,0.892,87.0,38.0,18.0,103.0,74.0,29.0,928.0,16.5,0.25,10.00,0.50,,55.0
550074,1994,1994,258450,383620,0.983,90.0,48.0,16.0,84.0,94.0,28.0,735.0,16.1,0.60,9.40,0.50,,50.0
550076,1994,1994,259880,408750,0.751,68.0,37.0,15.0,91.0,96.0,29.0,633.0,16.2,0.25,8.60,0.50,,39.0
550077,1994,1994,248410,373050,1.033,121.0,31.0,18.0,99.0,101.0,28.0,702.0,18.4,0.25,9.50,0.50,0.5,42.0
550079,1994,1994,256960,380110,1.016,149.0,21.0,15.0,52.0,92.0,24.0,312.0,14.6,0.25,7.60,0.50,,27.0
550080,1994,1994,255480,374060,0.900,108.0,18.0,10.0,40.0,100.0,22.0,817.0,14.6,0.25,7.70,0.50,,33.0
550081,1994,1994,259880,408750,0.710,67.0,32.0,16.0,103.0,88.0,29.0,726.0,16.1,0.25,9.00,0.50,,40.0
550082,1994,1994,245780,375900,0.966,87.0,27.0,17.0,101.0,72.0,31.0,1555.0,17.5,0.25,9.10,0.50,0.5,43.0
550083,1994,1994,252830,379850,0.875,91.0,57.0,19.0,105.0,92.0,24.0,856.0,16.1,0.25,9.60,0.50,0.5,45.0
550084,1994,1994,252710,380980,0.900,92.0,22.0,18.0,90.0,77.0,34.0,649.0,16.2,0.25,9.80,0.50,0.5,57.0
550085,1994,1994,250900,374550,1.289,134.0,28.0,17.0,85.0,97.0,27.0,1122.0,20.7,0.90,9.10,0.50,,43.0
550087,1994,1994,249420,377830,0.726,87.0,72.0,19.0,110.0,98.0,25.0,506.0,14.9,0.25,10.10,0.50,,49.0
550088,1994,1994,255250,383790,0.983,83.0,37.0,14.0,70.0,83.0,24.0,789.0,16.0,0.25,9.10,0.50,0.5,40.0
550089,1994,1994,252900,379380,1.024,97.0,37.0,22.0,116.0,130.0,43.0,928.0,17.4,0.60,12.60,0.50,0.5,74.0
550090,1994,1994,255230,371130,0.892,97.0,16.0,16.0,89.0,91.0,25.0,669.0,16.8,0.25,8.90,0.50,0.5,37.0
550091,1994,1994,259530,374920,1.099,145.0,21.0,14.0,46.0,103.0,37.0,906.0,17.4,0.25,7.90,0.50,0.5,40.0
550092,1994,1994,250330,375530,0.999,192.0,28.0,21.0,122.0,57.0,29.0,392.0,17.4,0.25,9.60,0.50,0.5,44.0
550093,1994,1994,253800,379750,1.066,123.0,41.0,19.0,111.0,115.0,41.0,841.0,18.1,0.25,10.90,1.00,0.5,88.0
550094,1994,1994,245130,381400,1.124,96.0,22.0,17.0,100.0,93.0,31.0,1057.0,21.2,0.25,9.30,0.50,0.5,40.0
550095,1994,1994,251680,380070,0.834,86.0,92.0,19.0,103.0,87.0,27.0,755.0,15.5,0.25,9.40,0.50,,51.0
550096,1994,1994,248810,371240,1.107,124.0,20.0,17.0,89.0,90.0,35.0,1879.0,19.9,0.50,10.10,0.50,2.0,39.0
550097,1994,1994,257790,383700,1.057,95.0,32.0,17.0,88.0,80.0,27.0,909.0,17.8,0.25,9.50,0.50,0.5,44.0
550098,1994,1994,247660,382830,1.256,134.0,40.0,24.0,129.0,83.0,38.0,877.0,28.8,0.60,10.50,0.50,0.5,67.0
550099,1994,1994,258580,372550,0.925,129.0,24.0,13.0,56.0,104.0,27.0,1327.0,14.8,0.25,9.80,1.00,,47.0
550100,1994,1994,250200,371700,0.817,95.0,17.0,15.0,86.0,101.0,24.0,387.0,15.9,0.25,8.50,0.50,0.5,36.0
550101,1994,1994,255050,402450,0.801,92.0,38.0,14.0,72.0,132.0,28.0,538.0,17.5,0.25,8.10,0.50,,38.0
550102,1994,1994,240340,405730,0.677,67.0,32.0,15.0,83.0,220.0,38.0,481.0,15.8,0.25,9.10,0.50,0.5,61.0
550103,1994,1994,256980,402250,1.157,144.0,29.0,20.0,84.0,118.0,35.0,935.0,21.0,0.60,8.70,0.50,,39.0
550104,1994,1994,250430,397300,1.165,184.0,46.0,17.0,45.0,169.0,34.0,333.0,21.2,0.50,7.70,0.50,,29.0
550105,1994,1994,253680,396830,1.074,111.0,68.0,18.0,89.0,84.0,33.0,921.0,22.5,0.50,9.20,0.50,,44.0
550106,1994,1994,243400,406100,0.735,63.0,21.0,16.0,85.0,135.0,32.0,983.0,17.6,0.25,8.60,0.50,0.5,41.0
550107,1994,1994,247200,405380,0.701,59.0,16.0,11.0,54.0,101.0,33.0,1273.0,14.7,0.25,8.40,0.50,0.5,55.0
550108,1994,1994,247510,403520,0.718,88.0,28.0,20.0,114.0,167.0,33.0,862.0,19.8,0.25,9.70,0.50,,51.0
550109,1994,1994,240780,409790,0.809,71.0,34.0,15.0,67.0,155.0,37.0,770.0,18.4,0.25,8.80,0.50,,55.0
550110,1994,1994,248610,406450,0.900,61.0,20.0,14.0,79.0,111.0,29.0,1163.0,20.6,0.60,9.00,0.50,0.5,38.0
550111,1994,1994,254180,401320,1.008,134.0,24.0,15.0,51.0,145.0,32.0,574.0,18.4,0.25,8.10,0.50,0.5,36.0
550112,1994,1994,241070,404730,0.759,55.0,10.0,13.0,56.0,131.0,24.0,1076.0,16.6,0.25,7.80,0.50,0.5,25.0
550113,1994,1994,241290,408510,0.801,69.0,16.0,15.0,70.0,152.0,33.0,1226.0,18.5,0.25,8.60,0.50,0.5,49.0
550114,1994,1994,253620,399870,1.165,132.0,22.0,14.0,24.0,142.0,27.0,628.0,18.7,0.25,7.00,0.50,0.5,21.0
550115,1994,1994,248550,405600,0.842,56.0,33.0,14.0,78.0,92.0,31.0,951.0,20.1,0.25,8.60,0.50,0.5,42.0
550116,1994,1994,251050,402950,0.652,62.0,59.0,15.0,89.0,228.0,28.0,455.0,15.0,0.25,8.10,1.00,,42.0
550118,1994,1994,259220,401200,1.215,150.0,32.0,20.0,81.0,114.0,34.0,1090.0,22.2,0.50,8.70,0.50,,36.0
550119,1994,1994,248850,402450,0.751,78.0,21.0,18.0,103.0,144.0,31.0,848.0,17.3,0.25,9.00,0.50,0.5,40.0
550120,1994,1994,245800,409750,0.726,81.0,40.0,18.0,108.0,114.0,34.0,673.0,19.3,0.25,9.40,0.50,0.5,50.0
550121,1994,1994,246630,402900,0.867,95.0,23.0,14.0,49.0,223.0,23.0,482.0,14.3,0.25,7.00,0.50,0.5,25.0
550122,1994,1994,251150,405530,0.817,81.0,27.0,18.0,113.0,89.0,34.0,547.0,20.0,0.60,9.40,1.00,0.5,46.0
550123,1994,1994,256230,408290,0.718,68.0,39.0,15.0,84.0,106.0,28.0,620.0,15.6,0.25,8.50,0.50,,36.0
550124,1994,1994,254840,405360,0.809,74.0,18.0,15.0,71.0,197.0,26.0,552.0,17.4,0.25,8.60,0.50,,38.0
550125,1994,1994,251860,402400,0.751,99.0,32.0,25.0,158.0,103.0,48.0,436.0,20.3,0.25,12.10,0.50,,67.0
550126,1994,1994,251520,401200,1.008,88.0,33.0,16.0,72.0,133.0,29.0,922.0,21.2,0.25,8.70,0.50,,49.0
550127,1994,1994,245240,405260,0.726,58.0,29.0,15.0,65.0,141.0,33.0,403.0,16.2,0.25,8.10,0.50,0.5,44.0
550128,1994,1994,250270,407230,0.884,66.0,18.0,15.0,81.0,124.0,33.0,1330.0,19.1,0.25,9.10,0.50,0.5,49.0
550129,1994,1994,255630,407520,0.751,67.0,37.0,13.0,71.0,99.0,31.0,887.0,15.6,0.25,8.80,0.50,,36.0
550130,1994,1994,243250,408750,0.809,48.0,20.0,12.0,62.0,114.0,26.0,998.0,17.3,0.25,8.10,0.50,0.5,35.0
550131,1994,1994,249960,402290,0.660,67.0,52.0,11.0,46.0,119.0,38.0,560.0,13.8,0.25,7.90,0.50,,66.0
550132,1994,1994,250390,402340,0.743,94.0,40.0,20.0,115.0,119.0,36.0,669.0,17.7,0.25,9.90,0.50,,49.0
550133,1994,1994,254020,403030,0.941,114.0,37.0,22.0,132.0,91.0,44.0,374.0,20.4,0.25,11.10,0.50,0.5,67.0
550134,1994,1994,250420,409420,0.850,94.0,17.0,18.0,94.0,119.0,26.0,437.0,18.0,0.25,8.30,0.50,0.5,39.0
550135,1994,1994,247130,409850,0.792,86.0,39.0,21.0,118.0,138.0,34.0,697.0,19.9,0.25,9.90,0.50,0.5,54.0
550136,1994,1994,248100,409500,0.983,66.0,16.0,16.0,85.0,97.0,36.0,988.0,22.2,0.25,9.70,0.50,0.5,50.0
550137,1994,1994,253320,400990,0.884,106.0,31.0,15.0,65.0,145.0,27.0,385.0,17.1,0.25,7.60,0.50,0.5,34.0
550138,1994,1994,256380,404640,0.718,83.0,26.0,22.0,143.0,116.0,35.0,553.0,18.2,0.25,9.90,0.50,,50.0
550139,1994,1994,259830,402040,0.950,109.0,40.0,20.0,99.0,145.0,38.0,613.0,19.9,0.25,9.80,0.50,,58.0
550140,1994,1994,254420,402260,0.759,78.0,23.0,18.0,98.0,105.0,29.0,661.0,18.7,0.25,9.00,0.50,,40.0
550141,1994,1994,247800,402610,0.693,67.0,22.0,17.0,99.0,135.0,28.0,756.0,16.4,0.25,9.00,0.50,,38.0
550142,1994,1994,246120,406140,0.792,58.0,28.0,14.0,70.0,151.0,38.0,738.0,17.3,0.25,8.90,0.50,0.5,48.0
550143,1994,1994,256030,408620,0.776,61.0,14.0,14.0,75.0,85.0,29.0,1312.0,15.9,0.25,9.10,0.50,0.5,33.0
550145,1994,1994,251590,408680,0.776,88.0,42.0,17.0,90.0,118.0,31.0,464.0,16.7,0.25,8.40,0.50,,40.0
550146,1994,1994,252870,407400,0.850,62.0,21.0,12.0,55.0,159.0,28.0,902.0,15.6,0.25,8.10,0.50,0.5,35.0
550147,1994,1994,254300,396240,1.099,211.0,45.0,23.0,98.0,106.0,39.0,524.0,21.6,0.25,9.10,1.00,0.5,44.0
550148,1994,1994,257080,403530,0.809,84.0,49.0,20.0,119.0,102.0,37.0,709.0,19.6,0.25,9.60,0.50,,48.0
550149,1994,1994,250320,407450,0.842,64.0,23.0,15.0,75.0,148.0,28.0,726.0,17.8,0.25,7.80,0.50,,39.0
550150,1994,1994,258400,402920,0.941,114.0,31.0,20.0,100.0,122.0,33.0,590.0,19.9,0.25,8.80,0.50,,47.0
550151,1994,1994,241350,403760,0.850,76.0,21.0,15.0,67.0,164.0,37.0,931.0,17.8,0.25,8.40,0.50,0.5,50.0
550152,1994,1994,253200,397060,0.917,112.0,32.0,22.0,107.0,104.0,31.0,650.0,21.8,0.25,9.20,0.50,,41.0
550154,1994,1994,259270,402820,0.975,130.0,41.0,20.0,92.0,145.0,34.0,804.0,18.9,0.25,8.00,0.50,,38.0
550155,1994,1994,251280,407550,0.941,64.0,16.0,15.0,72.0,125.0,32.0,1365.0,18.9,0.50,9.20,0.50,0.5,39.0
550156,1994,1994,247020,403580,0.834,87.0,28.0,15.0,66.0,241.0,28.0,984.0,15.6,0.25,8.20,0.50,,35.0
550157,1994,1994,256950,401630,0.900,101.0,21.0,21.0,111.0,201.0,33.0,546.0,20.6,0.25,9.80,0.50,0.5,48.0
550158,1994,1994,241950,406990,0.735,69.0,14.0,20.0,124.0,130.0,28.0,577.0,16.7,0.25,9.40,0.50,0.5,49.0
550159,1994,1994,240600,406930,0.768,79.0,27.0,21.0,128.0,176.0,29.0,755.0,17.9,0.50,9.50,0.50,0.5,54.0
550160,1994,1994,251500,397720,0.884,111.0,39.0,19.0,90.0,101.0,28.0,697.0,19.5,0.25,9.00,0.50,,35.0
550161,1994,1994,244320,406740,0.743,62.0,39.0,15.0,89.0,132.0,31.0,825.0,17.2,0.25,9.10,0.50,,42.0
550163,1994,1994,259750,405280,1.016,67.0,29.0,16.0,88.0,105.0,36.0,1536.0,20.5,0.60,9.40,0.50,,45.0
550164,1994,1994,246700,406400,0.751,59.0,43.0,14.0,67.0,122.0,36.0,390.0,16.4,0.25,8.30,0.50,0.5,55.0
550165,1994,1994,242520,409500,0.751,64.0,21.0,16.0,88.0,139.0,28.0,577.0,18.0,0.70,8.60,0.50,0.5,44.0
550166,1994,1994,259740,406060,0.826,68.0,41.0,14.0,57.0,131.0,35.0,470.0,15.8,0.25,7.90,1.00,,47.0
550167,1994,1994,251960,406750,0.900,59.0,28.0,14.0,76.0,103.0,29.0,704.0,20.0,0.25,8.20,0.50,0.5,41.0
550168,1994,1994,253740,396980,1.008,146.0,41.0,22.0,109.0,104.0,32.0,667.0,22.6,0.25,8.80,0.50,,41.0
550169,1994,1994,256210,401250,1.008,172.0,32.0,22.0,103.0,114.0,33.0,569.0,21.2,0.25,8.70,0.50,,34.0
550170,1994,1994,249580,404300,0.875,84.0,37.0,18.0,103.0,116.0,31.0,868.0,24.0,0.25,9.50,0.50,0.5,47.0
550171,1994,1994,252020,409820,0.602,60.0,37.0,10.0,45.0,119.0,28.0,581.0,13.2,0.25,7.30,0.50,0.5,38.0
550172,1994,1994,252900,396950,0.875,111.0,45.0,22.0,124.0,94.0,33.0,595.0,22.7,0.25,9.30,0.50,,48.0
550173,1994,1994,246350,409620,0.784,72.0,32.0,17.0,87.0,91.0,35.0,783.0,19.4,0.25,10.10,0.50,0.5,53.0
550174,1994,1994,254860,403780,0.850,102.0,79.0,16.0,108.0,114.0,45.0,605.0,18.6,0.25,10.30,0.50,,66.0
550176,1994,1994,252830,399980,1.074,162.0,98.0,15.0,40.0,139.0,24.0,313.0,18.2,0.25,7.70,0.50,,23.0
550177,1994,1994,246300,407320,0.892,74.0,21.0,19.0,96.0,129.0,34.0,936.0,20.8,0.25,9.40,0.50,0.5,47.0
550178,1994,1994,248550,407020,0.792,68.0,29.0,17.0,110.0,129.0,28.0,623.0,19.5,0.25,9.40,0.50,0.5,46.0
550179,1994,1994,250900,406800,0.875,89.0,37.0,15.0,77.0,127.0,29.0,1041.0,18.1,0.50,9.40,0.50,0.5,40.0
550180,1994,1994,253150,404550,0.685,69.0,26.0,17.0,101.0,254.0,31.0,426.0,16.0,0.25,9.20,0.50,0.5,46.0
550181,1994,1994,258180,406260,0.908,66.0,32.0,16.0,102.0,288.0,38.0,1721.0,18.6,1.00,9.50,0.50,,45.0
550182,1994,1994,242620,404130,0.792,87.0,27.0,23.0,138.0,177.0,44.0,812.0,20.7,0.25,10.80,0.50,0.5,66.0
550183,1994,1994,244020,405900,0.743,68.0,37.0,19.0,106.0,151.0,32.0,903.0,18.0,0.25,9.50,0.50,0.5,51.0
550184,1994,1994,258420,405300,0.859,72.0,27.0,15.0,84.0,152.0,29.0,808.0,17.8,0.25,8.70,0.50,,37.0
550185,1994,1994,248920,403640,0.801,93.0,39.0,24.0,124.0,161.0,45.0,650.0,26.7,0.25,10.80,0.50,0.5,90.0
550186,1994,1994,256580,408750,0.850,99.0,18.0,17.0,99.0,101.0,29.0,848.0,17.0,0.25,9.00,0.50,0.5,38.0
550188,1994,1994,257200,403010,0.826,60.0,18.0,15.0,78.0,92.0,27.0,975.0,17.9,0.25,8.20,0.50,0.5,34.0
550189,1994,1994,240490,403640,0.826,65.0,12.0,14.0,60.0,145.0,28.0,854.0,17.5,0.25,8.10,0.50,0.5,34.0
550190,1994,1994,246950,404710,0.801,78.0,26.0,17.0,95.0,159.0,39.0,986.0,19.7,0.25,8.90,0.50,0.5,62.0
550191,1994,1994,252300,395570,0.941,107.0,60.0,20.0,105.0,71.0,29.0,802.0,21.8,0.50,8.80,0.50,,42.0
550192,1994,1994,245780,406980,0.908,70.0,16.0,15.0,82.0,119.0,48.0,1153.0,20.4,0.25,9.20,0.50,0.5,51.0
550193,1994,1994,248400,403000,0.759,70.0,20.0,19.0,138.0,111.0,33.0,612.0,17.3,0.25,9.80,0.50,0.5,45.0
550194,1994,1994,257220,401450,0.917,111.0,32.0,24.0,138.0,107.0,29.0,597.0,24.5,0.25,9.00,0.50,,38.0
550195,1994,1994,253170,406140,1.049,66.0,20.0,14.0,79.0,142.0,39.0,2473.0,21.1,0.70,9.70,0.50,,41.0
550196,1994,1994,250430,397300,1.157,176.0,43.0,20.0,54.0,178.0,32.0,357.0,21.1,0.25,7.70,0.50,0.5,26.0
550197,1994,1994,251360,397350,0.950,150.0,37.0,17.0,56.0,133.0,28.0,431.0,18.5,0.25,7.50,0.50,0.5,25.0
550198,1994,1994,253450,403850,0.809,78.0,29.0,17.0,92.0,123.0,33.0,777.0,17.7,0.25,9.70,0.50,,41.0
550199,1994,1994,254000,404950,0.809,64.0,18.0,15.0,77.0,174.0,31.0,548.0,17.5,0.25,9.20,0.50,0.5,45.0
550200,1994,1994,243050,408650,0.751,43.0,23.0,12.0,54.0,110.0,25.0,620.0,16.0,0.25,8.60,0.50,0.5,36.0
550201,1994,1994,241100,399600,0.801,96.0,21.0,21.0,124.0,137.0,34.0,777.0,20.0,0.25,9.00,0.50,0.5,48.0
550202,1994,1994,259700,385400,0.933,84.0,68.0,14.0,74.0,68.0,23.0,721.0,14.9,0.25,9.30,1.00,,40.0
550203,1994,1994,245260,395980,1.206,200.0,56.0,18.0,35.0,135.0,32.0,629.0,21.1,0.70,7.40,1.00,,27.0
550204,1994,1994,242600,398090,1.148,118.0,27.0,18.0,86.0,133.0,41.0,1219.0,22.3,0.25,9.50,0.50,0.5,48.0
550205,1994,1994,243980,391500,0.792,81.0,23.0,19.0,160.0,57.0,35.0,481.0,18.1,0.25,9.30,0.50,4.0,41.0
550206,1994,1994,257150,386570,0.884,85.0,46.0,17.0,89.0,96.0,26.0,836.0,16.4,0.25,8.90,0.50,0.5,51.0
550207,1994,1994,245820,398900,0.867,98.0,27.0,19.0,95.0,125.0,27.0,662.0,19.7,0.25,8.40,0.50,0.5,35.0
550208,1994,1994,245990,391130,0.867,89.0,23.0,21.0,117.0,109.0,33.0,970.0,21.1,0.25,9.40,0.50,,42.0
550209,1994,1994,241400,390300,0.842,73.0,20.0,16.0,127.0,88.0,25.0,826.0,17.8,0.25,8.70,0.50,0.5,36.0
550211,1994,1994,255130,388530,1.273,106.0,12.0,18.0,87.0,112.0,36.0,761.0,23.4,0.25,9.10,0.50,0.5,66.0
