LGDNAME,AREA,LGDCode,OBJECTID
Antrim and Newtownabbey,903614.24375,N09000001,1
Armagh City Banbridge and Craigavon,103792894.801,N09000002,2
Belfast,977756.97372,N09000003,3
Causeway Coast and Glens,118752532.362,N09000004,4
Derry City and Strabane,48375485.3585,N09000005,5
Fermanagh and Omagh,38139561.4605,N09000006,6
Lisburn and Castlereagh,34379518.9629,N09000007,7
Mid and East Antrim,2608724.82385,N09000008,8
Mid Ulster,137028550.404,N09000009,9
Newry Mourne and Down,3296231.01876,N09000010,10
Ards and North Down,2432209.0909,N09000011,11
