FID,FEATURECOD,UPDATE_YEA,SHAPE_area,SHAPE_len
1,430,2004,25111.604158,843.887679
2,430,2004,7987.237052,334.906257
3,430,2004,16955.905659,516.410924
4,420,2004,19637.515318,578.273348
5,430,2004,20932.452085,635.615253
6,430,2004,28079.928205,737.176784
7,430,2004,2597.179335,223.958732
8,430,2004,144025.191772,1658.835648
9,470,2004,42178862.5565,56064.601228
10,420,2004,25924.64369,653.084535
11,420,2004,51748.432898,1655.267418
12,450,2004,69880.682331,1566.4239
13,520,2004,22517.702232,1545.159047
14,450,2004,20170.382704,896.941534
15,420,2004,44955.67929,842.341933
16,430,2004,13154.898965,445.565083
17,420,2004,35688.869999,750.926547
18,430,2004,20254.011278,534.895962
19,460,2004,2144283.98337,158264.043827
20,470,2004,1621430.67556,8882.48463
21,430,2004,13149.883744,1141.511894
22,430,2004,83219.323805,1185.073167
23,430,2004,25499.455874,784.361034
24,430,2004,49780.35052,933.036835
25,460,2004,86711.312389,15895.295578
26,430,2004,6974.722535,332.749743
27,460,2004,219818.259749,3463.290265
28,430,2004,8031.065242,397.272295
29,430,2004,26980.089955,624.944799
30,470,2004,6400304.04769,13192.70251
31,430,2004,34468.439863,801.554735
32,470,2004,9683.620395,779.879731
33,430,2004,56667.320675,1744.166284
34,430,2004,26316.051142,823.169021
35,430,2004,28083.544841,696.812948
36,470,2004,11801.307576,412.716948
37,430,2004,3874.35189,366.411992
38,430,2004,69577.139161,1333.422749
39,420,2004,23180.520574,579.089204
40,430,2004,3267.670504,219.375255
41,430,2004,2829.549155,241.249027
42,420,2004,11895.003226,450.83892
43,430,2004,3315.988223,259.175889
44,430,2004,25301.186874,691.596088
45,430,2004,6418.840838,372.233172
46,430,2004,188018.80539,2505.378452
47,430,2004,5862.814532,324.584981
48,420,2004,57401.395766,1126.334452
49,430,2004,38265.014122,912.216979
50,470,2004,1935.470777,261.325996
51,430,2004,6635.329625,304.837109
52,430,2004,27980.755354,640.365553
53,430,2004,3803.01475,268.865632
54,470,2004,3196.632055,340.436202
55,420,2004,100557.440454,1463.807689
56,430,2004,6878.841722,346.955297
57,430,2004,12583.205675,501.299301
58,420,2004,32053.107304,737.124902
59,430,2004,5406.390422,391.018304
60,430,2004,72858.954628,1183.752053
61,430,2004,136086.847808,2963.537759
62,430,2004,69719.253982,1085.527671
63,470,2004,19392.639592,692.156402
64,430,2004,163763.220514,2460.539588
65,420,2004,34680.949216,1252.467683
66,470,2004,2010.614514,185.334331
67,470,2004,374656.604221,3970.749702
68,430,2004,5416.316535,276.007798
69,430,2004,2125.732159,173.871273
70,470,2004,666968.868853,4627.448139
71,430,2004,9706.663447,400.565792
72,470,2004,30741.722196,1115.040855
73,430,2004,15912.343659,498.629203
74,430,2004,3677.252923,318.183057
75,420,2004,45965.565761,848.252213
76,430,2004,4196.360311,269.035098
77,420,2004,112298.941112,1935.798546
78,430,2004,7599.571958,396.526131
79,430,2004,5818.666973,363.150581
80,420,2004,52061.896677,1216.878692
81,430,2004,5687.775988,279.447457
82,430,2004,42163.685617,955.714136
83,420,2004,145218.296943,4068.23943
84,460,2004,45620.014107,2480.753882
85,470,2004,402.174992,78.110253
86,430,2004,54696.793796,1053.921318
87,470,2004,14055.425759,874.558803
88,430,2004,48689.628987,1212.567068
89,430,2004,3880.970963,279.803091
90,430,2004,34403.458232,813.607867
91,430,2004,11008.311756,486.28782
92,470,2004,73682.421275,2143.208442
93,430,2004,2338.693199,180.27079
94,470,2004,3319.459912,353.859386
95,430,2004,16693.37894,469.394261
96,420,2004,23707.140348,1590.169707
97,460,2004,903551.4606,53852.26646
98,420,2004,127786.649706,3749.05272
99,470,2004,386775.207477,2923.992364
100,430,2004,54785.395149,948.463008
101,470,2004,936998.137926,6844.911614
102,470,2004,3333.687448,206.626952
103,420,2004,16237.989741,544.283971
104,420,2004,155833.723018,4505.010669
105,460,2004,1061006.65316,77241.705636
106,470,2004,2617.361863,249.520681
107,430,2004,32714.979265,792.929695
108,420,2004,58662.691506,1028.276407
109,420,2004,44768.327587,845.894736
110,430,2004,19209.542027,634.100296
111,420,2004,46869.763227,1212.317486
112,470,2004,3840.038952,254.216978
113,420,2004,8172.367851,629.682253
114,420,2004,3097.826767,327.723835
115,470,2004,662.478815,92.887194
116,420,2004,49168.720345,1155.942344
117,420,2004,7307.827428,909.093728
118,420,2004,27403.142272,950.509592
119,470,2004,1087.602243,121.398111
120,420,2004,24036.204228,727.122885
121,430,2004,38409.444827,873.237276
122,430,2004,64130.865672,1043.787003
123,430,2004,23969.177801,675.543174
124,420,2004,133056.002342,3056.037673
125,420,2004,42611.072558,1660.768287
126,470,2004,3633.55242,269.135182
127,430,2004,20729.687552,865.335821
128,470,2004,1560.596601,146.789879
129,470,2004,88662.842929,1298.347613
130,470,2004,1457.275063,143.955686
131,420,2004,56564.477017,1233.846449
132,420,2004,146983.332505,2907.291184
133,460,2004,5368915.84084,220225.248843
134,420,2004,62814.886037,1626.518709
135,460,2004,5287.891794,840.592314
136,410,2004,306831.681196,5576.656724
137,470,2004,6015.10852,341.685942
138,470,2004,2996.407105,264.560048
139,420,2004,81585.653696,1173.766195
140,470,2004,1987.883872,182.565914
141,430,2004,64053.8593,968.654209
142,470,2004,1134.595615,132.646935
143,420,2004,85046.55762,1365.495278
144,470,2004,1883.909543,204.422826
145,470,2004,444.648218,85.532718
146,470,2004,1653.949098,225.509892
147,470,2004,1591.528005,216.135644
148,470,2004,11791.423385,651.135178
149,430,2004,5170.477055,283.541637
150,460,2004,43400.394318,5998.30557
151,430,2004,1643.848877,183.11582
152,460,2004,65201.656976,8156.1385
153,430,2004,3927.392136,266.492011
154,430,2004,6159.12442,297.904496
155,420,2004,46744.417137,808.068154
156,430,2004,2306.333465,189.114534
157,470,2004,43612.585566,1554.324443
158,470,2004,165233.652612,2117.033152
159,430,2004,20949.525906,557.631639
160,430,2004,3806.031816,253.075968
161,470,2004,14930.982911,629.198122
162,430,2004,43087.418646,1125.279098
163,430,2004,954.902286,122.636164
164,420,2004,51327.409818,1765.58047
165,430,2004,29894.466758,698.350643
166,430,2004,6428.423268,406.545876
167,430,2004,52575.009711,1016.530027
168,430,2004,3970.246644,239.787813
169,470,2004,18739.262038,694.165227
170,430,2004,6342.224442,320.35691
171,420,2004,2818.248487,305.889641
172,460,2004,4649.849067,406.980457
173,420,2004,9340.603136,480.143977
174,450,2004,463461683.543,1197080.60274
175,430,2004,27055.339046,800.284254
176,460,2004,629690.080502,41338.417024
177,430,2004,30.645569,33.103766
178,430,2004,4235.178162,299.143709
179,460,2004,34257.690517,1519.400483
180,430,2004,39784.587157,855.603734
