Neighborhood,Sector #,Population (2010),#Part 1 (Major Crime) Reports (2010),#Part 2 Reports (2010),#Other Police Reports (2010),Part 1 Crime per 100 Persons (2010),Part 2 Crime per 100 Persons (2010),#Murder (2010),#Rape (2010),#Robbery (2010),#Agr. Assault (2010),#Burglary (2010),#Auto Theft (2010),#Drug Violations (2010)
Allegheny Center,3,933,71,141,46,7.6,15.1,0,2,9,5,8,5,31
Allegheny West,3,462,38,49,31,8.2,10.6,1,0,4,6,6,4,12
Allentown,6,"2,500",159,252,160,6.4,10.1,0,2,15,23,48,11,66
Arlington,7,"1,869",50,84,48,2.7,4.5,0,1,8,5,15,7,9
Arlington Heights,7,244,19,37,24,7.8,15.2,0,0,4,5,5,3,7
Banksville,5,"4,144",62,81,61,1.5,2.0,0,0,2,5,9,5,7
Bedford Dwellings,15,"1,202",42,80,38,3.5,6.7,0,0,7,8,8,2,25
Beechview,5,"7,974",193,303,148,2.4,3.8,1,1,7,9,47,37,29
Beltzhoover,6,"1,925",83,131,85,4.3,6.8,1,0,6,10,28,8,38
Bloomfield,12,"8,442",453,371,296,5.4,4.4,0,3,45,20,70,36,42
Bluff,15,"6,600",105,191,132,1.6,2.9,0,0,12,11,14,14,37
Bon Air,6,808,26,55,38,3.2,6.8,0,0,1,4,7,1,11
Brighton Heights,2,"7,247",241,286,151,3.3,3.9,0,2,17,23,69,29,34
Brookline,5,"13,214",241,392,248,1.8,3.0,0,1,12,24,43,27,36
California-Kirkbride,3,761,64,89,74,8.4,11.7,1,0,1,6,12,9,48
Carrick,5,"10,113",453,539,355,4.5,5.3,1,2,49,28,118,48,58
Central Business District,16,"3,629",789,566,386,21.7,15.6,0,4,55,27,66,20,66
Central Lawrenceville,13,"4,482",177,231,169,3.9,5.2,0,1,18,12,25,34,40
Central Northside,3,"2,923",118,246,93,4.0,8.4,0,1,15,10,29,12,58
Central Oakland,14,"6,086",236,164,139,3.9,2.7,0,1,23,8,66,14,7
Chartiers City,4,477,9,20,15,1.9,4.2,0,0,0,4,2,2,3
Chateau,3,11,16,24,48,145.5,218.2,0,0,1,0,0,2,14
Crafton Heights,4,"3,814",89,150,68,2.3,3.9,0,2,4,7,29,8,23
Crawford-Roberts,15,"2,256",129,197,102,5.7,8.7,0,0,16,10,20,21,90
Duquesne Heights,6,"2,425",55,44,50,2.3,1.8,0,0,0,4,21,5,2
East Allegheny,3,"2,136",234,317,128,11.0,14.8,0,2,32,28,40,23,73
East Carnegie,4,570,9,11,11,1.6,1.9,0,0,0,1,5,0,0
East Hills,11,"3,169",90,136,88,2.8,4.3,0,0,13,16,25,11,18
East Liberty,12,"5,869",488,446,302,8.3,7.6,2,2,63,40,64,59,57
Elliott,4,"2,381",105,165,97,4.4,6.9,2,0,18,7,22,10,23
Esplen,4,301,31,68,17,10.3,22.6,0,0,5,3,10,6,11
Fairywood,4,"1,002",3,6,9,0.3,0.6,0,0,0,0,1,0,0
Fineview,3,"1,285",70,162,41,5.4,12.6,1,1,6,19,19,8,59
Friendship,12,"1,785",89,44,36,5.0,2.5,0,0,7,4,9,15,8
Garfield,12,"3,675",182,213,159,5.0,5.8,2,1,14,11,50,35,39
Glen Hazel,9,716,10,33,16,1.4,4.6,0,1,2,2,3,1,2
Greenfield,9,"7,294",145,170,153,2.0,2.3,0,2,7,6,43,15,23
Hays,8,362,15,17,7,4.1,4.7,0,0,0,1,5,4,1
Hazelwood,9,"4,317",159,215,124,3.7,5.0,1,0,10,17,47,25,44
Highland Park,12,"6,395",182,165,140,2.8,2.6,1,0,14,8,25,20,45
Homewood North,11,"3,280",198,190,135,6.0,5.8,3,3,14,33,68,24,23
Homewood South,11,"2,344",243,274,197,10.4,11.7,4,0,38,25,74,30,50
Homewood West,11,818,56,75,52,6.8,9.2,1,0,8,3,11,13,7
Knoxville,6,"3,747",223,392,170,6.0,10.5,2,3,25,29,83,21,113
Larimer,12,"1,728",139,125,90,8.0,7.2,3,1,16,19,33,24,22
Lincoln Place,8,"3,227",32,63,33,1.0,2.0,0,0,1,3,11,2,0
Lincoln-Lemington-Belmar,11,"4,883",133,176,113,2.7,3.6,0,0,19,13,34,19,15
