Council,Date,Financial,Value ($000)
Northland Region,2019,30 Receipts from Investing Activities,0
Northland Region,2019,31 Purchase of Property Plant & Equipment,1767
Northland Region,2019,32 Fixed Asset Purchases,0
Northland Region,2019,33 Renewals,0
Northland Region,2019,34 Purchasing of Other Investments,0
Northland Region,2019,35 Net Investing Cash Flows,-1767
Northland Region,2019,36 Cash Receipts from Financing Activities,0
Northland Region,2019,37 Cash Outgoings from Financing Activities,0
Northland Region,2019,38 Net Financing Cash Flows,0
Auckland Region,2010,27 Operating receipts,315903
Auckland Region,2010,28 Operating Payments,335843
Auckland Region,2010,29 Net Operating Cash Flows,-19940
Auckland Region,2010,30 Receipts from Investing Activities,163
Auckland Region,2010,31 Purchase of Property Plant & Equipment,48935
Auckland Region,2010,32 Fixed Asset Purchases,0
Auckland Region,2010,33 Renewals,0
Auckland Region,2010,34 Purchasing of Other Investments,450
Auckland Region,2010,35 Net Investing Cash Flows,-49222
Auckland Region,2010,36 Cash Receipts from Financing Activities,69162
Auckland Region,2010,37 Cash Outgoings from Financing Activities,0
Auckland Region,2010,38 Net Financing Cash Flows,69162
Auckland Region,2011,27 Operating receipts,285873
Auckland Region,2011,28 Operating Payments,295448
Auckland Region,2011,29 Net Operating Cash Flows,-9575
Auckland Region,2011,30 Receipts from Investing Activities,231
Auckland Region,2011,31 Purchase of Property Plant & Equipment,7438
Auckland Region,2011,32 Fixed Asset Purchases,0
Auckland Region,2011,33 Renewals,0
Auckland Region,2011,34 Purchasing of Other Investments,576
Auckland Region,2011,35 Net Investing Cash Flows,-7783
Auckland Region,2011,36 Cash Receipts from Financing Activities,17358
Auckland Region,2011,37 Cash Outgoings from Financing Activities,0
Auckland Region,2011,38 Net Financing Cash Flows,17358
Auckland Region,2012,27 Operating receipts,277200
Auckland Region,2012,28 Operating Payments,286153
Auckland Region,2012,29 Net Operating Cash Flows,-8953
Auckland Region,2012,30 Receipts from Investing Activities,180
Auckland Region,2012,31 Purchase of Property Plant & Equipment,6799
Auckland Region,2012,32 Fixed Asset Purchases,0
Auckland Region,2012,33 Renewals,0
Auckland Region,2012,34 Purchasing of Other Investments,589
Auckland Region,2012,35 Net Investing Cash Flows,-7208
Auckland Region,2012,36 Cash Receipts from Financing Activities,16161
Auckland Region,2012,37 Cash Outgoings from Financing Activities,0
Auckland Region,2012,38 Net Financing Cash Flows,16161
Auckland Region,2013,27 Operating receipts,286641
Auckland Region,2013,28 Operating Payments,294176
Auckland Region,2013,29 Net Operating Cash Flows,-7535
Auckland Region,2013,30 Receipts from Investing Activities,298
Auckland Region,2013,31 Purchase of Property Plant & Equipment,7043
Auckland Region,2013,32 Fixed Asset Purchases,0
Auckland Region,2013,33 Renewals,0
Auckland Region,2013,34 Purchasing of Other Investments,603
Auckland Region,2013,35 Net Investing Cash Flows,-7348
Auckland Region,2013,36 Cash Receipts from Financing Activities,14883
Auckland Region,2013,37 Cash Outgoings from Financing Activities,0
