OBJECTID_1,OBJECTID,TNODE_,LPOLY_,RPOLY_,LENGTH,STREETCL_,STREETCL_I,PREFIX,NAME,TYPE,SUFFIX,STREETNAME,ALTERNATEN,LLEFT,HLEFT,LRGT,HRGT,FROMSTREET,TOSTREET,OWNER,BELTWAY,MAJORRD,NO_LANES,CFCC,ONEWAY,STCL_CODE,UNIQUE_ID,ROUTE_ID,ROUTE_TYPE,LNK_ROUTE_,CITYWORKS,FACILITYID,LEGACYID,INSTALLDAT,WARRANTYDA,CONDITIOND,LOCATION
1,438,0,0,0,1105.358538,68948,19, ,Swimming Pool Entrance, , ,Swimming Pool Entrance ,Swimming Pool entrance,0,0,0,0, , , , , ,0, , ,1630,0,  6265-04, , , ,68948, ,,,, 
2,445,0,0,0,66.290756,68957,9, ,Swimming Pool Entrance, , ,Swimming Pool Entrance ,Swimming Pool Entrance,0,0,0,0, , , , , ,0, , ,1630,0,  6265-03, , , ,68957, ,,,, 
3,,0,0,0,811.716838,60215,, ,Babcock ,Blvd, ,Babcock Blvd,Three Degree Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  2008-04,,,,,,,,,
4,,0,0,0,1001.135188,56389,, ,Graham ,Blvd, ,Graham Blvd,Graham blvd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3138-02,,,,,,,,,
5,,0,0,0,1764.067959,59898,, ,Pittsburgh & McKeesport ,Blvd, ,Pittsburgh & McKeesport Blvd,Pittsburgh 7 McKeesport Blvd,5933,6149,6000,6150,Naugle St,City Limit,County, , ,2,A31,n,0,23007,  5255-00,,,,,,,,,
6,,0,0,0,906.616013,30666,, ,Steubenville Pike/Scott Sta ,Rd, ,Steubenville Pike/Scott Sta Rd,Scott Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6295-00,,,,,,,,,
8,,0,0,0,15645.795541,73539,, ,Greensburg ,Pike, ,Greensburg Pike,Greensburg Pike,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  3139-01,,,,,,,,,
9,108,0,0,0,7494.895749,51871,4, ,Pangburn Hollow ,Rd, ,Pangburn Hollow Rd,Ripple Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  4243-02,SNOW,424302, ,51871, ,,,,Pangburn Hollow Rd
10,,0,0,0,2902.261048,74841,, ,Steuben ,St, ,Steuben St,Steuben St,0,0,0,0, , , , , ,2,A31,n,0,12105,  6291-00,,,,,,,,,
11,42,0,0,0,5715.618784,27805,29, ,Middletown-Coraopolis ,Rd, ,Middletown-Coraopolis Rd,Coraopolis Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6205-00,SNOW,620500, ,27805, ,,,,Middletown-Coraopolis Rd
12,503,0,0,0,4403.068896,70600,2, ,Old Kummer ,Rd, ,Old Kummer Rd,Beauty Rd,0,0,0,0, , , , , ,0, , ,1640,0,  1019-00, , , ,70600, ,,,, 
13,,0,0,0,317.738669,73034,, ,Fleming Park Bridge S.Approach,, ,Fleming Park Bridge S.Approach,Fleming Park Bridge Approach,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  6354-00,,,,,,,,,
14,67,0,0,0,1204.508202,36176,7, ,Pittsburgh Homestead Hi-Level ,Ramp, ,Pittsburgh Homestead Hi-Level Ramp,"Homestead Hi-Level Bridge Ramp, Fifth Ave",0,0,0,0, , , , , ,0, , ,1640,0,  5353-02,SNOW,535302, ,36176, ,,,,Pgh Homestead Grays Ramp
15,,0,0,0,1685.999359,35719,, ,New Ramp To Waterfront Park,, ,New Ramp To Waterfront Park,"New Homestead Hi-Level Bridge Ramp, 5th Sve",0,0,0,0, , , , , ,0, , ,1630,0,  5353-03,,,,,,,,,
16,206,0,0,0,15333.712242,58132,18, ,New England ,Rd, ,New England Rd,New England Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  4231-00,SNOW,423100, ,80179, ,,,,New England Rd
17,195,0,0,0,20480.161309,73921,22, ,Blackburn ,Rd, ,Blackburn Rd,Brandt School Rd,0,0,0,0, , ,County,Orange,Yes,0, , ,1630,0,  1031-01,SNOW-MA,103101MA, ,73921, ,,,,Blackburn Rd
18,197,0,0,0,7181.581947,73949,10, ,Glenfield ,Rd, ,Glenfield Rd,Glenfield Rd,0,0,0,0, , , ,Yellow,Yes,0, , ,1630,0,  1135-02,SNOW-MA,113502MA, ,73949, ,,,,Glenfield Rd
19,198,0,0,0,8415.223705,74035,11, ,Jacks Run ,Rd, ,Jacks Run Rd,Jacks Run Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  1162-00,SNOW,116200, ,74035, ,,,,Jacks Run Rd
20,199,0,0,0,6600.908482,74053,30, ,Bascom ,Ave, ,Bascom Ave,Bascom Ave,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  1016-00,SNOW,101600, ,74053, ,,,,Bascom Ave
