a_year,a_ref,v_id,v_type,v_tow,v_man,v_loc,v_junc,v_skid,v_hit,v_leave,v_hitoff,v_impact,v_sex,v_agegroup,v_hitr,v_forreg
2014,1,1,8,1,1,3, , , , , ,3, ,9,2, 
2014,1,2,8,1,19,3, , , , , ,2,1,4,1, 
2014,1,3,8,1,18,3, , , , , ,2,1,5,1, 
2014,2,1,8,1,18,3, , , , , ,5, ,9,2, 
2014,2,2,8,1,18,3, , , , , ,4,2,6,1, 
2014,3,1,8,1,19,3,1,1,1,1,1,2,1,4,1,1
2014,3,2,8,1,19,3,1,1,1,2,1,2,1,4,1,1
2014,4,1,8,1,18,3, , , , , ,2,2,4,1, 
2014,5,1,8,1,9,3, , , , , ,2,1,7,1, 
2014,5,2,8,1,18,3, , , , , ,2,1,5,1, 
2014,6,1,8,1,8,3, , , , , ,3,1,4,1, 
2014,6,2,8,1,4,3, , , , , ,2,1,4,1, 
2014,7,1,8,1,18,3, , , , , ,4,1,4,1, 
2014,7,2,8,1,18,2, , , , , ,2,1,4,1, 
2014,8,1,8,1,18,3, , , , , ,5,2,5,1, 
2014,9,1,8,1,18,2, , , , , ,4,2,4,1, 
2014,10,1,8,1,18,3, , , , , ,1,2,7,1, 
2014,11,1,8,1,18,3, , , , , ,2,2,7,1, 
2014,12,1,4,1,17,3, , , , , ,1,1,3,1, 
2014,13,1,8,1,18,3, , , , , ,2,2,6,1, 
2014,14,1,8,1,11,3, , , , , ,2,1,3,1, 
2014,15,1,8,1,18,3, , , , , ,1,1,3,1, 
2014,16,1,8,1,4,3, , , , , ,3,2,4,3, 
2014,16,2,8,1,16,3, , , , , ,2,1,3,1, 
2014,17,1,8,1,17,3, , , , , ,2,1,5,1, 
2014,17,2,8,1,16,3, , , , , ,2,2,5,1, 
2014,18,1,8,1,18,3, , , , , ,2,2,3,1, 
2014,19,1,8,1,6,3,1,1,1,1,1,4,2,8,1,1
2014,19,2,8,1,18,3,1,1,1,1,1,2,1,5,1,1
2014,19,3,8,1,2,13,1,1,1,1,1,5, ,9,1,1
2014,20,1,8,1,18,2, , , , , ,2,1,6,1, 
2014,20,2,8,1,18,3, , , , , ,3,1,6,1, 
2014,21,1,8,1,7,1, , , , , ,2,1,5,1, 
2014,22,1,8,1,18,3, , , , , ,2,1,6,1, 
2014,22,2,15,1,5,2, , , , , ,3,1,5,1, 
2014,23,1,8,1,16,4, , , , , ,4,1,7,1, 
2014,23,2,1,1,17,4, , , , , ,5,1,5,1, 
2014,24,1,8,1,5,2, , , , , ,4,1,5,1, 
2014,24,2,8,1,18,3, , , , , ,2,1,8,1, 
2014,25,1,8,1,9,2,3,1,11,4,1,4,2,4,1,3
2014,25,2,8,1,18,3,2,1,11,8,5,2,2,5,1,3
2014,26,1,8,1,9,2, , , , , ,2,2,7,1, 
2014,26,2,15,1,18,3, , , , , ,2,1,8,1, 
2014,26,3,8,1,3,3, , , , , ,2,1,8,1, 
2014,26,4,8,1,3,3, , , , , ,5,1,4,1, 
2014,26,5,8,1,3,3, , , , , ,2,1,5,1, 
2014,27,1,8,1,18,3, , , , , ,2,1,6,2, 
2014,27,2,8,1,18,2, , , , , ,2,1,6,1, 
2014,28,1,8,1,10,4, , , , , ,3,1,8,1, 
2014,28,2,8,1,18,4, , , , , ,2,1,7,1, 
2014,29,1,8,1,9,2, , , , , ,2,1,8,1, 
2014,29,2,15,1,18,3, , , , , ,2,1,5,1, 
2014,30,1,8,1,5,3, , , , , ,2,1,8,1, 
2014,30,2,1,1,18,3, , , , , ,2,1,4,1, 
2014,31,1,8,1,18,3, , , , , ,2, ,9,1, 
2014,32,1,16,1,9,3, , , , , ,2,1,6,1, 
2014,32,2,15,1,18,3, , , , , ,3,1,3,1, 
2014,33,1,8,1,2,3, , , , , ,5,2,5,1, 
2014,33,2,8,1,1,3, , , , , ,3, ,9,2, 
2014,34,1,8,1,19,3, , , , , ,2,1,8,2, 
2014,35,1,18,1,4,3, , , , , ,3,1,6,1, 
2014,35,2,8,1,4,3, , , , , ,2,2,6,1, 
2014,36,1,8,1,18,3, , , , , ,2,2,4,1, 
2014,36,2,8,1,9,2, , , , , ,2,1,8,1, 
2014,37,1,8,1,18,3, , , , , ,2,1,7,1, 
2014,38,1,8,1,3,3, , , , , ,3,2,4,1, 
2014,38,2,8,1,4,3, , , , , ,2,2,5,1, 
2014,39,1,8,1,18,4, , , , , ,2,1,3,1, 
2014,39,2,8,1,18,4, , , , , ,3,1,6,1, 
2014,40,1,8,1,4,3, , , , , ,3,1,6,1, 
2014,40,2,8,1,4,3, , , , , ,2,2,4,1, 
2014,41,1,8,5,18,3, , , , , ,5, ,9,2, 
2014,42,1,8,1,10,3, , , , , ,3,1,5,1, 
2014,42,2,8,1,18,3, , , , , ,2,2,3,1, 
2014,43,1,8,1,18,3, , , , , ,2,2,8,1, 
2014,43,2,8,1,18,3, , , , , ,3,1,4,1, 
2014,44,1,8,1,16,3,1,1,1,1,1,2,1,8,1,1
2014,44,2,8,1,17,3,1,1,1,1,1,2,1,8,1,1
2014,44,3,8,1,17,3,1,1,1,1,1,2,1,5,1,3
2014,45,1,8,1,18,3, , , , , ,2,1,6,1, 
2014,46,1,8,1,18,3, , , , , ,5,1,6,1, 
2014,47,1,8,1,9,2, , , , , ,2,2,8,1, 
2014,47,2,8,1,18,3, , , , , ,2,1,5,1, 
2014,48,1,8,1,3,3, , , , , ,2,1,5,1, 
2014,48,2,8,1,18,2, , , , , ,4,2,4,1, 
2014,49,1,8,1,16,3, , , , , ,2,1,3,1, 
2014,50,1,8,1,18,3, , , , , ,2,1,8,1, 
2014,51,1,8,1,4,3, , , , , ,2,1,4,1, 
2014,51,2,8,1,18,3, , , , , ,2,1,4,2, 
2014,52,1,8,1,18,3, , , , , ,2,2,5,1, 
