Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,Sum,Maledlarecipunder16,Maledlarecip16to34,Maledlarecip35to49,Maledlarecip50to64,Maledlarecip65plus,Femaledlarecipunder16,Femaledlarecip16to34,Femaledlarecip35to49,Femaledlarecip50to64,Femaledlarecip65plus
95DD16,GLENWHIRRY,BALLYMENA,180,20,10,20,20,30,10,10,20,30,30
95DD17,GRANGE,BALLYMENA,230,20,10,20,30,30,10,10,30,30,30
95DD18,HARRYVILLE,BALLYMENA,230,10,10,30,20,40,0,20,20,30,50
95DD19,KELLS,BALLYMENA,310,10,30,20,40,40,10,20,40,50,60
95DD20,MOAT,BALLYMENA,240,20,20,40,30,20,10,10,20,40,40
95DD21,PARK,BALLYMENA,140,20,20,10,10,20,0,10,10,20,30
95DD22,PORTGLENONE,BALLYMENA,260,20,30,30,20,40,10,10,30,40,30
95DD23,SLEMISH,BALLYMENA,130,10,10,20,20,10,0,10,10,20,20
95DD24,SUMMERFIELD,BALLYMENA,210,20,10,10,40,20,10,10,20,40,40
95EE01,BALLYHOE AND CORKEY,BALLYMONEY,150,10,20,20,30,30,0,0,10,20,20
95EE02,BENVARDIN,BALLYMONEY,210,20,10,20,30,20,10,10,20,50,30
95EE03,CARNANY,BALLYMONEY,230,10,20,20,30,20,10,20,30,40,30
95EE04,CLOGH MILLS,BALLYMONEY,160,10,10,20,20,20,10,10,20,20,20
95EE05,DERVOCK,BALLYMONEY,170,10,10,20,30,30,0,10,10,30,30
95EE06,DUNLOY,BALLYMONEY,190,10,10,20,30,30,10,10,30,10,30
95EE07,FAIRHILL,BALLYMONEY,250,10,10,20,30,40,20,10,20,40,60
95EE08,GLEBE (BALLYMONEY),BALLYMONEY,180,10,10,10,30,30,0,10,20,30,30
95EE09,KILLOQUIN LOWER,BALLYMONEY,160,10,10,10,30,30,10,0,10,30,30
95EE10,KILLOQUIN UPPER,BALLYMONEY,120,10,10,10,20,10,10,10,20,20,20
95EE11,KNOCKAHOLET,BALLYMONEY,130,10,10,10,20,20,0,10,20,20,30
95EE12,NEWHILL,BALLYMONEY,350,20,20,20,50,40,20,20,50,60,60
95EE13,ROUTE,BALLYMONEY,220,10,10,30,40,30,0,10,20,30,50
95EE14,SEACON,BALLYMONEY,280,20,20,20,20,50,20,20,30,40,40
95EE15,STRANOCUM,BALLYMONEY,160,10,10,20,30,20,10,10,10,30,30
95EE16,THE VOW,BALLYMONEY,170,10,20,10,20,20,10,10,10,30,30
95FF01,BALLYDOWN,BANBRIDGE,350,30,20,20,40,60,10,20,40,60,60
95FF02,BALLYWARD,BANBRIDGE,230,20,20,30,40,30,10,20,30,30,30
95FF03,BANBRIDGE WEST,BANBRIDGE,350,30,30,30,50,40,10,10,40,60,60
95FF04,BANNSIDE,BANBRIDGE,230,10,10,20,40,40,0,10,20,40,30
95FF05,DROMORE NORTH,BANBRIDGE,240,20,20,20,20,30,10,10,20,40,50
95FF06,DROMORE SOUTH,BANBRIDGE,280,30,20,20,40,30,10,10,30,40,60
