Political Opinion,Belfast Metropolitan College,Northern Regional College,North West Regional College,South Eastern Regional College,Southern Regional College,South West College,NI Total
Nationalist,4130,1556,1101,2,4514,4922,16225
Unionist,3427,2854,272,0,2655,1990,11198
Other,2919,1127,290,3,1172,1543,7054
Unknown,26579,19020,21504,35827,24734,18684,146348
Total,37055,24557,23167,35832,33075,27139,180825
Source: Consolidated Data Return (CDR),,,,,,,
Notes:,,,,,,,
For further details on definitions please refer to the metadata.,,,,,,,
