FinalR_DEA,OBJECTID
Airport,1
Antrim,2
Ards Peninsula,3
Armagh,4
Ballyarnett,5
Ballyclare,6
Ballymena,7
Ballymoney,8
Balmoral,9
Banbridge,10
Bangor Central,11
Bangor East and Donaghadee,12
Bangor West,13
Bann,14
Bannside,15
Benbradagh,16
Black Mountain,17
Botanic,18
Braid,19
Carntogher,20
Carrick Castle,21
Castle,22
Castlereagh East,23
Castlereagh South,24
Causeway,25
Clogher Valley,26
Coast Road,27
Coleraine,28
Collin,29
Comber,30
Cookstown,31
Court,32
Craigavon,33
Crotlieve,34
Cusher,35
Derg,36
Downpatrick,37
Downshire East,38
Downshire West,39
Dungannon,40
Dunsilly,41
Enniskillen,42
Erne East,43
Erne North,44
Erne West,45
Faughan,46
Foyleside,47
Glengormley Urban,48
Holywood and Clandeboye,49
Killultagh,50
Knockagh,51
Lagan River,52
Larne Lough,53
Limavady,54
Lisburn North,55
Lisburn South,56
Lisnasharragh,57
Lurgan,58
Macedon,59
Magherafelt,60
Mid Tyrone,61
Moyola,62
Newry,63
Newtownards,64
Oldpark,65
Omagh,66
Ormiston,67
Portadown,68
Rowallane,69
Slieve Croob,70
Slieve Gullion,71
Sperrin,72
The Glens,73
The Moor,74
The Mournes,75
Three Mile Water,76
Titanic,77
Torrent,78
Waterside,79
West Tyrone,80
