objectid,pghdbsdeEMS_Districtarea,perimeter,rams_,rams_id,acres,sqmiles,district
1,108953503.5655,65491.364725,60,915,2501.22998,3.91,4
2,28596049.24842,39150.158174,86,786,656.469971,1.03,9
3,100661163.0209,76786.588197,103,762,2310.860107,3.61,11
4,76067834.86646,44022.611587,105,836,1746.280029,2.73,5
5,150130482.9769,71746.234269,160,818,3446.52002,5.39,7
6,276039293.7224,140830.745425,168,976,6336.990234,9.9,3
7,69547689.71641,51589.918404,205,1026,1596.599976,2.49,8
8,157341695.0298,68299.331083,241,994,3612.070068,5.64,2
9,6426495.233824,13292.970311,2,1046,147.529999,0.23,10
10,130118859.8552,76119.105838,2,1046,2987.120117,4.67,10
11,7156088.394123,14710.973511,206,1027,164.279999,0.26,12
12,98373207.84225,87529.606123,206,1027,2258.340088,3.53,12
13,35620260.63441,33928.642122,206,1027,817.72998,1.28,12
14,19919901.26925,36762.702632,206,1027,457.299988,0.71,12
15,7248282.038767,21424.146895,112,860,166.399994,0.26,14
16,33891171.81859,35714.217862,112,860,778.030029,1.22,14
17,107743886.2277,55963.706063,6,761,2473.459961,3.86,1
18,7809344.830607,13583.073713,6,761,179.279999,0.28,1
19,2127233.177859,9007.310451,9,798,48.830002,0.08,6
20,130624825.5068,57392.206516,9,798,2998.72998,4.69,6
