X,Y,BM_Height,Easting,Northing,OBJECTID
-6.080784499538683,54.744724501492826,BM 119.96,323641.994,390219.541,2001
-6.356235062515733,54.20567112679975,BM 12.05,307306.875,329770.753,2002
-5.908591515430613,54.659342330568165,BM 12.07,335012.589,381033.796,2003
-6.529849199236143,54.960985006904259,BM 12.09,294220.248,413593.244,2004
-6.614245388408677,55.082280865545691,BM 12.19,288546.827,426985.143,2005
-5.523089190475729,54.350584555204712,BM 12.21,361095.664,347483.278,2006
-5.803865088196227,54.853487461269729,BM 12.22,341092.949,402847.681,2007
-5.776561643887407,54.333186623515282,BM 12.22,344678.94,344997.463,2008
-5.686437750290587,54.344965957023184,BM 12.25,350497.291,346497.008,2009
-5.527691564034568,54.432418885869254,BM 12.28,360476.754,356579.529,2010
-5.766523837168253,54.568249604390807,BM 12.28,344501.52,371178.251,2011
-7.51996462701612,54.80525929165016,BM 12.29,230917.258,395373.067,2012
-5.7391109089399,54.672252669071298,BM 12.38,345901.541,382809.64,2013
-5.578900864332806,54.321350190244765,BM 12.40,357579.298,344103.866,2014
-5.562398270840341,54.305629632798841,BM 12.46,358713.344,342391.444,2015
-6.663098797496629,55.134119021831715,BM 12.47,285316.597,432694.907,2016
-5.740630878016791,54.789155739305073,BM 12.48,345384.336,395817.056,2017
-5.813862983002114,54.833270670745591,BM 12.49,340521.186,400577.518,2018
-5.813862983002114,54.833270670745591,BM 12.49,340521.186,400577.518,2019
-6.687167097675041,55.154212510045333,BM 12.51,283739.52,434902.578,2020
-6.609352674802081,55.058559137720962,BM 12.57,288911.841,424350.71,2021
-5.575699447800754,54.300345461479061,BM 12.57,357867.95,341773.557,2022
-7.244054697007465,55.025820505228545,BM 12.61,248394.327,420083.008,2023
-5.887870104727832,54.577602174887438,BM 12.64,336623.195,371976.515,2024
-5.767405034272894,54.362211806751887,BM 12.64,345172.119,348246.454,2025
-5.952711863286597,54.57782731060415,BM 12.66,332430.253,371877.493,2026
-5.89228498803755,54.577780852524036,BM 12.68,336337.165,371987.83,2027
-5.88533953470733,54.241220493097465,BM 12.69,337911.108,334544.806,2028
-5.447236501162804,54.461009645232075,BM 12.71,365580.969,359947.486,2029
-5.691125011924348,54.593468853442751,BM 12.74,349284.957,374142.489,2030
-5.553020232687067,54.537678102085174,BM 12.75,358425.987,368235.872,2031
-5.716126336714397,54.557809199981506,BM 12.75,347798.25,370121.086,2032
-5.90258743599065,54.57705609582824,BM 12.82,335673.495,371887.237,2033
-7.466126277257799,54.786448785319855,BM 12.89,234395.295,393304.094,2034
-7.242431363913505,55.042165294437858,BM 12.96,248478.418,421903.712,2035
-7.564731729206139,54.546249323708601,BM 120.01,228217.367,366521.16,2036
-6.851926826002549,54.646585736758489,BM 120.09,274163.619,378209.352,2037
-7.502823861895069,54.694927038156209,BM 120.11,232106.602,383098.406,2038
-6.248302469012717,54.945654208344664,BM 120.12,312296.004,412302.12,2039
-7.456750186269081,54.474046862434271,BM 120.14,235267.571,358532.46,2040
-6.01625777498209,54.383856835901092,BM 120.16,328930.509,350171.468,2041
-7.32023326601468,54.410899157665042,BM 120.20,244185.792,351580.121,2042
-7.216489552982167,54.908101049079953,BM 120.20,250304.027,406997.504,2043
-7.486162684645325,54.567508622892063,BM 120.22,233284.725,368922.032,2044
-7.486162684645325,54.567508622892063,BM 120.22,233284.725,368922.032,2045
-7.38862719496207,54.777366131373334,BM 120.24,239390,392333.74,2046
