X,Y,OBJECTID_1,OBJECTID,TAG,REF_No,ITEM,LOCATION,CRITERIA,BUILD_DATE,GlobalID
171.85457710061732,-41.628181215283284,16,16,276,276,Mines Survey Office,Torea Street,Historic,-,2c76cfb8-7f88-4e55-b71a-1cbe86fb5185
171.868565982945199,-42.117981830887146,17,17,256,256,Clerk of the Court and Survey Office House,Bridge Street Reeftion,Historic,-,c23fc864-4848-4f0f-956a-e09175e0c658
171.868996768344545,-42.118808521092419,18,18,287,287,School of Mines,22 Shiel Street,Historic,1887,b07b6fa3-3563-409e-bc38-cbca50f705a1
171.60104652386994,-41.751152504869445,19,19,266,266,House,55 Queen Street,Historic,-,9c333768-b4fc-4b0b-946a-817aed9df8d1
171.600980851805275,-41.750792145726578,20,20,265,265,House,51 Queen Street,Historic,-,6d400bd7-c898-4e82-b958-6e708ba5f48f
171.601203673547275,-41.755878007796873,21,21,293,293,Trippins Guest House (Victorian Home),72 Queen Street,Historic,-,38e0db7a-4a0a-4cab-b0ed-374fbaaf20ee
171.597390301614695,-41.752669428478889,22,22,284,284,Railway Workshop,Adderley Street,Historic,1873,f3b31c58-88a7-4f69-b453-e9bb126562bc
171.802602800711242,-41.738016088497574,23,23,250,250,Banbury Arch,Denniston,Historic,1878,f2dd7c6f-b980-4d9a-a3d0-b109613e2f1e
171.79760605999499,-41.734673260322531,24,24,291,291,Stone Retaining Wall,Denniston,Historic,-,23a41f66-04d6-431b-9deb-e4e767261315
171.794630050285889,-41.733850449565182,25,25,306,306,Denniston Incline Plaque,"Head of Incline, Denniston",Historic/Cultural,1992,a3175f53-fe28-45d7-b8a4-e74765a4f641
171.770699363774725,-42.251314398442268,26,26,251,251,Blackwater School,Waiuta Road Blackwater,Historic,1913,805b35fd-17f4-4b34-b126-57615f7531c4
171.46828940751189,-41.747995192947492,27,27,254,254,Cape Foulwind Lighthouse,Cape Foulwind,Historic,1926,a61a59d1-5c8b-476a-9e09-bbe6f6be5c79
171.867750872423528,-42.117946580004009,28,28,258,258,Vacant,Vacant,Vacant, ,dc7ae325-57cb-4bb7-b297-9e15c5ce4495
171.866768567589304,-42.117914653444402,29,29,289,289,St Stephen's Church (Anglican),Church Street,Historic,1878,d9f4815b-9c1a-4194-8667-7b05aa339638
171.795197069759865,-41.677975358372692,30,30,260,260,Furnace Birchfields Foundary,Birchfield,Historic,1898,f77812d1-4cbc-433b-a83d-70199cdfb20b
171.601178606418955,-41.751736341995034,31,31,264,264,House,32 Henley Street,Historic,-,7298ae14-b30d-4240-8ac0-e0e020b69e47
171.854642566789721,-41.628908944524035,32,32,262,262,Granity Public Library,"93 Torea Street, Granity",Historic,1903,42de4f8b-1f3a-4cbf-af43-014b20141b0f
171.854537082324043,-41.629050366657374,33,33,294,294,War Memorial,Torea Street,Historic,-,83c7af68-060e-41f9-a4a7-1322b4828c3c
171.854508745030387,-41.629742937884998,34,34,290,290,State Mine Store,Granity,Historic,-,daea0859-64cc-4b19-886a-0acbfcc7255c
171.870134494561398,-41.632006849111526,35,35,292,292,Tramway Hotel (Former),Millerton,Historic, ,1f02a882-d492-4395-a274-ec4ac70c629d
171.601342201956726,-41.757014117161894,36,36,269,269,House,30 Wakefield St,Historic,-,cc0e9ba1-4698-4b53-9a4d-f80724ef7c5f
171.601597391700466,-41.756859801373281,37,37,271,271,House,34 Wakefield St,Historic,-,99419f98-6c30-4598-bd69-2193b5476e1b
171.601464926169967,-41.75673162693284,38,38,270,270,House,32 Wakefield St,Historic,-,ba1f0ab8-1e01-424c-abe7-2798ef916ee8
171.882222243465577,-42.131740967379734,39,39,272,272,Manager's House (Behind Museum),Blacks Point,Historic,-,080c4acc-bffa-460f-9e49-be262628fdd9
171.602147886474995,-41.770660722320784,40,40,279,279,O'Conor House,Nine Mile Road Westport,Historic,-,a5ce54a5-96de-430b-9b5f-557a73520604
171.85511690810543,-42.118318693717264,41,41,283,283,Racecourse Stand,Racecourse,Historic,-,28278263-d605-4c0d-8b5e-a8855dc492eb
