Year,TLA,Number of discharges
2000,Areas Outside TLA,2
2000,Auckland,28
2000,Buller,1
2000,Carterton,2
2000,Christchurch,10
2000,Dunedin,7
2000,Far North,2
2000,Franklin,2
2000,Gisborne,5
2000,Grey,1
2000,Hamilton,8
2000,Hastings,6
2000,Hauraki,1
2000,Horowhenua,1
2000,Invercargill,1
2000,Kapiti Coast,2
2000,Kawerau,1
2000,Lower Hutt,10
2000,Manawatu,2
2000,Manukau,28
2000,Masterton,1
2000,Matamata-Piako,3
2000,Napier,4
2000,Nelson,2
2000,New Plymouth,4
2000,North Shore,2
2000,Opotiki,1
2000,Overseas resident,3
2000,Palmerston North,5
2000,Papakura,6
2000,Porirua,4
2000,Rangitikei,1
2000,Rodney,4
2000,Rotorua,3
2000,Ruapehu,1
2000,Selwyn,1
2000,South Taranaki,1
2000,South Waikato,2
2000,Southland,2
2000,Tararua,2
2000,Tasman,1
2000,Taupo,2
2000,Tauranga,5
2000,Thames-Coromandel,1
2000,Timaru,2
2000,Upper Hutt,8
2000,Waikato,12
2000,Waimakariri,3
2000,Waipa,3
2000,Waitakere,30
2000,Waitaki,2
2000,Wanganui,4
2000,Wellington,9
2000,Western BOP,4
2000,Westland,1
2000,Whakatane,8
2000,Whangarei,9
2001,Areas Outside TLA,8
2001,Auckland,24
2001,Buller,1
2001,Carterton,1
2001,Central Hawkes Bay,2
2001,Central Otago,1
2001,Christchurch,25
2001,Clutha,2
2001,Dunedin,3
2001,Far North,11
2001,Franklin,4
2001,Gisborne,2
2001,Gore,2
2001,Grey,5
2001,Hamilton,18
2001,Hastings,8
2001,Hauraki,1
2001,Horowhenua,5
2001,Hurunui,1
2001,Invercargill,2
2001,Kaipara,2
2001,Kapiti Coast,5
2001,Kawerau,1
2001,Lower Hutt,14
2001,Manawatu,2
2001,Manukau,28
2001,Marlborough,1
2001,Masterton,2
2001,Matamata-Piako,1
2001,Napier,2
2001,Nelson,3
2001,New Plymouth,6
2001,North Shore,6
2001,Opotiki,2
2001,Overseas resident,3
2001,Palmerston North,1
2001,Papakura,6
2001,Porirua,2
2001,Rangitikei,3
2001,Rodney,6
2001,Rotorua,1
2001,Selwyn,1
2001,South Taranaki,1
2001,Stratford,1
2001,Tararua,1
2001,Taupo,2
2001,Tauranga,6
2001,Thames-Coromandel,3
2001,Timaru,2
2001,Upper Hutt,3
2001,Waikato,6
2001,Waimakariri,5
2001,Waipa,3
2001,Wairoa,1
2001,Waitakere,8
2001,Waitaki,1
2001,Waitomo,1
2001,Wanganui,5
2001,Wellington,3
2001,Western BOP,4
2001,Westland,2
2001,Whakatane,4
2001,Whangarei,10
2002,Areas Outside TLA,1
2002,Ashburton,1
2002,Auckland,28
2002,Central Hawkes Bay,2
2002,Christchurch,22
2002,Clutha,1
2002,Dunedin,4
2002,Far North,5
2002,Franklin,8
2002,Gisborne,7
2002,Gore,1
2002,Grey,3
2002,Hamilton,8
2002,Hastings,5
2002,Horowhenua,2
2002,Invercargill,1
2002,Kaipara,1
2002,Kapiti Coast,8
2002,Kawerau,3
2002,Lower Hutt,8
2002,Manawatu,3
2002,Manukau,31
2002,Marlborough,2
2002,Masterton,1
2002,Matamata-Piako,3
2002,Napier,7
2002,New Plymouth,8
2002,North Shore,12
2002,Opotiki,1
2002,Palmerston North,3
2002,Papakura,4
2002,Porirua,5
2002,Rangitikei,1
2002,Rodney,1
2002,Rotorua,11
2002,Ruapehu,1
2002,Selwyn,1
2002,South Taranaki,4
2002,South Waikato,1
2002,Southland,2
2002,Tararua,2
2002,Tasman,1
2002,Taupo,3
2002,Tauranga,11
2002,Timaru,5
2002,Upper Hutt,8
2002,Waikato,8
2002,Waimakariri,2
2002,Waipa,6
2002,Waitakere,11
2002,Waitaki,1
2002,Waitomo,4
2002,Wanganui,1
2002,Wellington,6
2002,Western BOP,1
2002,Whakatane,7
2002,Whangarei,9
2003,Auckland,26
2003,Central Hawkes Bay,1
2003,Central Otago,4
2003,Christchurch,17
2003,Dunedin,3
2003,Far North,6
2003,Franklin,8
2003,Gisborne,4
2003,Gore,1
2003,Grey,3
2003,Hamilton,19
2003,Hastings,9
2003,Hauraki,2
2003,Horowhenua,5
2003,Hurunui,1
2003,Invercargill,3
2003,Kapiti Coast,4
2003,Kawerau,1
2003,Lower Hutt,9
2003,Manawatu,2
2003,Manukau,48
2003,Marlborough,3
2003,Matamata-Piako,4
2003,Napier,12
2003,Nelson,4
2003,New Plymouth,2
2003,North Shore,10
2003,Opotiki,2
2003,Otorohanga,1
2003,Overseas resident,5
2003,Palmerston North,9
2003,Papakura,7
2003,Porirua,4
2003,Queenstown Lakes,1
2003,Rangitikei,5
2003,Rodney,9
2003,Rotorua,10
2003,Ruapehu,1
2003,Selwyn,4
2003,South Taranaki,1
2003,South Waikato,2
2003,Southland,1
2003,Tararua,1
2003,Tasman,1
2003,Tauranga,12
2003,Thames-Coromandel,3
2003,Timaru,2
2003,Upper Hutt,5
2003,Waikato,12
2003,Waimakariri,4
2003,Waipa,6
2003,Wairoa,1
2003,Waitakere,18
2003,Waitaki,1
2003,Waitomo,1
2003,Wanganui,7
2003,Wellington,8
2003,Western BOP,3
2003,Whakatane,3
2003,Whangarei,11
2004,Areas Outside TLA,3
2004,Auckland,24
2004,Christchurch,23
2004,Dunedin,3
2004,Far North,8
2004,Franklin,7
2004,Gisborne,4
2004,Hamilton,8
2004,Hastings,10
2004,Hauraki,2
2004,Horowhenua,3
2004,Invercargill,1
2004,Kaipara,2
2004,Kapiti Coast,6
2004,Lower Hutt,10
2004,Manawatu,1
2004,Manukau,35
2004,Marlborough,2
2004,Matamata-Piako,4
2004,Napier,4
2004,Nelson,1
2004,New Plymouth,5
2004,North Shore,5
2004,Opotiki,1
2004,Overseas resident,1
2004,Palmerston North,3
2004,Papakura,9
2004,Porirua,5
2004,Rangitikei,2
2004,Rodney,5
2004,Rotorua,5
2004,Ruapehu,2
2004,Selwyn,1
2004,South Taranaki,1
