Councils,Variable,Date,Value ($000)
Auckland City,23 Other Liabilities,2007,218478
Auckland City,24 Total Liabilities,2007,386890
Auckland City,25 Equity,2007,7700676
Auckland City,14 Monetary Assets,2008,579202
Auckland City,16 Fixed Assets,2008,7292744
Auckland City,17 Investment properties,2008,6577
Auckland City,18 Other Assets,2008,756045
Auckland City,19 Total Assets,2008,8634568
Auckland City,20 Public Debt,2008,339437
Auckland City,21 Non-current,2008,332944
Auckland City,22 Current,2008,6493
Auckland City,23 Other Liabilities,2008,218956
Auckland City,24 Total Liabilities,2008,558393
Auckland City,25 Equity,2008,8076175
Auckland City,14 Monetary Assets,2009,537382
Auckland City,16 Fixed Assets,2009,7894057
Auckland City,17 Investment properties,2009,6798
Auckland City,18 Other Assets,2009,752806
Auckland City,19 Total Assets,2009,9191043
Auckland City,20 Public Debt,2009,561273
Auckland City,21 Non-current,2009,522408
Auckland City,22 Current,2009,38865
Auckland City,23 Other Liabilities,2009,218660
Auckland City,24 Total Liabilities,2009,779933
Auckland City,25 Equity,2009,8411110
Auckland City,14 Monetary Assets,2010,546009
Auckland City,16 Fixed Assets,2010,8516205
Auckland City,17 Investment properties,2010,6990
Auckland City,18 Other Assets,2010,750185
Auckland City,19 Total Assets,2010,9819389
Auckland City,20 Public Debt,2010,777691
Auckland City,21 Non-current,2010,750697
Auckland City,22 Current,2010,26994
Auckland City,23 Other Liabilities,2010,218109
Auckland City,24 Total Liabilities,2010,995800
Auckland City,25 Equity,2010,8823589
Auckland City,14 Monetary Assets,2011,544480
Auckland City,16 Fixed Assets,2011,9090917
Auckland City,17 Investment properties,2011,7172
Auckland City,18 Other Assets,2011,748051
Auckland City,19 Total Assets,2011,10390620
Auckland City,20 Public Debt,2011,941291
Auckland City,21 Non-current,2011,924106
Auckland City,22 Current,2011,17185
Auckland City,23 Other Liabilities,2011,217297
Auckland City,24 Total Liabilities,2011,1158588
Auckland City,25 Equity,2011,9232032
Auckland City,14 Monetary Assets,2012,550796
Auckland City,16 Fixed Assets,2012,9656420
Auckland City,17 Investment properties,2012,7344
Auckland City,18 Other Assets,2012,747447
Auckland City,19 Total Assets,2012,10962007
Auckland City,20 Public Debt,2012,1105662
Auckland City,21 Non-current,2012,1105618
Auckland City,22 Current,2012,44
Auckland City,23 Other Liabilities,2012,216364
Auckland City,24 Total Liabilities,2012,1322026
Auckland City,25 Equity,2012,9639981
Auckland City,14 Monetary Assets,2013,547706
Auckland City,16 Fixed Assets,2013,10186038
Auckland City,17 Investment properties,2013,7504
Auckland City,18 Other Assets,2013,747406
