objectid_1,objectid,pin,mapblocklo,municode,calcacreag,name,type_,shape_leng
44,1451,0045P00225000000,45-P-225,127,14.22,Individual, ,3680.814887
45,1668,0016G00082000000,16-G-82,119,1.8,Individual, ,1449.872265
46,1713,0024N00142000000,24-N-142,123,0.34,Individual, ,595.672369
47,1869,0023N00135000000,23-N-135,122,0.14,Individual, ,321.922595
48,2040,0023K00411000000,23-K-411,122,0.18,Individual, ,442.450728
49,2093,0023L00258000000,23-L-258,122,0.15,Individual, ,339.845108
50,2116,0023F00406000000,23-F-406,125,0.05,Individual, ,200.925863
51,2251,0023P00078000000,23-P-78,122,1.07,Individual, ,1001.485354
52,2312,0023L00083000000,23-L-83,122,0.25,Individual, ,475.574555
53,2422,0050P00183000000,50-P-183,108,1.89,Individual, ,1310.765371
54,2517,0050P00183000001,50-P-183-0-1,108,1.89,Individual, ,1310.765371
55,2519,0006H00032000000,6-H-32,119,0.41,Individual, ,1015.252073
56,2526,0049C00114000000,49-C-114,109,0.68,Individual, ,776.539101
57,2535,0004C00175000000,4-C-175,119,0.24,Individual, ,400.960952
58,2605,0023R00104000000,23-R-104,122,0.86,Individual, ,810.210488
59,2606,0023R00157000000,23-R-157,122,0.96,Individual, ,817.269901
60,2608,0011J00328000000,11-J-328,101,0.13,Individual, ,328.300545
61,2609,0027A00158000000,27-A-158,105,0.53,Individual, ,770.042672
62,2634,0047M00285000001,47-M-285-0-1,124,0.8,Individual, ,913.687323
63,2640,0003S0021800B100,3-S-218-B1,117,0.02,Individual, ,171.720374
64,2641,0003S0021800A300,3-S-218-A3,117,0.01,Individual, ,76.672322
65,2642,0003S00218000000,3-S-218,117,0.95,Individual, ,870.244245
66,2653,0024H00089000002,24-H-89-0-2,124,2.23,Individual, ,1612.810047
67,2654,0024H00089000001,24-H-89-0-1,124,2.23,Individual, ,1612.812372
68,2656,0003S0021800A100,3-S-218-A1,117,0.02,Individual, ,161.759848
69,2684,0128A00056000001,128-A-56-0-1,114,3,Individual, ,1589.903055
70,2704,0023G00307000000,23-G-307,125,0.05,Individual, ,200.067178
71,2710,0138B00291000003,138-B-291-0-3,132,0.45,Individual, ,591.520932
72,2713,0008C00135000000,8-C-135,122,1.1,Individual, ,978.426306
73,2730,0184J00032000000,184-J-32,131,6.78,Individual, ,2650.856407
74,2737,0115D00330000000,115-D-330,126,1.03,Individual, ,934.765772
75,2738,0115H00269000000,115-H-269,126,1.16,Individual, ,1153.194348
76,2744,0115D00319000000,115-D-319,126,0.13,Individual, ,618.516676
77,2746,0115D00315000000,115-D-315,126,0.37,Individual, ,626.409823
78,2749,0115D00318000000,115-D-318,126,0.04,Individual, ,204.306161
79,2755,0115H00110000000,115-H-110,126,2.23,Individual, ,1423.821215
80,2786,0115D00350000000,115-D-350,126,0.05,Individual, ,240.838363
81,2789,0125D00200000000,125-D-200,112,8.34,Individual, ,2708.322711
82,2790,0003S0021800C500,3-S-218-C5,117,0.01,Individual, ,91.610576
83,2793,0003S0021800D300,3-S-218-D3,117,0.01,Individual, ,86.279742
84,2795,0003S0021800B400,3-S-218-B4,117,0.01,Individual, ,95.401828
85,2797,0003S0021800A500,3-S-218-A5,117,0.01,Individual, ,86.727105
86,2798,0003S0021800D100,3-S-218-D1,117,0.02,Individual, ,129.587465
87,2800,0003S0021800A200,3-S-218-A2,117,0.01,Individual, ,110.441497
88,2801,0003S0021800C900,3-S-218-C9,117,0.01,Individual, ,111.505589
89,2802,0003S0021800B300,3-S-218-B3,117,0.01,Individual, ,122.925846
90,2804,0003S0021800C400,3-S-218-C4,117,0.01,Individual, ,63.129137
91,2806,0003S0021800C600,3-S-218-C6,117,0.01,Individual, ,76.070306
92,2807,0003S0021800C100,3-S-218-C1,117,0.01,Individual, ,89.06503
93,2811,0003S0021800D200,3-S-218-D2,117,0.02,Individual, ,123.218666
94,2812,0003S0021800D400,3-S-218-D4,117,0.01,Individual, ,94.863631
95,2813,0003S0021800C300,3-S-218-C3,117,0.01,Individual, ,110.065911
96,2815,0003S0021800C700,3-S-218-C7,117,0.01,Individual, ,82.846954
97,2819,0003S0021800C800,3-S-218-C8,117,0.01,Individual, ,102.614789
98,2820,0003S0021800B200,3-S-218-B2,117,0.01,Individual, ,120.190729
99,2829,0003S0021800A400,3-S-218-A4,117,0.02,Individual, ,129.153446
100,2830,0003S0021800C200,3-S-218-C2,117,0.01,Individual, ,104.483728
101,2831,0003S0021800B600,3-S-218-B6,117,0.01,Individual, ,85.795108
102,2833,0010N00261000000,10-N-261,105,0.25,Individual, ,466.790372
103,2836,0003S0021800B700,3-S-218-B7,117,0.01,Individual, ,89.594685
104,2837,0003S0021800B500,3-S-218-B5,117,0.01,Individual, ,129.90563
105,2839,0003S0021800B800,3-S-218-B8,117,0.01,Individual, ,100.468945
106,2841,0049F00160000002,49-F-160-0-2,109,0.23,Individual, ,408.333429
107,2850,0082F00300000000,82-F-300,111,1.82,Individual, ,1248.310358
108,2863,0011J00002000000,11-J-2,101,1.05,Individual, ,1007.285827
109,2888,0026A00300000000,26-A-300,106,4.4,Individual, ,3185.236824
110,2935,0027S00150000001,27-S-150-0-1,114,417.24,Individual, ,19438.193932
111,2942,0042R00045000000,42-R-45,120,6.08,Individual, ,2612.415033
112,2993,0115H00130000000,115-H-130,126,0.5,Individual, ,695.716758
113,3046,0019C00166000000,19-C-166,120,1.45,Individual, ,1043.537318
