District Council,Apartment,Detached,Semi-Detached,Terrace,Total Housing Stock
Antrim and Newtownabbey,6240,19272,14834,16882,57228
"Armagh City, Banbridge and Craigavon",4135,34479,18987,23772,81373
Belfast,32193,14645,40916,67293,155047
Causeway Coast and Glens,5325,28269,15431,13448,62473
Derry City and Strabane,6079,17748,15028,20843,59698
Fermanagh and Omagh,2515,28660,7927,8730,47832
Lisburn and Castlereagh,5311,21527,16794,13068,56700
Mid and East Antrim,5613,23118,12568,16761,58060
Mid Ulster,1887,28246,11120,10624,51877
"Newry, Mourne and Down",4458,32368,15910,14962,67698
Ards and North Down,7466,25361,19146,17419,69392
Northern Ireland,81222,273693,188661,223802,767378
