"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7020U5342_04 - PARK VW1: PARKER AVENUE TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",339,339,293066,393206
"7020U5342_04 - PARK VW1: PARKER AVENUE TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",380,380,293066,393206
"7020U5342_12 - RIVERSIDE S1: PARK VIEW TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",105,105,293370,393053
"7020U5342_12 - RIVERSIDE S1: PARK VIEW TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",120,120,293373,393038
"7020U5342_15 - RIVERSIDE GDS1: RIVERSIDE SOUTH (14) TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",10,10,293333,392996
"7020U5342_12 - RIVERSIDE S1: PARK VIEW TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",44,44,293329,393063
"7020U5342_04 - PARK VW1: PARKER AVENUE TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",281,281,293120,393214
"7020U5342_04 - PARK VW1: PARKER AVENUE TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",301,301,293101,393210
"7020U5342_04 - PARK VW1: PARKER AVENUE TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",244,244,293157,393223
"7020U5342_15 - RIVERSIDE GDS1: RIVERSIDE SOUTH (14) TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",30,30,293316,392999
"7020U5342_15 - RIVERSIDE GDS1: RIVERSIDE SOUTH (14) TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",46,46,293316,392999
"7020U5342_16 - RIVERSIDE GDS1: RIVERSIDE GARDENS (15) TO DEAD END [CDS 1L] -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",12,12,293355,392996
"7020U5342_16 - RIVERSIDE GDS1: RIVERSIDE GARDENS (15) TO DEAD END [CDS 1L] -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",71,71,293394,393020
"7020U5342_12 - RIVERSIDE S1: PARK VIEW TO DEAD END -  MAGHERAFELT","COOKSTOWN / MAGHERAFELT","Surface Type",43,43,293325,393064
