Sample_Ide,Easting,Northing,Auppb,Ptppb,Pdppb
554494,228677,348294,1.333888,0.704027,0.0706051
554495,228415,352226,1.719088,2.0281758,0.176717
554496,224764,350806,1.6040416,1.4109709,0.2699368
554497,230612,344450,1.5013216,0.5853721,0.3026629
554498,231038,349215,1.636912,0.4597375,0.0368873
554499,235456,343582,3.5978368,0.5714127,0.018045
554500,223771,347166,1.606096,0.9293716,0.3145633
554501,227576,355556,1.6194496,1.4079796,0.3016712
554502,245820,351320,2.1001792,0.2363871,0.0448209
554503,242493,352405,1.9430176,0.4128738,-0.0622827
554504,238808,352633,1.4746144,0.4886534,0.3363807
554505,225400,353580,1.7098432,1.3381826,0.4365424
554506,238350,350826,1.2999904,0.3869492,0.0458126
554507,249066,349506,1.5670624,2.6393981,0.1717585
554508,249080,351470,2.304592,0.2044799,0.0636632
554509,233951,347383,1.0442176,0.7508907,-0.1178179
554510,231169,357929,1.3811392,0.9951802,0.1856423
554511,227780,357456,1.8105088,0.2972102,0.5287705
554512,242461,344331,1.4992672,1.1118409,-0.0226147
554513,230614,354164,1.6492384,-1.010985,0.8024797
554514,227764,359506,3.0904,1.1846292,0.494061
554515,235728,357230,1.8998752,-0.2023369,0.3046463
554516,230472,360765,2.6630848,0.7957602,0.4315839
554517,232544,360703,3.470464,2.2036654,1.0870976
554518,237365,349740,1.9491808,0.2264161,0.008128
554519,248510,352282,2.7236896,3.7990254,0.2094431
554520,232452,358301,1.888576,-0.1365283,0.2034929
554521,234490,356619,1.4437984,0.3031928,0.2332439
554522,230678,352542,1.6482112,0.384955,0.2074597
554523,232870,356262,2.160784,1.7639443,0.9284256
554524,229584,359530,1.6759456,-0.4246902,0.2144016
554525,237402,351732,2.2265248,1.1477365,0.2996878
554526,234902,348540,1.7221696,1.4259274,0.1033312
554527,229509,355452,1.559872,0.9044441,0.2312605
554528,248537,350308,1.2291136,0.8984615,0.1787004
554529,235942,355621,1.5506272,0.5893605,0.4385258
554530,247722,349124,36.7650976,0.5833779,1.0206537
554531,241400,349960,1.7355232,4.2806247,0.0547379
554532,241517,351556,1.9204192,2.289416,1.9766525
554533,228742,356341,1.6543744,0.494636,0.5555464
554535,235726,353999,1.5876064,-0.1285515,0.1598581
554536,239472,353641,1.5208384,0.3729898,0.1628332
554537,227440,353408,1.5619264,0.0798424,0.2699368
554538,236317,354278,1.4612608,0.4118767,-0.0781499
554539,228768,360622,1.9584256,-0.0368183,0.2144016
554540,242292,348321,1.3862752,-0.0178734,0.1717585
554541,231926,361095,1.8413248,2.2784479,0.6775255
