PC_NAME,Area_sqkm,PC_ID,OBJECTID
NORTH DOWN,115.440659,N06000013,1
UPPER BANN,479.69242,N06000017,2
EAST ANTRIM,593.040484,N06000005,3
NORTH ANTRIM,1386.235791,N06000012,4
SOUTH DOWN,1249.820808,N06000015,5
MID ULSTER,1348.637953,N06000010,6
NEWRY AND ARMAGH,1081.520817,N06000011,7
WEST TYRONE,1992.093599,N06000018,8
BELFAST EAST,55.297807,N06000001,9
BELFAST SOUTH,44.830281,N06000003,10
STRANGFORD,655.231442,N06000016,11
BELFAST WEST,45.147951,N06000004,12
LAGAN VALLEY,467.841192,N06000009,13
SOUTH ANTRIM,785.029335,N06000014,14
BELFAST NORTH,50.318561,N06000002,15
EAST LONDONDERRY,1275.269088,N06000006,16
FERMANAGH AND SOUTH TYRONE,2506.011382,N06000007,17
FOYLE,183.642632,N06000008,18
