Council,Financial,Date,Value ($000)
Ashburton District,26 Operating Receipts,2007,28299
Ashburton District,27 Operating Payments,2007,18162
Ashburton District,28 Net Operating Cash Flows,2007,10137
Ashburton District,29 Receipts from Investing Activities,2007,11455
Ashburton District,30 Purchase of Property Plant & Equipment,2007,45163
Ashburton District,31 Fixed asset purchases,2007,37649
Ashburton District,32 Renewals,2007,7514
Ashburton District,33 Purchase of Other investments,2007,0
Ashburton District,34 Net Investing Cash Flows,2007,-33708
Ashburton District,35 Cash Receipts from Financing Activities,2007,29259
Ashburton District,36 Cash Outgoings from Financing Activities,2007,5688
Ashburton District,37 Net Financing Cash Flows,2007,23571
Ashburton District,26 Operating Receipts,2008,31543
Ashburton District,27 Operating Payments,2008,21428
Ashburton District,28 Net Operating Cash Flows,2008,10115
Ashburton District,29 Receipts from Investing Activities,2008,11917
Ashburton District,30 Purchase of Property Plant & Equipment,2008,17884
Ashburton District,31 Fixed asset purchases,2008,9263
Ashburton District,32 Renewals,2008,8621
Ashburton District,33 Purchase of Other investments,2008,249
Ashburton District,34 Net Investing Cash Flows,2008,-6216
Ashburton District,35 Cash Receipts from Financing Activities,2008,0
Ashburton District,36 Cash Outgoings from Financing Activities,2008,3899
Ashburton District,37 Net Financing Cash Flows,2008,-3899
Ashburton District,26 Operating Receipts,2009,33274
Ashburton District,27 Operating Payments,2009,21948
Ashburton District,28 Net Operating Cash Flows,2009,11326
Ashburton District,29 Receipts from Investing Activities,2009,10198
Ashburton District,30 Purchase of Property Plant & Equipment,2009,16982
Ashburton District,31 Fixed asset purchases,2009,8656
Ashburton District,32 Renewals,2009,8326
Ashburton District,33 Purchase of Other investments,2009,581
Ashburton District,34 Net Investing Cash Flows,2009,-7365
Ashburton District,35 Cash Receipts from Financing Activities,2009,0
Ashburton District,36 Cash Outgoings from Financing Activities,2009,3961
Ashburton District,37 Net Financing Cash Flows,2009,-3961
Ashburton District,26 Operating Receipts,2010,34277
Ashburton District,27 Operating Payments,2010,21987
Ashburton District,28 Net Operating Cash Flows,2010,12290
Ashburton District,29 Receipts from Investing Activities,2010,9550
Ashburton District,30 Purchase of Property Plant & Equipment,2010,12918
Ashburton District,31 Fixed asset purchases,2010,3504
Ashburton District,32 Renewals,2010,9414
Ashburton District,33 Purchase of Other investments,2010,5161
Ashburton District,34 Net Investing Cash Flows,2010,-8529
Ashburton District,35 Cash Receipts from Financing Activities,2010,0
Ashburton District,36 Cash Outgoings from Financing Activities,2010,3761
Ashburton District,37 Net Financing Cash Flows,2010,-3761
Ashburton District,26 Operating Receipts,2011,35144
Ashburton District,27 Operating Payments,2011,20075
Ashburton District,28 Net Operating Cash Flows,2011,15069
Ashburton District,29 Receipts from Investing Activities,2011,6050
Ashburton District,30 Purchase of Property Plant & Equipment,2011,13354
Ashburton District,31 Fixed asset purchases,2011,4721
Ashburton District,32 Renewals,2011,8633
Ashburton District,33 Purchase of Other investments,2011,6509
Ashburton District,34 Net Investing Cash Flows,2011,3813
Ashburton District,35 Cash Receipts from Financing Activities,2011,0
Ashburton District,36 Cash Outgoings from Financing Activities,2011,1256
Ashburton District,37 Net Financing Cash Flows,2011,256
Ashburton District,26 Operating Receipts,2012,36030
Ashburton District,27 Operating Payments,2012,20537
Ashburton District,28 Net Operating Cash Flows,2012,15493
Ashburton District,29 Receipts from Investing Activities,2012,5350
Ashburton District,30 Purchase of Property Plant & Equipment,2012,11599
Ashburton District,31 Fixed asset purchases,2012,3018
Ashburton District,32 Renewals,2012,8581
Ashburton District,33 Purchase of Other investments,2012,8988
Ashburton District,34 Net Investing Cash Flows,2012,5237
Ashburton District,35 Cash Receipts from Financing Activities,2012,0
Ashburton District,36 Cash Outgoings from Financing Activities,2012,256
Ashburton District,37 Net Financing Cash Flows,2012,-256
Ashburton District,26 Operating Receipts,2013,36684
Ashburton District,27 Operating Payments,2013,20953
Ashburton District,28 Net Operating Cash Flows,2013,15731
Ashburton District,29 Receipts from Investing Activities,2013,2050
Ashburton District,30 Purchase of Property Plant & Equipment,2013,11566
Ashburton District,31 Fixed asset purchases,2013,3195
Ashburton District,32 Renewals,2013,8371
Ashburton District,33 Purchase of Other investments,2013,5959
Ashburton District,34 Net Investing Cash Flows,2013,5475
Ashburton District,35 Cash Receipts from Financing Activities,2013,0
Ashburton District,36 Cash Outgoings from Financing Activities,2013,256
Ashburton District,37 Net Financing Cash Flows,2013,-256
Ashburton District,26 Operating Receipts,2014,39659
Ashburton District,27 Operating Payments,2014,22168
Ashburton District,28 Net Operating Cash Flows,2014,17491
Ashburton District,29 Receipts from Investing Activities,2014,2100
Ashburton District,30 Purchase of Property Plant & Equipment,2014,11633
Ashburton District,31 Fixed asset purchases,2014,3181
Ashburton District,32 Renewals,2014,8452
Ashburton District,33 Purchase of Other investments,2014,7702
Ashburton District,34 Net Investing Cash Flows,2014,7235
Ashburton District,35 Cash Receipts from Financing Activities,2014,0
Ashburton District,36 Cash Outgoings from Financing Activities,2014,256
Ashburton District,37 Net Financing Cash Flows,2014,-256
Ashburton District,26 Operating Receipts,2015,40050
Ashburton District,27 Operating Payments,2015,22712
