Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,AA Total Recipients (2015),aa Recipients Male 65+ (2015),aa Recipients Female 65+ (2015),aal Recipients Male 65+ (2015),aal Recipients Female 65+ (2015),aah Recipients Male 65+ (2015),aah Recipients Female 65+ (2015)
95AA01,ALDERGROVE,ANTRIM,70,30,50,10,10,20,40
95AA02,BALLOO,ANTRIM,80,30,50,10,10,20,40
95AA03,BALLYCRAIGY,ANTRIM,60,20,50,10,10,10,30
95AA04,CLADY,ANTRIM,80,30,50,10,20,20,30
95AA05,CRANFIELD,ANTRIM,70,20,40,10,10,20,30
95AA06,CRUMLIN (ANTRIM),ANTRIM,90,30,60,10,20,30,40
95AA07,DRUMANAWAY,ANTRIM,60,30,30,10,10,10,20
95AA08,FARRANSHANE,ANTRIM,40,20,30,10,10,10,20
95AA09,FOUNTAIN HILL,ANTRIM,50,20,30,10,10,20,20
95AA10,GREYSTONE (ANTRIM),ANTRIM,50,30,20,10,10,20,10
95AA11,MASSEREENE,ANTRIM,120,40,80,10,20,30,60
95AA12,PARKGATE,ANTRIM,60,20,40,10,20,10,20
95AA13,RANDALSTOWN,ANTRIM,110,40,70,10,30,30,40
95AA14,SHILVODAN,ANTRIM,60,20,40,10,10,20,30
95AA15,SPRINGFARM,ANTRIM,80,30,50,10,20,20,30
95AA16,STEEPLE,ANTRIM,60,30,40,0,20,20,20
95AA17,STILES,ANTRIM,30,10,20,10,0,10,10
95AA18,TEMPLEPATRICK,ANTRIM,110,40,70,10,20,30,50
95AA19,TOOME,ANTRIM,60,20,50,0,10,10,40
95BB01,BALLYGOWAN,ARDS,90,30,60,10,20,20,40
95BB02,BALLYRAINEY,ARDS,130,40,90,20,30,30,60
95BB03,BALLYWALTER,ARDS,150,50,100,10,50,40,60
95BB04,BRADSHAWS BRAE,ARDS,130,60,70,10,20,40,50
95BB05,CARROWDORE,ARDS,80,30,50,10,20,20,40
95BB06,CENTRAL (ARDS),ARDS,150,50,100,20,40,30,60
95BB07,COMBER EAST,ARDS,140,50,100,20,30,30,70
95BB08,COMBER NORTH,ARDS,70,20,50,10,20,20,30
95BB09,COMBER WEST,ARDS,100,30,70,10,30,20,40
95BB10,DONAGHADEE NORTH,ARDS,170,60,110,20,30,40,80
95BB11,DONAGHADEE SOUTH,ARDS,140,60,80,10,20,50,60
95BB12,GLEN,ARDS,70,30,50,10,20,20,20
95BB13,GREGSTOWN,ARDS,80,30,50,10,20,20,40
95BB14,KILLINCHY,ARDS,100,40,60,10,20,20,40
95BB15,KIRCUBBIN,ARDS,100,40,60,10,20,30,40
95BB16,LISBANE,ARDS,100,40,60,10,30,30,40
95BB17,LOUGHRIES,ARDS,90,40,50,10,20,30,30
