District Council,Apartment,Detached,Semi-Detached,Terrace,Total Housing Stock
Antrim and Newtownabbey,5442,18523,13939,16277,54181
"Armagh City, Banbridge and Craigavon",3823,32351,17411,22936,76521
Belfast,26985,14539,40016,66933,148473
Causeway Coast and Glens,4656,27263,14847,13109,59875
Derry City and Strabane,5503,17161,14500,20455,57619
Fermanagh and Omagh,2242,26864,7377,8421,44904
Lisburn and Castlereagh,4356,20545,15695,12003,52599
Mid and East Antrim,5017,22043,11965,16477,55502
Mid Ulster,1717,26581,10567,10390,49255
"Newry, Mourne and Down",3672,29696,14987,14445,62800
Ards and North Down,6426,24549,18496,17141,66612
Northern Ireland,69839,260115,179800,218587,728341
