FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Shape_Area,Acres
63,55157.741237,1396.59393,518,1144,310,1396.59389,55157.75051,1.266253
64,15456.137292,1243.493087,226,2049,310,1243.493111,15456.132071,0.354825
65,358302.023524,4185.870145,227,1052,310,4185.870224,358302.003443,8.225515
66,23434.097289,679.672035,519,0,0,679.672185,23434.098891,0.537975
67,11552145.2895,46111.237488,24,1124,310,46111.237567,11552145.3593,265.201827
68,909412.51277,5256.739378,520,1145,310,5256.739523,909412.523261,20.877322
69,56691.087722,1225.172121,228,4172,310,1225.172294,56691.079448,1.301453
70,3465.308843,426.350426,25,0,0,426.350301,3465.304716,0.079553
71,1072525.66958,7034.106038,229,4157,310,7034.106245,1072525.67838,24.6219
72,1345.93241,433.109881,26,946,310,433.109901,1345.933728,0.030899
73,92.572814,47.037166,230,2045,310,47.03712,92.572618,0.002125
74,108294.700986,2901.535552,27,931,310,2901.535532,108294.690192,2.486114
75,1178.644046,246.679147,521,1011,310,246.679226,1178.645849,0.027058
76,40.25329,44.76485,231,836,310,44.764736,40.253321,0.000924
77,59388.610585,1740.161184,522,4112,310,1740.161036,59388.603488,1.36338
78,515724.780271,3372.609279,28,617,310,3372.6092,515724.778306,11.839459
79,46102.997157,938.295054,232,614,310,938.295117,46102.995594,1.058383
80,26423.538674,592.184129,523,5739,310,592.184122,26423.537614,0.606603
81,49773.597709,1156.369716,233,0,0,1156.369594,49773.596184,1.142649
82,4097989.59457,9467.301873,29,1080,310,9467.301899,4097989.5969,94.077272
83,442636.843814,3256.024534,234,0,0,3256.024347,442636.859646,10.161585
84,29853.320659,743.024575,30,659,310,743.024543,29853.319522,0.685341
85,3039320.75588,22270.09162,524,1105,310,22270.091621,3039320.75258,69.773483
86,33222.14397,731.231987,235,614,310,731.231973,33222.141587,0.762678
87,126696.646413,1503.067974,31,0,0,1503.06799,126696.649619,2.908566
88,30611.825563,765.299587,32,0,0,765.299578,30611.828638,0.702754
89,199168.133458,2156.549624,236,625,310,2156.54959,199168.137696,4.57229
90,5639072.48129,15097.130447,33,674,310,15097.130412,5639072.48996,129.455809
91,1688937.30487,7504.597254,237,1566,310,7504.597563,1688937.30227,38.77282
92,628016.009014,6618.078297,34,800,310,6618.078272,628016.024325,14.417322
93,2659.310749,319.763421,35,0,0,319.763493,2659.312335,0.06105
94,278629.871125,2529.768238,238,0,0,2529.76813,278629.872264,6.396487
95,75499.7967,1084.125565,525,2235,310,1084.12553,75499.787407,1.733244
96,649190.406028,3618.122536,526,5780,0,3618.122608,649190.454873,14.903422
97,42758.863499,1723.332867,527,4097,310,1723.332754,42758.867712,0.981612
98,2581328.61655,10808.21583,36,635,310,10808.215917,2581328.63598,59.259388
99,42140.44,803.240128,239,4194,310,803.240085,42140.438999,0.967415
100,4376.585033,358.005663,528,2232,310,358.005761,4376.583387,0.100473
101,34502.575069,945.852002,529,752,310,945.852042,34502.582166,0.792073
102,86300.502935,1322.91432,530,0,0,1322.914497,86300.50058,1.981195
103,42398.452538,1846.892015,37,1129,310,1846.892076,42398.444854,0.973338
104,1010656.50481,4372.15587,531,744,310,4372.155784,1010656.51067,23.201574
105,515073.821363,4955.350805,240,4161,310,4955.350946,515073.857257,11.824516
106,11501877.7324,67826.646822,38,794,310,67826.646691,11501877.5872,264.047833
107,381474.104188,4145.116802,702,4064,310,4145.1168,381474.100551,8.757475
108,1280126.26933,8142.118283,39,0,0,8142.118343,1280126.28567,29.387773
109,103504.890072,1872.338015,241,4883,310,1872.338019,103504.888381,2.376155
110,26105.65291,731.042733,532,2019,310,731.042732,26105.658655,0.599306
111,68224.319188,4116.71515,40,0,0,4116.715178,68224.270611,1.56622
112,123640.688404,1731.242316,703,1981,310,1731.242229,123640.673408,2.838411
113,449672.6078,4191.757838,533,4476,310,4191.757808,449672.607938,10.323104
114,216028.593657,2958.232614,242,763,310,2958.232627,216028.608081,4.959354
115,11856247.2577,23176.626081,41,636,310,23176.625665,11856247.246,272.183073
116,17634.9121,676.676467,704,0,0,676.676433,17634.901608,0.404843
