X,Y,OBJECTID_1,OBJECTID,TAG,MAP,REFNo,CLASS_MAP,GRID_REF,DESCRIP,Edit_By,EditDate,GlobalID
171.598585719781653,-41.786875576997822,19281,204,312, ,312,K29,93500 34600,Urupa,,,{639F9559-3478-47FE-B0AC-3D58B8387E47}
171.596499114357243,-41.772444334417287,19282,205,313, ,313,K29,93300 36200,Urupa,,,{B6842640-A2E4-412E-B1D1-B721DAF6448D}
171.595276804965721,-41.773329509234884,19283,206,314, ,314,K29,93200 36100,Urupa,,,{19E97F99-8E28-4FFA-8CCD-6B4A06A8FA38}
171.630651683398355,-41.75035424060674,19284,207,315, ,315,K29,96100 38700,Urupa,,,{6AD61F95-7B40-4FD3-BC18-43FB70BA524B}
171.635246749172666,-41.760313445946764,19285,208,316, ,316,K29,96500 37600,Urupa,,,{54E1E820-66B2-48A6-827C-DF82BFF6BE04}
171.598545933899402,-41.788675758682658,19286,209,317, ,317,K29,93500 34400,Urupa (possibly three graves),,,{B836C88B-6A30-47BE-9136-9B89CC4943CD}
171.601895966550103,-41.800421579448354,19287,210,318, ,318,K29,93800 33100,Pa & Urupa (one grave),,,{F5DA1C07-D902-4429-8523-326A39F3BBBD}
171.603277381274069,-41.792335594085841,19288,211,319, ,319,K29,93900 34000,Old Ferry Site Earlier than Te Kuha Site,,,{5C5D199F-B561-49A2-B2D3-0A5ACA780632}
171.615853796813667,-41.823389738028389,19289,218,311, ,311,K29,95000 30600,Pa Site,,,{BB21F020-3FA9-45FF-940D-A2DC6E99FAF5}
171.458384467297265,-41.764345386277384,19290,1,1, ,1,K29,81800 36900,Occupation,,,{D48BA3B3-2896-47C1-9FCD-7103F6A40000}
171.460679622792554,-41.768878279806323,19291,2,2, ,2,K29,82000 36400,Oven(s),,,{4F27E64D-8520-401C-80C4-7F604737943D}
171.459368114557151,-41.773362103387363,19292,3,3, ,3,K29,81900 35900,Shell Midden,,,{4572C51F-81CF-48B5-AC3C-55E8B0DB6CD8}
171.455695414540799,-41.776013060852591,19293,4,4, ,4,K29,81600 35600,Shell Midden,,,{6624E617-E5DC-4547-B682-DEA47D0552A4}
171.576523161682672,-41.751487178469276,19294,5,7, ,7,K29,91600 38500,Village,,,{1379443E-EE59-44E9-8E3B-5A2E3763FC49}
171.571776014959767,-41.74872638235783,19295,6,8, ,8,K29,91200 38800,Midden/ovens,,,{2E492FC8-696B-475B-8502-D5DA33FF4EFD}
171.597979933527313,-41.759857976668862,19296,7,10, ,10,K29,93400 37600,Village,,,{324996C8-C923-4734-A0B3-147ACACA52A3}
171.47032765441071,-41.817627133833838,19297,8,12, ,12,K29,82900 31000,Shell Midden,,,{F32F26CD-4FC4-4FC9-8F55-62517A4DA4D9}
171.465776534799829,-41.806761503210673,19298,9,13, ,13,K29,82500 32200,Midden/Oven Layer,,,{B1BD3E04-E923-4008-A7C6-3D43CBFA2BF2}
171.457903245151357,-41.784146155770451,19299,10,14, ,14,K29,81800 34700,Shell Midden,,,{0BBB154C-CCA3-44D2-B93F-75FE1D186B00}
171.464813397528019,-41.796844751155483,19300,11,16, ,16,K29,82400 33300,Hut,,,{524809F0-4497-4B63-9E68-30C946410411}
171.461139531694613,-41.799495874012088,19301,12,18, ,18,K29,82100 33000,Shell Midden,,,{0D1CAA06-6447-41BB-B0F5-7BA67C5ED9D9}
171.460067895155731,-41.794079294036521,19302,13,20, ,20,K29,82000 33600,Shell Midden,,,{159099CC-A192-4E0D-9BA7-C63BDFCA964C}
171.458952680117761,-41.790462782523697,19303,14,22, ,22,K29,81900 34000,Shell Midden,,,{1AC8B7CB-5C19-4BF0-991E-586E686B300B}
171.461226925045708,-41.795895722757678,19304,15,23, ,23,K29,82100 33400,Shell Midden,,,{2E3B6B8C-4E08-454F-8832-F7AD807EFCC0}
171.465558578154344,-41.815761915574903,19305,16,24, ,24,K29,82500 31200,Midden/Charcoal,,,{0CFA1B13-1E6D-4494-BC8A-04915C91DF31}
171.657823495553174,-41.829909583229714,19306,17,29, ,29,K29,98500 29900,Ferry Site,,,{06D98985-501F-403D-A5C3-CE34AA64E27A}
171.779958995680602,-41.863705153663439,19307,18,30, ,30,K29,08700 26300,Pa,,,{E79DFD4B-C99E-49AB-BDEF-F055ABB2C22D}
171.775124815869646,-41.864553240552652,19308,19,31, ,31,K29,08300 26200,Camp Site,,,{5F75F730-F3A0-4F39-856D-D0CB1AA8EFD8}
171.776329016348058,-41.864566276921821,19309,20,33, ,33,K29,08400 26200,Canoe,,,{208E1601-FD33-4415-BEAD-BDD2F360BFB5}
171.464425485952091,-41.912082846364314,19310,21,34, ,34,K29,82600 20500,Pits,,,{48DF90D2-E561-43DA-A294-E12328A52027}
171.452882895912438,-41.891217826401927,19311,22,35, ,35,K29,81600 22800,Artefact Finds,,,{1C43C713-5AAB-4143-8617-6F0E8ACD4222}
171.467403176810194,-41.888714342096527,19312,23,36, ,36,K29,82800 23100,Gold Workings,,,{87D6B9B7-D5A5-4A34-9E71-2BD916B7A6C5}
171.472243025550966,-41.887879430500888,19313,24,37, ,37,K29,83200 23200,Gold Workings,,,{A8F6381E-C2BB-4444-B703-087203F6941A}
171.482030430772994,-41.881708728488277,19314,25,39, ,39,K29,84000 23900,Water Race,,,{2659CE57-713B-4678-9DF2-15F9A87D47D2}
171.466718144512726,-41.817578301394207,19315,26,40, ,40,K29,82600 31000,Shell Midden,,,{4D189D59-1E7C-41EA-AAFF-73C60956AA75}
171.466478448843787,-41.827478763990769,19316,27,41, ,41,K29,82600 29900,Shell Midden,,,{DD4549BE-8E06-45CD-B6BF-2EC59BF1265D}
171.464595379408991,-41.805845152485453,19317,28,42, ,42,K29,82400 32300,Find Site,,,{F66DCDE9-C51A-42FD-8A74-6084E0962312}
171.46221133267349,-41.804912455554295,19318,29,44, ,44,K29,82200 32400,Shell Midden,,,{1F4D8FAE-9D11-4FCD-8D31-11940C1F4C7B}
171.522393371452608,-41.752594259812113,19319,30,46, ,46,K29,87100 38300,Shipwreck,,,{178307EF-1551-4021-955E-B443EAC01B93}
171.461772768477459,-41.773394801238837,19320,31,47, ,47,K29,82100 35900,Pits,,,{28A95547-4EBA-465F-91A0-2B88990F3B2D}
171.542620306687326,-41.761859807119428,19321,32,48, ,48,K29,88800 37300,Gold Workings,,,{4100D3AF-7A6C-4200-BFC7-C7D96EF7B56F}
171.542061947047529,-41.786161664106821,19322,33,49, ,49,K29,88800 34600,Gold Workings,,,{4D1529F3-C62A-4FFC-A50A-424D0D41EC8C}
171.539179573085818,-41.754612785016171,19323,34,50, ,50,K29,88500 38100,Railway Formation,,,{A0A6C25B-F974-4202-9C41-A34D2744F625}
