X,Y,TEMA,SURVEY,TEXTSTRING,OBJECTID
-6.270842841976116,54.742533393529342,MOTORWAY,20060309,M 22,1
-6.224709948651204,54.489842185080455,MOTORWAY,20050114,M 1,2
-6.426849653433152,54.456972765827402,MOTORWAY,20050114,M 12,3
-6.437227776906266,54.467652312867621,MOTORWAY,20050114,M 1,4
-6.717171333041909,54.49238384858733,MOTORWAY,20060307,M 1,5
-6.574986005987906,54.480889293332737,MOTORWAY,20060307,M 1,6
-5.99799596139555,54.555302244375127,MOTORWAY,20031029,3,7
-6.258287299808337,54.881357246545711,MOTORWAY,20060309,M 2,8
-6.157099635097932,54.722907149780958,MOTORWAY,20060309,6,9
-6.187181709283689,54.739912708587248,MOTORWAY,20060309,7,10
-6.298381161921754,54.741501324866782,MOTORWAY,20060309,2,11
-6.238335113055347,54.747042877430694,MOTORWAY,20060309,1,12
-6.141976965631361,54.721703154727777,MOTORWAY,20060309,M 2,13
-6.075617896474598,54.709622695929731,MOTORWAY,20031015,5,14
-5.908374491321123,54.654063480001213,MOTORWAY,20031015,M 5,15
-6.009032910762143,54.692659492318789,MOTORWAY,20031015,M 2,16
-5.978492304918064,54.681282153374141,MOTORWAY,20031015,A 8(M),17
-5.918676065259861,54.617571627000821,MOTORWAY,20031029,M 2,18
-5.994876819717037,54.563167049069122,MOTORWAY,20031029,M 1,19
-5.48880716855555,54.569350488931114,A_CLASS,20031024,A 2,20
-5.45375465804041,54.490548835533353,A_CLASS,20031024,A 2,21
-5.506866793078671,54.415061262610962,A_CLASS,20031024,A 2,22
-5.611389233758031,54.671874510640066,A_CLASS,20031029,A 2,23
-5.748387612256391,54.739834082705649,A_CLASS,20031029,A 2,24
-5.727819591943968,54.763021648443726,A_CLASS,20031029,A 2,25
-5.758154021001501,54.810995313473121,A_CLASS,20050202,A 2,26
-5.735031812546563,54.547922597372043,A_CLASS,20050702,A 21,27
-5.805936491343226,54.518249263656706,A_CLASS,20050702,A 23,28
-5.813399382844112,54.482621264017922,A_CLASS,20031024,A 21,29
-5.833963513034052,54.474240989417261,A_CLASS,20031024,A 7,30
-5.738216983887473,54.591698681020496,A_CLASS,20050702,A 20,31
-5.784577555814706,54.576986706163659,A_CLASS,20050702,A 22,32
-5.774482464690841,54.530694513908394,A_CLASS,20050702,A 21,33
-5.605514367619815,54.552356419043811,A_CLASS,20050702,A 20,34
-5.666607289522394,54.575997508800505,A_CLASS,20050702,A 20,35
-5.701882163762293,54.567320889097076,A_CLASS,20050702,A 21,36
-5.558832959218178,54.531980756344147,A_CLASS,20050702,A 20,37
-5.736179322483795,54.552195978228674,A_CLASS,20050702,A 211,38
-5.73149760636882,54.529347257582188,A_CLASS,20050702,A 22,39
-5.581358087480754,54.639607559097577,A_CLASS,20050702,A 48,40
-5.63857159077271,54.623461268638032,A_CLASS,20050702,A 48,41
-5.834106602959067,54.595248466859573,A_CLASS,20050702,A 20,42
-5.67559887084231,54.620500589318794,A_CLASS,20050702,A 21,43
-5.735846136076804,54.646422166307971,A_CLASS,20050702,A 2,44
-5.807221553968286,54.439618729606416,A_CLASS,20031024,A 7,45
-5.537230448143515,54.419001077236139,A_CLASS,20031024,A 20,46
-5.547174121371412,54.34060850553707,A_CLASS,20060306,A 2,47
-5.58467968452496,54.3576705111129,A_CLASS,20031024,A 25,48
-5.836813461670465,54.328949463847202,A_CLASS,20060306,A 24,49
-5.766986369468236,54.303770775581555,A_CLASS,20060306,A 25,50
-5.675741361200703,54.353045927101547,A_CLASS,20060306,A 25,51
-5.744657517897926,54.379337080614434,A_CLASS,20031024,A 7,52
-5.676121826048975,54.38769451538564,A_CLASS,20031024,A 22,53
-5.840197088223533,54.457247553194186,A_CLASS,20031024,A 21,54
-5.630009788893222,54.260401812700216,A_CLASS,20060306,A 2,55
-5.698501643197462,54.252281825849117,A_CLASS,20060306,A 2,56
-5.798340357664193,54.275719541431052,A_CLASS,20060306,A 2,57
-5.846280709049353,54.286797848822552,A_CLASS,20060306,A 25,58
-6.105950843001459,55.018662466542274,A_CLASS,20050202,A 43,59
-5.978300878332622,55.013987033323879,A_CLASS,20050202,A 2,60
-6.094890044130382,55.141898682482079,A_CLASS,20050124,A 2,61
-6.005183049055142,55.057661113669297,A_CLASS,20050202,A 2,62
-5.894367027062416,54.931335198885058,A_CLASS,20050202,A 2,63
-6.01670064010115,54.944629676891886,A_CLASS,20050202,A 42,64
-5.897706907357827,54.814411248623543,A_CLASS,20050202,A 8,65
-5.98511720791786,54.825747946098708,A_CLASS,20050202,A 36,66
-6.081604710630134,54.7072591565273,A_CLASS,20031015,A 57,67
-6.069559551824555,54.703637384392529,A_CLASS,20031015,A 6,68
-6.132061250523796,54.829156019069451,A_CLASS,20050202,A 36,69
-5.964257765976332,54.686799261197478,A_CLASS,20031015,A 8,70
-5.971196051686848,54.677025585243577,A_CLASS,20031015,A 6,71
-6.011482647672869,54.73954421916828,A_CLASS,20031015,A 57,72
-5.965660077150668,54.729546884447693,A_CLASS,20031015,A 8,73
-5.857351632695902,54.69599609862923,A_CLASS,20031015,A 2,74
-6.11310586449987,54.633904593998118,A_CLASS,20031029,A 52,75
-5.871220324629729,54.58018218747776,A_CLASS,20031029,A 55,76
-5.910867650516241,54.564661234611137,A_CLASS,20031029,A 24,77
-5.975282399791075,54.602148496816376,A_CLASS,20031029,A 55,78
-5.982945128823451,54.582962155620024,A_CLASS,20031029,A 501,79
-5.955334655219541,54.574887821772585,A_CLASS,20031029,A 1,80
-5.941148803168121,54.594656754039946,A_CLASS,20031029,A 12,81
-5.953415431459806,54.63195329155289,A_CLASS,20031029,A 55,82
-5.938089967851159,54.630167150038538,A_CLASS,20031029,A 6,83
-5.92419196904329,54.634821667265989,A_CLASS,20031029,A 2,84
-5.850955038277207,54.627319603842608,A_CLASS,20031029,A 2,85
-5.975868944906924,54.619089779078365,A_CLASS,20031029,A 52,86
-6.062356274907538,54.521484301383701,A_CLASS,20031029,A 30,87
-5.895789533597966,54.536954184404877,A_CLASS,20031029,A 24,88
-6.019594534907905,54.548421885686935,A_CLASS,20031029,A 512,89
-6.028571999067014,54.532698464875644,A_CLASS,20031029,A 1,90
-5.884176761973707,54.517766455380233,A_CLASS,20031029,A 7,91
-6.139342198333172,54.499388404418205,A_CLASS,20060309,A 3,92
-6.130360972140291,54.543118807882223,A_CLASS,20031029,A 30,93
-6.093976341774384,54.549238644128486,A_CLASS,20031029,A 501,94
-5.905508313015011,54.471048791706522,A_CLASS,20060309,A 24,95
-6.091363203128543,54.529163552673644,A_CLASS,20031029,A 30,96
-5.872416418410218,54.434170020906208,A_CLASS,20060309,A 21,97
-5.865983276030152,54.374060853805354,A_CLASS,20060309,A 24,98
-5.949323757877516,54.447970856815594,A_CLASS,20060309,A 49,99
-6.100174257182362,54.459295541256751,A_CLASS,20060309,A 1,100
-6.088488657295682,54.23133600259407,A_CLASS,20060306,A 25,101
-5.910244903197968,54.233355093890054,A_CLASS,20060306,A 50,102
-5.869951341107742,54.22998008588047,A_CLASS,20060306,A 2,103
-5.877669087030056,54.160943425696054,A_CLASS,20060306,A 2,104
-5.904670125483725,54.269850229734203,A_CLASS,20060306,A 25,105
-6.011800492365623,54.262266041749619,A_CLASS,20060306,A 50,106
-6.07583907174164,54.285531759952676,A_CLASS,20060306,A 50,107
-6.074239086984494,54.072867580586596,A_CLASS,20060306,A 2,108
-5.959359182725566,54.075705549084191,A_CLASS,20060306,A 2,109
-6.29560117135798,55.200594327360605,A_CLASS,20050124,A 2,110
-6.285583286139484,55.18540448941723,A_CLASS,20050124,A 44,111
-6.360604871983289,55.036077128570952,A_CLASS,20050131,A 44,112
-6.307641714814721,54.885899137269327,A_CLASS,20060309,A 26,113
-6.345517447018771,54.851743500448123,A_CLASS,20060309,A 42,114
-6.365599621867351,55.010402940359597,A_CLASS,20050131,A 26,115
-6.33561642881947,54.948869358270031,A_CLASS,20050131,A 26,116
-6.24434604855518,54.949036046725688,A_CLASS,20050131,A 43,117
-6.265345873557516,54.844506561338733,A_CLASS,20060309,A 26,118
-6.158985918761796,54.901329291309708,A_CLASS,20060309,A 42,119
-6.276741276876649,54.737036608058105,A_CLASS,20060309,A 6,120
-6.15139919509236,54.682304320082352,A_CLASS,20060309,A 57,121
-6.150536589029405,54.701267796304421,A_CLASS,20060309,A 6,122
-6.213833951732776,54.713300860633694,A_CLASS,20060309,A 522,123
-6.212728726607424,54.707078442023246,A_CLASS,20060309,A 6,124
-6.177134065992711,54.657126752138545,A_CLASS,20060309,A 26,125
-6.254936930134301,54.795499146245767,A_CLASS,20060309,A 26,126
-6.412633689689359,54.744179904840671,A_CLASS,20060309,A 6,127
-6.206780592009262,54.526820695137509,A_CLASS,20050114,A 26,128
-6.198760706431541,54.629673492797217,A_CLASS,20050114,A 52,129
-6.208240410290087,54.602016508784466,A_CLASS,20050114,A 26,130
-6.183176592193001,54.579958566200673,A_CLASS,20050114,A 30,131
-6.281738313021423,54.37324803187601,A_CLASS,20050114,A 26,132
-6.275898430379687,54.340369491227023,A_CLASS,20060306,A 26,133
-6.257089371573868,54.469234336956099,A_CLASS,20050114,A 3,134
-6.28383631246938,54.418864643888888,A_CLASS,20050114,A 26,135
-6.38790418907144,54.398881953690392,A_CLASS,20050114,A 50,136
-6.445824766863547,54.385185205497699,A_CLASS,20050114,A 27,137
-6.445154799930557,54.353500352704749,A_CLASS,20060306,A 51,138
-6.198855690360102,54.338231524161039,A_CLASS,20060306,A 50,139
-6.293440923927219,54.328420724605245,A_CLASS,20060306,A 1,140
-6.37702785737478,54.325928936058688,A_CLASS,20060306,A 27,141
-6.197945594586203,54.374827668434882,A_CLASS,20050114,A 1,142
-6.259569773507043,54.354364556606534,A_CLASS,20060306,A 26,143
-6.328092061355207,54.381698223332634,A_CLASS,20050114,A 50,144
-6.400474799367151,54.357329126839758,A_CLASS,20060306,A 51,145
-6.406662026938966,54.440288058051472,A_CLASS,20050114,A 27,146
-6.40587976658639,54.448825237519465,A_CLASS,20050114,A 3,147
-6.437210812527623,54.430523563821808,A_CLASS,20050114,A 3,148
-6.454552692044003,54.412347486168471,A_CLASS,20050114,A 27,149
-6.378039962290244,54.451710147306557,A_CLASS,20050114,A 3,150
-6.305515259350837,54.133587069138152,A_CLASS,20040906,A 2,151
-6.345540755761241,54.133248906988264,A_CLASS,20040906,A 1,152
-6.383983260590142,54.18445877501577,A_CLASS,20040906,A 25,153
-6.354292701978846,54.187525204205684,A_CLASS,20040906,A 1,154
-6.216708207264348,54.101054862051569,A_CLASS,20040906,A 2,155
-6.54638806956455,55.209549308607336,A_CLASS,20050121,A 2,156
-6.496145873644349,55.222860146096494,A_CLASS,20050121,A 2,157
-6.592381967170892,55.206197990461924,A_CLASS,20050121,A 2,158
-6.682613832180078,55.070077181594733,A_CLASS,20050131,A 29,159
-6.603220840445765,55.034315456630992,A_CLASS,20050131,A 54,160
-6.487407946597938,55.068513698488317,A_CLASS,20050131,A 26,161
-6.699850837569333,55.191705156617381,A_CLASS,20050121,A 2,162
-6.625586326716277,55.197964031243401,A_CLASS,20050121,A 2,163
-6.663361761962801,55.175136448123666,A_CLASS,20050121,A 29,164
-6.700336847385995,55.16495639807502,A_CLASS,20050121,A 2,165
-6.64271480782746,55.138777096694938,A_CLASS,20050121,A 29,166
-6.66582673946892,55.147612807056191,A_CLASS,20050121,A 29,167
-6.659846010078624,55.127555101587596,A_CLASS,20050121,A 26,168
-6.673694087348166,55.126268338267948,A_CLASS,20050121,A 29,169
-6.689700627044904,55.110927219022713,A_CLASS,20050121,A 29,170
-6.57028881198338,55.092588194899719,A_CLASS,20050121,A 26,171
-6.614246185929419,55.074262985548621,A_CLASS,20050131,A 54,172
-6.680920115637424,55.024710045610561,A_CLASS,20050131,A 29,173
-6.688314432687264,54.972484488896733,A_CLASS,20050131,A 29,174
-6.567651219259855,54.971521090661007,A_CLASS,20050131,A 54,175
-6.657928061876007,54.841539309721128,A_CLASS,20060308,A 42,176
-6.665365290418439,54.879648838061378,A_CLASS,20060308,A 29,177
-6.55743855266814,54.853521023079018,A_CLASS,20060308,A 42,178
-6.507825484782786,54.857405213277282,A_CLASS,20060308,A 54,179
-6.454618515105906,54.862019779172762,A_CLASS,20060308,A 42,180
-6.52422360229853,54.927153110795317,A_CLASS,20060308,A 54,181
-6.669132066411501,54.733698312601582,A_CLASS,20060308,A 29,182
-6.652283299564278,54.712180821483699,A_CLASS,20060308,A 31,183
-6.530569767130562,54.798421200519776,A_CLASS,20060308,A 54,184
-6.509988651413112,54.823323639932802,A_CLASS,20060308,A 54,185
-6.616351681587417,54.803131284904026,A_CLASS,20060308,A 6,186
-6.591467288695064,54.763772641161957,A_CLASS,20060308,A 31,187
-6.622497616047718,54.835539146190293,A_CLASS,20060308,A 42,188
-6.710332074486224,54.667352434848667,A_CLASS,20060308,A 29,189
-6.693989488528851,54.792614612611338,A_CLASS,20060308,A 29,190
-6.691905360902955,54.82344545990879,A_CLASS,20060308,A 29,191
-6.683399222638351,54.837396171018405,A_CLASS,20060308,A 6,192
-6.670415401122896,54.51149673525066,A_CLASS,20060307,A 45,193
-6.748116010833082,54.527252359400393,A_CLASS,20060307,A 45,194
-6.750190498209886,54.610173728014566,A_CLASS,20060307,A 29,195
-6.464810602376287,54.413224010130378,A_CLASS,20060307,A 3,196
-6.576010225180901,54.312583292852707,A_CLASS,20060306,A 28,197
-6.504140841085806,54.459381642767099,A_CLASS,20060307,A 4,198
-6.718135162896766,54.462166998430959,A_CLASS,20060307,A 29,199
-6.673647742285634,54.375475126289459,A_CLASS,20060307,A 29,200
-6.756222117709662,54.349841452087574,A_CLASS,20060306,A 28,201
-6.660737435693518,54.327581460785318,A_CLASS,20060306,A 29,202
-6.708477168405062,54.320882001224064,A_CLASS,20060306,A 3,203
-6.657614289861308,54.342735778673088,A_CLASS,20060306,A 3,204
-6.599990879051612,54.363010856986087,A_CLASS,20060306,A 3,205
-6.500036534599279,54.394337101533971,A_CLASS,20060307,A 3,206
-6.566601041039032,54.338832840911728,A_CLASS,20060306,A 51,207
-6.687979855778943,54.270391637965055,A_CLASS,20060306,A 29,208
-6.685893706833311,54.233322202197918,A_CLASS,20060306,A 29,209
-6.567763187475279,54.143890767361036,A_CLASS,20040921,A 29,210
-6.588299559655762,54.178323506340973,A_CLASS,20040921,A 25,211
-6.575221302708398,54.184461659681816,A_CLASS,20040921,A 29,212
-6.519785698437645,54.176715040397056,A_CLASS,20040921,A 25,213
-6.606423825118673,54.213284774573388,A_CLASS,20040921,A 29,214
-6.490733626952584,54.285696794387434,A_CLASS,20060306,A 28,215
-6.504148705301665,54.076933520430543,A_CLASS,20040921,A 29,216
-6.651365710891418,54.065275939137067,A_CLASS,20040921,A 37,217
-6.603945613275515,54.04793114773102,A_CLASS,20040921,A 37,218
-6.753378669435011,55.088478227991011,A_CLASS,20040709,A 37,219
-6.753030984699223,55.142582568349532,A_CLASS,20050121,A 2,220
-6.947223508520589,55.134817150150667,A_CLASS,20050121,A 2,221
-6.869410822884775,55.068895255709542,A_CLASS,20040709,A 37,222
-6.937463985797923,55.087070462540673,A_CLASS,20040709,A 2,223
-6.926468008285702,55.051889432597072,A_CLASS,20040709,A 37,224
-6.990389002848842,55.049743214332658,A_CLASS,20040709,A 2,225
-6.924466980847262,54.925224827392171,A_CLASS,20030930,A 6,226
-7.056473251935271,54.930655214553134,A_CLASS,20030930,A 6,227
-6.75900253299937,54.854266747018336,A_CLASS,20030930,A 6,228
-6.834687819252798,54.903551410118602,A_CLASS,20030930,A 6,229
-6.818133418369174,54.48428987719668,A_CLASS,20030801,A 4,230
-6.798444728718869,54.492995696194178,A_CLASS,20030801,A 45,231
-6.92991177022562,54.488259768340214,A_CLASS,20030801,A 4,232
-6.779152377750282,54.548759766821853,A_CLASS,20030801,A 29,233
-6.889444109593559,54.656731412105032,A_CLASS,20030801,A 505,234
-7.052742834825371,54.472317174061864,A_CLASS,20030801,A 5,235
-7.054255054349699,54.447249645422836,A_CLASS,20030801,A 4,236
-7.042802316860188,54.426290598184622,A_CLASS,20030801,A 28,237
-6.994306195922602,54.435369392912456,A_CLASS,20030801,A 5,238
-6.975094300693525,54.40535618710561,A_CLASS,20030801,A 5,239
-6.947098059488665,54.404314449034032,A_CLASS,20030801,A 28,240
-6.783263647676754,54.296366861215873,A_CLASS,20030801,A 3,241
-6.861230798592674,54.280264360254236,A_CLASS,20030801,A 3,242
-7.280260979204238,55.037209042385236,A_CLASS,20040709,A 2,243
-7.309078029216061,55.032819101433503,A_CLASS,20040709,A 515,244
-7.351958317414079,55.031281685332331,A_CLASS,20040709,A 2,245
-7.247327484327366,55.026482848703616,A_CLASS,20040709,A 2,246
-7.129919280358055,55.033423453835539,A_CLASS,20040709,A 2,247
-7.36799113076715,54.954359896292871,A_CLASS,20040709,A 5,248
-7.279242564175411,54.992663351994665,A_CLASS,20040709,A 514,249
-7.293219192696807,55.017489191547092,A_CLASS,20040709,A 515,250
-7.240226326374067,54.95703055983271,A_CLASS,20040709,A 6,251
-7.348097714136342,54.669869540794821,A_CLASS,20041001,A 5,252
-7.371302873663726,54.722161171523588,A_CLASS,20041001,A 5,253
-7.141538104820143,54.491891217353178,A_CLASS,20060307,A 5,254
-7.239502916181615,54.545799369951553,A_CLASS,20060307,A 5,255
-7.152650362809682,54.649469091021686,A_CLASS,20060307,A 505,256
-7.327583705779842,54.586536185359343,A_CLASS,20060307,A 32,257
-7.321787442224045,54.60555997781988,A_CLASS,20060307,A 5,258
-7.348838051834007,54.345383789020914,A_CLASS,20060307,A 4,259
-7.238506177567485,54.390243357650476,A_CLASS,20060307,A 4,260
-7.105044967501283,54.438717251008619,A_CLASS,20060307,A 4,261
-7.097104162811749,54.4276065326818,A_CLASS,20060307,A 28,262
-7.342076665671828,54.127890782949919,A_CLASS,20050118,A 3,263
-7.275084313323004,54.157977253722557,A_CLASS,20050118,A 3,264
-7.306012153782787,54.173989916843539,A_CLASS,20050118,A 34,265
-7.424928995423648,54.873325335525031,A_CLASS,20040709,A 5,266
-7.388267909262193,54.967644802779134,A_CLASS,20040709,A 40,267
-7.459782140835952,54.837742924635585,A_CLASS,20040709,A 5,268
-7.47689639941833,54.831269762183609,A_CLASS,20040709,A 38,269
-7.475110051503738,54.79698341807218,A_CLASS,20041001,A 5,270
-7.481585981401811,54.814665803367042,A_CLASS,20040709,A 5,271
-7.669875141825512,54.490696158677615,A_CLASS,20060307,A 35,272
-7.405759637056677,54.545594870603352,A_CLASS,20060307,A 32,273
-7.544724820402719,54.499207799433094,A_CLASS,20060307,A 32,274
-7.685198540912213,54.315330984196486,A_CLASS,20060303,A 32,275
-7.595003344624903,54.321740156486761,A_CLASS,20060303,A 4,276
-7.627409756703226,54.407227981284933,A_CLASS,20060307,A 32,277
-7.591090047252706,54.481487532926771,A_CLASS,20060307,A 32,278
-7.654333391856588,54.325531261431237,A_CLASS,20060303,A 509,279
-7.680741392724628,54.323638447138684,A_CLASS,20060303,A 4,280
-7.473806743384371,54.300086098107975,A_CLASS,20060303,A 4,281
-7.418755601846999,54.231496806236038,A_CLASS,20050118,A 34,282
-7.462758870221315,54.297150468149894,A_CLASS,20060303,A 4,283
-7.548817742042202,54.177024333617759,A_CLASS,20050118,A 509,284
-7.636720865209992,54.268619300885234,A_CLASS,20060303,A 509,285
-7.466352871254518,54.286571015846427,A_CLASS,20060303,A34,286
-7.688889873910887,54.302017828062105,A_CLASS,20060303,A 32,287
-8.014402055532036,54.482948968498398,A_CLASS,20060306,A 47,288
-8.059686705096157,54.469256097037153,A_CLASS,20060306,A 46,289
-7.698140748036034,54.261938292611141,A_CLASS,20060303,A32,290
-7.799402735839006,54.297540644397827,A_CLASS,20060303,A4,291
-7.697371077513303,54.294727663037364,A_CLASS,20060303,A32,292
-7.702088923664614,54.216423051340684,A_CLASS,20060303,A32,293
-7.92358725967971,54.471383916709819,A_CLASS,20060306,A 46,294
-7.697269655357777,54.388190216185627,A_CLASS,20060306,A 46,295
-7.762585033703706,54.540599050584021,A_CLASS,20060306,A 35,296
-7.838860851117375,54.512897645224015,A_CLASS,20060306,A 47,297
-5.526498668059132,54.536865878169351,B_CLASS,20031024,B 5,298
-5.490951490793016,54.465688154056515,B_CLASS,20031024,B 173,299
-5.739821408427827,54.84091907365827,B_CLASS,20050202,B 90,300
-5.756282166586458,54.828775318664093,B_CLASS,20050202,B 90,301
-5.777935690565936,54.75332294343854,B_CLASS,20031029,B 149,302
-5.755751574427937,54.755498289354229,B_CLASS,20031029,B 90,303
-5.712878923171781,54.768343454594834,B_CLASS,20031029,B 150,304
-5.822875667398666,54.734676041284693,B_CLASS,20031029,B 90,305
-5.717340099326157,54.660040568320774,B_CLASS,20031029,B 20,306
-5.600735624399307,54.651120267228691,B_CLASS,20031029,B 21,307
-5.627795002771848,54.672455004442277,B_CLASS,20031029,B 511,308
-5.816905598938849,54.793566753340414,B_CLASS,20050202,B 149,309
-5.713292655999757,54.813363342020686,B_CLASS,20050202,B 150,310
-5.720227089679423,54.805189870097799,B_CLASS,20050202,B 90,311
-5.800621495938533,54.53550794986846,B_CLASS,20050702,B 178,312
-5.837078085810512,54.525172700025095,B_CLASS,20050702,B 178,313
-5.786570335742869,54.618316401268153,B_CLASS,20050702,B 170,314
-5.643160299622324,54.597907395266489,B_CLASS,20050702,B 172,315
-5.57021031331213,54.605050492646662,B_CLASS,20050702,B 172,316
