FE College,Ethnicity,2009/10,2010/11,2011/12,2012/13,2013/14
Belfast Metropolitan College,White,42741,26938,27272,31239,30312
Belfast Metropolitan College,Black Caribbean,55,17,34,32,22
Belfast Metropolitan College,Black African,327,201,276,390,439
Belfast Metropolitan College,Black Other,20,6,43,31,48
Belfast Metropolitan College,Indian,96,78,84,105,88
Belfast Metropolitan College,Pakistani,27,31,26,17,36
Belfast Metropolitan College,Bangladeshi,18,34,38,16,21
Belfast Metropolitan College,Chinese,486,268,345,303,263
Belfast Metropolitan College,Irish Traveller,11,4,4,2,13
Belfast Metropolitan College,Mixed Other,226,212,215,262,264
Belfast Metropolitan College,Other,402,362,331,457,404
Belfast Metropolitan College,Unknown,10057,15020,9895,7096,5145
Belfast Metropolitan College,Total,54466,43171,38563,39950,37055
Northern Regional College,White,25075,24536,24864,23838,22998
Northern Regional College,Black Caribbean,4,8,4,4,6
Northern Regional College,Black African,20,23,16,19,19
Northern Regional College,Black Other,3,4,5,17,1
Northern Regional College,Indian,23,26,6,14,16
Northern Regional College,Pakistani,24,16,15,14,20
Northern Regional College,Bangladeshi,3,0,0,1,0
Northern Regional College,Chinese,65,55,51,59,57
Northern Regional College,Irish Traveller,21,22,15,17,8
Northern Regional College,Mixed Other,21,19,24,38,32
Northern Regional College,Other,109,72,47,65,54
Northern Regional College,Unknown,318,687,1814,1199,1346
Northern Regional College,Total,25686,25468,26861,25285,24557
North West Regional College,White,21786,22099,21807,21152,19869
North West Regional College,Black Caribbean,14,8,14,14,5
North West Regional College,Black African,36,38,39,30,14
North West Regional College,Black Other,0,4,8,11,12
North West Regional College,Indian,37,38,35,34,21
North West Regional College,Pakistani,3,11,8,9,4
North West Regional College,Bangladeshi,4,3,4,0,0
North West Regional College,Chinese,19,36,15,19,18
North West Regional College,Irish Traveller,17,17,10,15,26
North West Regional College,Mixed Other,51,71,63,73,74
North West Regional College,Other,68,96,73,76,82
North West Regional College,Unknown,3138,3651,3586,3520,3042
North West Regional College,Total,25173,26072,25662,24953,23167
South Eastern Regional College,White,26555,26977,27676,32826,32036
South Eastern Regional College,Black Caribbean,41,23,19,52,25
South Eastern Regional College,Black African,32,35,41,71,28
South Eastern Regional College,Black Other,30,14,28,18,30
South Eastern Regional College,Indian,19,19,31,14,22
South Eastern Regional College,Pakistani,12,19,31,37,29
South Eastern Regional College,Bangladeshi,24,33,44,36,37
South Eastern Regional College,Chinese,104,100,89,98,103
South Eastern Regional College,Irish Traveller,1,0,3,6,3
South Eastern Regional College,Mixed Other,58,75,114,168,185
South Eastern Regional College,Other,132,114,145,168,144
South Eastern Regional College,Unknown,2332,2866,3046,3818,3190
South Eastern Regional College,Total,29340,30275,31267,37312,35832
Southern Regional College,White,35350,31750,29433,29653,27022
Southern Regional College,Black Caribbean,18,23,34,16,10
Southern Regional College,Black African,73,104,109,76,80
Southern Regional College,Black Other,39,34,26,14,20
Southern Regional College,Indian,26,33,30,39,11
Southern Regional College,Pakistani,20,32,16,13,19
Southern Regional College,Bangladeshi,12,24,19,5,7
Southern Regional College,Chinese,70,86,96,71,47
Southern Regional College,Irish Traveller,42,104,145,114,36
Southern Regional College,Mixed Other,0,0,0,0,0
Southern Regional College,Other,215,194,226,234,176
Southern Regional College,Unknown,4383,4697,5358,5201,5647
Southern Regional College,Total,40248,37081,35492,35436,33075
South West College,White,20276,21678,24202,24583,24546
South West College,Black Caribbean,11,33,16,23,51
South West College,Black African,54,75,95,97,163
South West College,Black Other,11,64,59,35,72
South West College,Indian,22,14,33,11,10
South West College,Pakistani,48,61,51,29,12
South West College,Bangladeshi,0,0,0,4,6
South West College,Chinese,41,30,26,38,30
South West College,Irish Traveller,8,9,17,19,63
South West College,Mixed Other,47,65,72,95,137
South West College,Other,60,89,105,97,98
South West College,Unknown,4086,2285,1899,2377,1951
South West College,Total,24664,24403,26575,27408,27139
NI Total,White,171783,153978,155254,163291,156783
NI Total,Black Caribbean,143,112,121,141,119
NI Total,Black African,542,476,576,683,743
NI Total,Black Other,103,126,169,126,183
NI Total,Indian,223,208,219,217,168
NI Total,Pakistani,134,170,147,119,120
NI Total,Bangladeshi,61,94,105,62,71
NI Total,Chinese,785,575,622,588,518
NI Total,Irish Traveller,100,156,194,173,149
NI Total,Mixed Other,403,442,488,636,692
NI Total,Other,986,927,927,1097,958
NI Total,Unknown,24314,29206,25598,23211,20321
NI Total,Total,199577,186470,184420,190344,180825
Sources: Further Education Statistical Return (FESR) and Consolidated Data Return (CDR),,,,,,
Notes:,,,,,,
For further details on definitions please refer to the metadata.,,,,,,
,,,,,,
