RECORD_NUMBER,REGION,RESIDENCE_TYPE,FAMTYPE,POPBASE,SEX,AGE,MARSTAT,STUDENT,COB,HEALTH,ETHNICITY,RELIGIONNI,RELIGIONBNI,ECONACT,OCC,INDUSTRY,HOURS
5280443,N92000002,H,3,1,1,3,1,2,1,2,1,3,2,1,4,10,3
5406078,N92000002,H,2,1,1,1,1,1,1,2,1,8,1,-9,-9,-9,-9
5256798,N92000002,H,2,1,2,6,2,2,1,3,1,1,1,5,7,2,3
5407059,N92000002,H,2,1,2,6,2,2,1,2,1,2,2,1,9,5,2
5407894,N92000002,H,5,1,2,1,1,1,1,3,1,2,2,-9,-9,-9,-9
5282623,N92000002,H,2,1,2,3,2,2,1,2,1,2,2,1,1,4,3
5408959,N92000002,H,1,1,2,3,1,2,2,2,1,5,2,1,9,1,3
5309063,N92000002,H,3,1,1,1,1,2,1,1,1,7,4,-9,-9,-9,-9
5284133,N92000002,H,1,1,2,8,5,2,1,2,1,3,2,5,4,8,3
5234388,N92000002,H,2,1,1,1,1,1,2,1,1,1,1,-9,-9,-9,-9
5408294,N92000002,H,2,1,2,2,1,2,1,1,1,1,1,1,4,4,3
5284513,N92000002,H,2,1,2,2,1,1,1,2,1,1,1,6,-9,-9,-9
5334203,N92000002,H,1,1,1,4,1,2,1,2,1,2,2,3,3,4,3
5384698,N92000002,H,1,1,2,7,4,2,1,4,1,3,2,5,9,11,3
5359503,N92000002,H,3,1,1,3,1,2,1,2,1,1,1,3,8,2,3
5260313,N92000002,H,2,1,1,5,2,2,1,2,1,7,2,1,8,6,3
5335093,N92000002,H,3,1,2,3,1,2,1,2,1,1,1,1,1,4,3
5285598,N92000002,H,5,1,2,1,1,2,1,1,1,7,1,-9,-9,-9,-9
5286173,N92000002,H,1,1,2,4,1,2,1,1,1,2,2,1,2,11,3
5261388,N92000002,H,1,1,1,7,3,2,1,2,1,1,1,5,8,5,3
5311473,N92000002,H,5,1,2,2,1,2,1,1,1,3,2,3,-9,-9,-9
5336213,N92000002,H,5,1,1,1,1,2,1,1,1,1,1,-9,-9,-9,-9
5411084,N92000002,H,5,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5363438,N92000002,H,1,1,2,8,5,2,1,2,1,3,2,5,2,10,2
5311273,N92000002,H,1,1,1,3,1,2,1,1,1,3,2,1,2,12,4
5239348,N92000002,H,1,1,2,3,1,2,1,3,1,1,1,1,2,6,3
5264858,N92000002,H,5,1,2,5,2,2,1,1,1,1,1,1,6,11,3
5237998,N92000002,H,2,1,2,4,2,2,2,1,1,7,4,3,3,8,4
5388348,N92000002,H,2,1,2,6,2,2,1,1,1,1,1,1,1,9,4
5262098,N92000002,H,1,1,1,5,1,2,1,4,1,3,2,8,9,4,3
5411719,N92000002,H,3,1,2,1,1,1,1,2,1,1,1,-9,-9,-9,-9
5413524,N92000002,H,2,1,1,1,1,1,1,2,1,2,2,-9,-9,-9,-9
5415734,N92000002,H,2,1,2,5,2,2,1,2,1,4,2,1,4,6,2
5266368,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5317268,N92000002,H,2,1,1,5,2,2,1,1,1,7,2,1,2,10,3
5244268,N92000002,H,2,1,2,3,1,1,1,1,1,1,1,6,4,4,3
5243218,N92000002,H,2,1,1,5,2,2,2,2,1,1,1,1,9,2,3
5393103,N92000002,H,3,1,2,4,1,2,1,3,1,4,2,7,4,9,1
5243728,N92000002,H,2,1,2,3,2,2,2,2,2,7,4,2,4,5,3
5293563,N92000002,H,6,1,2,5,1,2,2,2,2,1,1,1,8,2,3
5418260,N92000002,H,2,1,1,1,1,1,1,1,1,4,2,-9,-9,-9,-9
5392758,N92000002,H,2,1,1,4,2,2,1,2,1,2,2,9,1,2,4
5320158,N92000002,H,1,1,2,7,5,2,1,1,1,3,2,1,2,11,3
5419110,N92000002,H,1,1,1,5,1,2,1,2,1,8,1,1,8,2,3
5270693,N92000002,H,1,1,1,6,1,2,1,2,1,1,1,5,8,6,3
5369373,N92000002,H,2,1,1,4,3,2,1,4,1,1,1,1,5,3,3
5370358,N92000002,H,1,1,1,4,3,2,1,1,1,7,1,1,9,2,3
5244493,N92000002,H,5,1,2,5,4,2,1,4,1,1,1,8,8,2,3
5394178,N92000002,H,2,1,2,7,2,2,1,1,1,1,1,5,7,4,3
5369633,N92000002,H,5,1,2,1,1,1,1,1,1,4,2,-9,-9,-9,-9
5271483,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5395488,N92000002,H,2,1,1,8,2,2,1,3,1,1,1,5,5,4,3
5371393,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5272218,N92000002,H,1,1,2,7,5,2,1,3,1,7,2,5,2,10,2
5396593,N92000002,H,2,1,2,5,2,2,1,2,1,5,2,7,8,4,3
5347903,N92000002,H,2,1,2,5,2,2,1,1,1,1,1,1,4,3,3
5422485,N92000002,H,2,1,2,3,1,2,1,1,1,1,1,1,3,12,3
5373038,N92000002,H,1,1,2,8,1,2,1,2,1,4,2,5,1,4,4
5373233,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5373788,N92000002,H,4,1,1,1,1,2,1,1,1,1,1,-9,-9,-9,-9
5298843,N92000002,H,2,1,1,1,1,2,1,1,1,1,1,-9,-9,-9,-9
5373933,N92000002,H,2,1,2,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5373603,N92000002,H,2,1,1,6,2,2,1,1,1,1,1,1,8,4,1
5423620,N92000002,H,2,1,1,5,2,2,1,2,1,1,1,1,1,4,3
5298988,N92000002,H,5,1,1,1,1,2,1,1,1,8,2,-9,-9,-9,-9
5249908,N92000002,H,2,1,2,1,1,1,1,1,2,7,4,-9,-9,-9,-9
5350333,N92000002,H,2,1,2,6,2,2,1,3,1,3,2,8,3,10,3
5423970,N92000002,H,2,1,1,5,2,2,1,1,1,3,2,1,4,3,4
5374948,N92000002,H,2,1,2,3,1,2,1,1,1,1,1,1,2,3,3
5251643,N92000002,H,2,1,1,3,2,2,1,1,1,5,2,2,1,4,3
5326353,N92000002,H,3,1,2,1,1,1,1,4,1,1,1,-9,-9,-9,-9
5375803,N92000002,H,3,1,1,2,1,2,2,1,1,1,1,1,5,2,3
5350878,N92000002,H,2,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5376838,N92000002,H,2,1,1,6,2,2,1,4,1,1,1,8,8,11,3
5278248,N92000002,H,2,1,2,2,2,2,1,2,1,3,2,1,6,11,2
5378473,N92000002,H,2,1,1,4,2,2,1,2,1,7,4,1,9,6,3
5378358,N92000002,H,1,1,2,6,3,2,1,3,1,3,2,8,6,11,2
5428533,N92000002,H,2,1,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9
5428200,N92000002,H,5,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5352988,N92000002,H,5,1,2,3,1,2,1,2,1,2,2,7,-9,-9,-9
5253863,N92000002,H,2,1,2,1,1,1,1,1,1,3,2,-9,-9,-9,-9
5254678,N92000002,H,2,1,1,1,1,2,1,2,1,2,2,-9,-9,-9,-9
5329603,N92000002,H,2,1,2,6,2,2,1,1,1,5,2,1,2,10,3
5355108,N92000002,H,3,1,2,5,4,2,1,1,1,3,2,1,4,9,3
5379964,N92000002,H,2,1,2,4,2,2,2,2,1,7,4,1,7,4,2
5404349,N92000002,H,2,1,2,1,1,1,1,1,1,8,2,-9,-9,-9,-9
5255873,N92000002,H,3,1,2,6,5,2,2,3,1,3,2,1,6,11,1
5330723,N92000002,H,1,1,2,6,4,2,1,4,1,8,1,5,6,11,4
5306358,N92000002,H,5,1,2,5,3,2,1,3,1,3,2,1,1,4,2
5332023,N92000002,H,2,1,1,6,2,2,1,1,1,2,2,1,2,6,3
5358063,N92000002,H,2,1,1,5,2,2,1,2,1,1,1,1,9,8,3
5258733,N92000002,H,2,1,1,6,2,2,1,2,1,1,1,2,8,3,4
5333608,N92000002,H,2,1,1,6,2,2,1,4,1,3,2,8,9,3,3
5308753,N92000002,H,2,1,1,5,2,2,1,2,1,3,2,1,7,4,3
5408479,N92000002,H,2,1,1,3,1,2,1,1,1,3,2,1,5,3,3
5359583,N92000002,H,2,1,2,2,1,1,1,1,1,1,1,6,-9,-9,-9
5384173,N92000002,H,2,1,2,5,2,2,1,1,1,4,2,7,4,8,3
5309608,N92000002,H,2,1,2,5,2,2,1,1,1,5,2,2,3,5,1
5235408,N92000002,H,4,1,1,5,1,2,1,1,1,7,2,1,5,3,3
5310173,N92000002,H,2,1,2,7,2,2,1,1,1,2,2,5,3,11,3
5410229,N92000002,H,2,1,1,2,1,1,1,1,1,5,2,6,-9,-9,-9
5236208,N92000002,H,2,1,2,6,2,2,1,3,1,1,1,1,8,2,3
5260843,N92000002,H,2,1,2,5,2,2,1,2,1,3,2,1,7,4,2
5360543,N92000002,H,2,1,2,1,1,1,1,1,1,1,1,-9,-9,-9,-9
5286083,N92000002,H,2,1,1,5,2,2,1,1,1,1,1,1,4,8,4
5413799,N92000002,H,5,1,2,1,1,2,1,1,1,1,1,-9,-9,-9,-9
5411679,N92000002,H,1,1,2,2,1,1,1,1,1,5,2,4,7,4,1
5387303,N92000002,H,5,1,2,3,1,2,1,1,1,1,1,1,9,11,2
5336263,N92000002,H,1,1,2,5,3,2,1,2,1,5,2,1,4,6,2
5339008,N92000002,H,3,1,1,4,3,2,1,2,1,2,2,8,3,2,3
5314198,N92000002,H,2,1,2,5,2,2,1,3,1,2,2,9,2,11,2
5431640,N92000002,C,-9,1,1,5,1,2,1,3,1,3,2,8,9,2,3
5261448,N92000002,H,2,1,1,4,2,2,1,1,1,1,1,1,3,9,3
5311803,N92000002,H,1,1,1,4,1,2,1,3,1,3,2,1,4,9,3
