District Council,Apartment,Detached,Semi-Detached,Terrace,Total Housing Stock
Antrim and Newtownabbey,6300,19398,14980,16937,57615
"Armagh City, Banbridge and Craigavon",4147,34751,19186,23770,81854
Belfast,32335,14674,40994,67378,155381
Causeway Coast and Glens,5331,28317,15505,13462,62615
Derry City and Strabane,6115,17801,15177,20925,60018
Fermanagh and Omagh,2514,28628,7946,8751,47839
Lisburn and Castlereagh,5369,21735,17027,13130,57261
Mid and East Antrim,5676,23195,12655,16781,58307
Mid Ulster,1900,28418,11307,10647,52272
"Newry, Mourne and Down",4507,32658,16106,14931,68202
Ards and North Down,7526,25497,19299,17447,69769
Northern Ireland,81720,275072,190182,224159,771133
