Council,Date,Financial,Value ($000)
Northland Region,2018,12 Other Expenses,0
Northland Region,2018,13 Total Expenditure,28694
Northland Region,2018,14 Net Surplus/Deficit,2025
Northland Region,2019,01 Rates,15219
Northland Region,2019,02 Development Contributions,0
Northland Region,2019,03 Subsidies,1407
Northland Region,2019,04 Investment Income,4520
Northland Region,2019,05 Vested Assets,0
Northland Region,2019,06 Asset Revaluations,0
Northland Region,2019,07 Other Income,10305
Northland Region,2019,08 Total Income,31451
Northland Region,2019,09 Direct Costs,27972
Northland Region,2019,10 Interest,1
Northland Region,2019,11 Depreciation,1321
Northland Region,2019,12 Other Expenses,0
Northland Region,2019,13 Total Expenditure,29294
Northland Region,2019,14 Net Surplus/Deficit,2157
Auckland Region,2010,01 Rates,155085
Auckland Region,2010,02 Development Contributions,0
Auckland Region,2010,03 Subsidies,10580
Auckland Region,2010,04 Investment Income,84424
Auckland Region,2010,05 Vested Assets,0
Auckland Region,2010,06 Asset Revaluations,0
Auckland Region,2010,07 Other Income,25217
Auckland Region,2010,08 Total Income,275306
Auckland Region,2010,09 Direct Costs,294436
Auckland Region,2010,10 Interest,5792
Auckland Region,2010,11 Depreciation,8957
Auckland Region,2010,12 Other Expenses,0
Auckland Region,2010,13 Total Expenditure,309185
Auckland Region,2010,14 Net Surplus/Deficit,-33879
Auckland Region,2011,01 Rates,163343
Auckland Region,2011,02 Development Contributions,0
Auckland Region,2011,03 Subsidies,4383
Auckland Region,2011,04 Investment Income,69451
Auckland Region,2011,05 Vested Assets,0
Auckland Region,2011,06 Asset Revaluations,0
Auckland Region,2011,07 Other Income,25093
Auckland Region,2011,08 Total Income,262270
Auckland Region,2011,09 Direct Costs,264056
Auckland Region,2011,10 Interest,8921
Auckland Region,2011,11 Depreciation,8777
Auckland Region,2011,12 Other Expenses,0
Auckland Region,2011,13 Total Expenditure,281754
Auckland Region,2011,14 Net Surplus/Deficit,-19484
Auckland Region,2012,01 Rates,172278
Auckland Region,2012,02 Development Contributions,0
Auckland Region,2012,03 Subsidies,3868
Auckland Region,2012,04 Investment Income,54726
Auckland Region,2012,05 Vested Assets,0
Auckland Region,2012,06 Asset Revaluations,0
Auckland Region,2012,07 Other Income,26251
Auckland Region,2012,08 Total Income,257123
Auckland Region,2012,09 Direct Costs,256329
Auckland Region,2012,10 Interest,11024
Auckland Region,2012,11 Depreciation,8029
Auckland Region,2012,12 Other Expenses,0
Auckland Region,2012,13 Total Expenditure,275382
Auckland Region,2012,14 Net Surplus/Deficit,-18259
Auckland Region,2013,01 Rates,184197
Auckland Region,2013,02 Development Contributions,0
Auckland Region,2013,03 Subsidies,3830
Auckland Region,2013,04 Investment Income,48596
Auckland Region,2013,05 Vested Assets,0
Auckland Region,2013,06 Asset Revaluations,0
Auckland Region,2013,07 Other Income,26500
Auckland Region,2013,08 Total Income,263123
Auckland Region,2013,09 Direct Costs,259088
Auckland Region,2013,10 Interest,13783
Auckland Region,2013,11 Depreciation,8404
Auckland Region,2013,12 Other Expenses,0
Auckland Region,2013,13 Total Expenditure,281275
Auckland Region,2013,14 Net Surplus/Deficit,-18152
Auckland Region,2014,01 Rates,199044
Auckland Region,2014,02 Development Contributions,0
Auckland Region,2014,03 Subsidies,3964
Auckland Region,2014,04 Investment Income,51781
Auckland Region,2014,05 Vested Assets,0
Auckland Region,2014,06 Asset Revaluations,0
Auckland Region,2014,07 Other Income,27065
Auckland Region,2014,08 Total Income,281854
Auckland Region,2014,09 Direct Costs,263880
Auckland Region,2014,10 Interest,17216
Auckland Region,2014,11 Depreciation,8698
Auckland Region,2014,12 Other Expenses,0
Auckland Region,2014,13 Total Expenditure,289794
Auckland Region,2014,14 Net Surplus/Deficit,-7940
Auckland Region,2015,01 Rates,213238
Auckland Region,2015,02 Development Contributions,0
Auckland Region,2015,03 Subsidies,4104
Auckland Region,2015,04 Investment Income,43681
Auckland Region,2015,05 Vested Assets,0
Auckland Region,2015,06 Asset Revaluations,0
Auckland Region,2015,07 Other Income,27789
Auckland Region,2015,08 Total Income,288812
Auckland Region,2015,09 Direct Costs,266849
Auckland Region,2015,10 Interest,17207
Auckland Region,2015,11 Depreciation,8205
Auckland Region,2015,12 Other Expenses,0
Auckland Region,2015,13 Total Expenditure,292261
Auckland Region,2015,14 Net Surplus/Deficit,-3449
Auckland Region,2016,01 Rates,226747
Auckland Region,2016,02 Development Contributions,0
Auckland Region,2016,03 Subsidies,4251
Auckland Region,2016,04 Investment Income,38632
Auckland Region,2016,05 Vested Assets,0
Auckland Region,2016,06 Asset Revaluations,0
Auckland Region,2016,07 Other Income,28511
Auckland Region,2016,08 Total Income,298141
Auckland Region,2016,09 Direct Costs,273272
Auckland Region,2016,10 Interest,16716
Auckland Region,2016,11 Depreciation,8470
Auckland Region,2016,12 Other Expenses,0
Auckland Region,2016,13 Total Expenditure,298458
Auckland Region,2016,14 Net Surplus/Deficit,-317
Auckland Region,2017,01 Rates,236039
Auckland Region,2017,02 Development Contributions,0
Auckland Region,2017,03 Subsidies,4401
Auckland Region,2017,04 Investment Income,34149
Auckland Region,2017,05 Vested Assets,0
Auckland Region,2017,06 Asset Revaluations,0
Auckland Region,2017,07 Other Income,29300
Auckland Region,2017,08 Total Income,303889
Auckland Region,2017,09 Direct Costs,277820
Auckland Region,2017,10 Interest,18330
Auckland Region,2017,11 Depreciation,8601
Auckland Region,2017,12 Other Expenses,0
Auckland Region,2017,13 Total Expenditure,304751
Auckland Region,2017,14 Net Surplus/Deficit,-862
Auckland Region,2018,01 Rates,246420
Auckland Region,2018,02 Development Contributions,0
Auckland Region,2018,03 Subsidies,4560
Auckland Region,2018,04 Investment Income,36835
Auckland Region,2018,05 Vested Assets,0
Auckland Region,2018,06 Asset Revaluations,0
Auckland Region,2018,07 Other Income,30400
Auckland Region,2018,08 Total Income,318215
Auckland Region,2018,09 Direct Costs,289129
Auckland Region,2018,10 Interest,17625
Auckland Region,2018,11 Depreciation,8901
Auckland Region,2018,12 Other Expenses,0
Auckland Region,2018,13 Total Expenditure,315655
Auckland Region,2018,14 Net Surplus/Deficit,2560
Auckland Region,2019,01 Rates,255554
Auckland Region,2019,02 Development Contributions,0
Auckland Region,2019,03 Subsidies,4726
Auckland Region,2019,04 Investment Income,29494
Auckland Region,2019,05 Vested Assets,0
Auckland Region,2019,06 Asset Revaluations,0
Auckland Region,2019,07 Other Income,31244
Auckland Region,2019,08 Total Income,321018
Auckland Region,2019,09 Direct Costs,291616
Auckland Region,2019,10 Interest,17016
Auckland Region,2019,11 Depreciation,9198
Auckland Region,2019,12 Other Expenses,0
Auckland Region,2019,13 Total Expenditure,317830
Auckland Region,2019,14 Net Surplus/Deficit,3188
Waikato Region,2010,01 Rates,66418
Waikato Region,2010,02 Development Contributions,0
Waikato Region,2010,03 Subsidies,11180
Waikato Region,2010,04 Investment Income,2706
Waikato Region,2010,05 Vested Assets,0
Waikato Region,2010,06 Asset Revaluations,0
Waikato Region,2010,07 Other Income,16597
Waikato Region,2010,08 Total Income,96901
Waikato Region,2010,09 Direct Costs,88764
Waikato Region,2010,10 Interest,0
Waikato Region,2010,11 Depreciation,6869
Waikato Region,2010,12 Other Expenses,0
Waikato Region,2010,13 Total Expenditure,95633
Waikato Region,2010,14 Net Surplus/Deficit,1268
Waikato Region,2011,01 Rates,69300
Waikato Region,2011,02 Development Contributions,0
Waikato Region,2011,03 Subsidies,10646
Waikato Region,2011,04 Investment Income,2906
Waikato Region,2011,05 Vested Assets,0
Waikato Region,2011,06 Asset Revaluations,29623
Waikato Region,2011,07 Other Income,17513
Waikato Region,2011,08 Total Income,129988
Waikato Region,2011,09 Direct Costs,91561
Waikato Region,2011,10 Interest,0
Waikato Region,2011,11 Depreciation,6961
Waikato Region,2011,12 Other Expenses,0
Waikato Region,2011,13 Total Expenditure,98522
Waikato Region,2011,14 Net Surplus/Deficit,31466
Waikato Region,2012,01 Rates,73242
Waikato Region,2012,02 Development Contributions,0
Waikato Region,2012,03 Subsidies,10897
Waikato Region,2012,04 Investment Income,2906
Waikato Region,2012,05 Vested Assets,0
Waikato Region,2012,06 Asset Revaluations,0
Waikato Region,2012,07 Other Income,18151
Waikato Region,2012,08 Total Income,105196
Waikato Region,2012,09 Direct Costs,95888
Waikato Region,2012,10 Interest,0
Waikato Region,2012,11 Depreciation,7013
Waikato Region,2012,12 Other Expenses,0
Waikato Region,2012,13 Total Expenditure,102901
Waikato Region,2012,14 Net Surplus/Deficit,2295
Waikato Region,2013,01 Rates,76344
Waikato Region,2013,02 Development Contributions,0
Waikato Region,2013,03 Subsidies,11321
Waikato Region,2013,04 Investment Income,3100
Waikato Region,2013,05 Vested Assets,0
Waikato Region,2013,06 Asset Revaluations,0
Waikato Region,2013,07 Other Income,20066
Waikato Region,2013,08 Total Income,110831
Waikato Region,2013,09 Direct Costs,100645
Waikato Region,2013,10 Interest,0
Waikato Region,2013,11 Depreciation,7064
Waikato Region,2013,12 Other Expenses,0
Waikato Region,2013,13 Total Expenditure,107709
Waikato Region,2013,14 Net Surplus/Deficit,3122
Waikato Region,2014,01 Rates,79769
Waikato Region,2014,02 Development Contributions,0
Waikato Region,2014,03 Subsidies,12030
Waikato Region,2014,04 Investment Income,3350
Waikato Region,2014,05 Vested Assets,0
Waikato Region,2014,06 Asset Revaluations,34549
Waikato Region,2014,07 Other Income,20942
Waikato Region,2014,08 Total Income,150640
Waikato Region,2014,09 Direct Costs,106295
Waikato Region,2014,10 Interest,0
Waikato Region,2014,11 Depreciation,7127
Waikato Region,2014,12 Other Expenses,0
Waikato Region,2014,13 Total Expenditure,113422
Waikato Region,2014,14 Net Surplus/Deficit,37218
Waikato Region,2015,01 Rates,82498
Waikato Region,2015,02 Development Contributions,0
Waikato Region,2015,03 Subsidies,13150
Waikato Region,2015,04 Investment Income,3600
Waikato Region,2015,05 Vested Assets,0
Waikato Region,2015,06 Asset Revaluations,0
Waikato Region,2015,07 Other Income,22033
Waikato Region,2015,08 Total Income,121281
Waikato Region,2015,09 Direct Costs,111658
Waikato Region,2015,10 Interest,0
Waikato Region,2015,11 Depreciation,7183
Waikato Region,2015,12 Other Expenses,0
Waikato Region,2015,13 Total Expenditure,118841
Waikato Region,2015,14 Net Surplus/Deficit,2440
Waikato Region,2016,01 Rates,85561
Waikato Region,2016,02 Development Contributions,0
Waikato Region,2016,03 Subsidies,14157
Waikato Region,2016,04 Investment Income,3600
Waikato Region,2016,05 Vested Assets,0
Waikato Region,2016,06 Asset Revaluations,0
Waikato Region,2016,07 Other Income,23897
Waikato Region,2016,08 Total Income,127215
Waikato Region,2016,09 Direct Costs,117598
Waikato Region,2016,10 Interest,0
Waikato Region,2016,11 Depreciation,7232
Waikato Region,2016,12 Other Expenses,0
Waikato Region,2016,13 Total Expenditure,124830
Waikato Region,2016,14 Net Surplus/Deficit,2385
Waikato Region,2017,01 Rates,89789
Waikato Region,2017,02 Development Contributions,0
Waikato Region,2017,03 Subsidies,14401
Waikato Region,2017,04 Investment Income,3600
Waikato Region,2017,05 Vested Assets,0
Waikato Region,2017,06 Asset Revaluations,45096
Waikato Region,2017,07 Other Income,25231
Waikato Region,2017,08 Total Income,178117
Waikato Region,2017,09 Direct Costs,123642
Waikato Region,2017,10 Interest,0
Waikato Region,2017,11 Depreciation,7282
Waikato Region,2017,12 Other Expenses,0
Waikato Region,2017,13 Total Expenditure,130924
Waikato Region,2017,14 Net Surplus/Deficit,47193
Waikato Region,2018,01 Rates,93019
Waikato Region,2018,02 Development Contributions,0
Waikato Region,2018,03 Subsidies,15188
Waikato Region,2018,04 Investment Income,3600
Waikato Region,2018,05 Vested Assets,0
Waikato Region,2018,06 Asset Revaluations,0
Waikato Region,2018,07 Other Income,27504
Waikato Region,2018,08 Total Income,139311
Waikato Region,2018,09 Direct Costs,129492
Waikato Region,2018,10 Interest,0
Waikato Region,2018,11 Depreciation,7332
Waikato Region,2018,12 Other Expenses,0
Waikato Region,2018,13 Total Expenditure,136824
Waikato Region,2018,14 Net Surplus/Deficit,2487
Waikato Region,2019,01 Rates,92790
Waikato Region,2019,02 Development Contributions,0
Waikato Region,2019,03 Subsidies,16132
Waikato Region,2019,04 Investment Income,3600
Waikato Region,2019,05 Vested Assets,0
Waikato Region,2019,06 Asset Revaluations,0
Waikato Region,2019,07 Other Income,29031
Waikato Region,2019,08 Total Income,141553
Waikato Region,2019,09 Direct Costs,131525
Waikato Region,2019,10 Interest,0
Waikato Region,2019,11 Depreciation,7382
Waikato Region,2019,12 Other Expenses,0
Waikato Region,2019,13 Total Expenditure,138907
Waikato Region,2019,14 Net Surplus/Deficit,2646
Bay of Plenty Region,2010,01 Rates,23642
Bay of Plenty Region,2010,02 Development Contributions,0
Bay of Plenty Region,2010,03 Subsidies,13578
Bay of Plenty Region,2010,04 Investment Income,22483
Bay of Plenty Region,2010,05 Vested Assets,2100
Bay of Plenty Region,2010,06 Asset Revaluations,7419
Bay of Plenty Region,2010,07 Other Income,7687
Bay of Plenty Region,2010,08 Total Income,76909
Bay of Plenty Region,2010,09 Direct Costs,64607
Bay of Plenty Region,2010,10 Interest,0
Bay of Plenty Region,2010,11 Depreciation,3770
Bay of Plenty Region,2010,12 Other Expenses,0
Bay of Plenty Region,2010,13 Total Expenditure,68377
Bay of Plenty Region,2010,14 Net Surplus/Deficit,8532
Bay of Plenty Region,2011,01 Rates,26983
Bay of Plenty Region,2011,02 Development Contributions,0
Bay of Plenty Region,2011,03 Subsidies,16506
Bay of Plenty Region,2011,04 Investment Income,24658
Bay of Plenty Region,2011,05 Vested Assets,0
Bay of Plenty Region,2011,06 Asset Revaluations,6108
Bay of Plenty Region,2011,07 Other Income,9828
Bay of Plenty Region,2011,08 Total Income,84083
Bay of Plenty Region,2011,09 Direct Costs,76037
Bay of Plenty Region,2011,10 Interest,137
Bay of Plenty Region,2011,11 Depreciation,4558
Bay of Plenty Region,2011,12 Other Expenses,0
Bay of Plenty Region,2011,13 Total Expenditure,80732
Bay of Plenty Region,2011,14 Net Surplus/Deficit,3351
Bay of Plenty Region,2012,01 Rates,29795
Bay of Plenty Region,2012,02 Development Contributions,0
Bay of Plenty Region,2012,03 Subsidies,16978
Bay of Plenty Region,2012,04 Investment Income,27736
Bay of Plenty Region,2012,05 Vested Assets,0
Bay of Plenty Region,2012,06 Asset Revaluations,7003
Bay of Plenty Region,2012,07 Other Income,9237
Bay of Plenty Region,2012,08 Total Income,90749
Bay of Plenty Region,2012,09 Direct Costs,91756
Bay of Plenty Region,2012,10 Interest,411
Bay of Plenty Region,2012,11 Depreciation,5211
Bay of Plenty Region,2012,12 Other Expenses,0
Bay of Plenty Region,2012,13 Total Expenditure,97378
Bay of Plenty Region,2012,14 Net Surplus/Deficit,-6629
Bay of Plenty Region,2013,01 Rates,32351
Bay of Plenty Region,2013,02 Development Contributions,0
Bay of Plenty Region,2013,03 Subsidies,17646
Bay of Plenty Region,2013,04 Investment Income,26101
Bay of Plenty Region,2013,05 Vested Assets,0
Bay of Plenty Region,2013,06 Asset Revaluations,7291
Bay of Plenty Region,2013,07 Other Income,9502
Bay of Plenty Region,2013,08 Total Income,92891
Bay of Plenty Region,2013,09 Direct Costs,89103
Bay of Plenty Region,2013,10 Interest,655
Bay of Plenty Region,2013,11 Depreciation,6088
Bay of Plenty Region,2013,12 Other Expenses,0
Bay of Plenty Region,2013,13 Total Expenditure,95846
Bay of Plenty Region,2013,14 Net Surplus/Deficit,-2955
Bay of Plenty Region,2014,01 Rates,35991
Bay of Plenty Region,2014,02 Development Contributions,0
Bay of Plenty Region,2014,03 Subsidies,11872
Bay of Plenty Region,2014,04 Investment Income,24955
Bay of Plenty Region,2014,05 Vested Assets,0
Bay of Plenty Region,2014,06 Asset Revaluations,8325
Bay of Plenty Region,2014,07 Other Income,11790
Bay of Plenty Region,2014,08 Total Income,92933
Bay of Plenty Region,2014,09 Direct Costs,85952
Bay of Plenty Region,2014,10 Interest,878
Bay of Plenty Region,2014,11 Depreciation,7019
Bay of Plenty Region,2014,12 Other Expenses,0
Bay of Plenty Region,2014,13 Total Expenditure,93849
Bay of Plenty Region,2014,14 Net Surplus/Deficit,-916
Bay of Plenty Region,2015,01 Rates,39541
Bay of Plenty Region,2015,02 Development Contributions,0
Bay of Plenty Region,2015,03 Subsidies,13252
Bay of Plenty Region,2015,04 Investment Income,25168
Bay of Plenty Region,2015,05 Vested Assets,0
Bay of Plenty Region,2015,06 Asset Revaluations,8738
Bay of Plenty Region,2015,07 Other Income,7882
Bay of Plenty Region,2015,08 Total Income,94581
Bay of Plenty Region,2015,09 Direct Costs,89836
Bay of Plenty Region,2015,10 Interest,936
Bay of Plenty Region,2015,11 Depreciation,7443
Bay of Plenty Region,2015,12 Other Expenses,0
Bay of Plenty Region,2015,13 Total Expenditure,98215
Bay of Plenty Region,2015,14 Net Surplus/Deficit,-3634
Bay of Plenty Region,2016,01 Rates,43398
Bay of Plenty Region,2016,02 Development Contributions,0
Bay of Plenty Region,2016,03 Subsidies,15118
Bay of Plenty Region,2016,04 Investment Income,25694
Bay of Plenty Region,2016,05 Vested Assets,0
Bay of Plenty Region,2016,06 Asset Revaluations,8822
Bay of Plenty Region,2016,07 Other Income,18446
Bay of Plenty Region,2016,08 Total Income,111478
Bay of Plenty Region,2016,09 Direct Costs,84551
Bay of Plenty Region,2016,10 Interest,820
Bay of Plenty Region,2016,11 Depreciation,7698
Bay of Plenty Region,2016,12 Other Expenses,0
Bay of Plenty Region,2016,13 Total Expenditure,93069
Bay of Plenty Region,2016,14 Net Surplus/Deficit,18409
Bay of Plenty Region,2017,01 Rates,48076
Bay of Plenty Region,2017,02 Development Contributions,0
Bay of Plenty Region,2017,03 Subsidies,17134
Bay of Plenty Region,2017,04 Investment Income,26706
Bay of Plenty Region,2017,05 Vested Assets,0
Bay of Plenty Region,2017,06 Asset Revaluations,8080
Bay of Plenty Region,2017,07 Other Income,9350
Bay of Plenty Region,2017,08 Total Income,109346
Bay of Plenty Region,2017,09 Direct Costs,93576
Bay of Plenty Region,2017,10 Interest,705
Bay of Plenty Region,2017,11 Depreciation,8071
Bay of Plenty Region,2017,12 Other Expenses,0
Bay of Plenty Region,2017,13 Total Expenditure,102352
Bay of Plenty Region,2017,14 Net Surplus/Deficit,6994
Bay of Plenty Region,2018,01 Rates,51012
Bay of Plenty Region,2018,02 Development Contributions,0
Bay of Plenty Region,2018,03 Subsidies,16593
Bay of Plenty Region,2018,04 Investment Income,28069
Bay of Plenty Region,2018,05 Vested Assets,0
Bay of Plenty Region,2018,06 Asset Revaluations,8582
Bay of Plenty Region,2018,07 Other Income,14741
Bay of Plenty Region,2018,08 Total Income,118997
Bay of Plenty Region,2018,09 Direct Costs,95752
Bay of Plenty Region,2018,10 Interest,590
Bay of Plenty Region,2018,11 Depreciation,7987
Bay of Plenty Region,2018,12 Other Expenses,0
Bay of Plenty Region,2018,13 Total Expenditure,104329
Bay of Plenty Region,2018,14 Net Surplus/Deficit,14668
Bay of Plenty Region,2019,01 Rates,54776
Bay of Plenty Region,2019,02 Development Contributions,0
Bay of Plenty Region,2019,03 Subsidies,17762
Bay of Plenty Region,2019,04 Investment Income,29473
Bay of Plenty Region,2019,05 Vested Assets,0
Bay of Plenty Region,2019,06 Asset Revaluations,9102
Bay of Plenty Region,2019,07 Other Income,14985
Bay of Plenty Region,2019,08 Total Income,126098
Bay of Plenty Region,2019,09 Direct Costs,101232
Bay of Plenty Region,2019,10 Interest,475
Bay of Plenty Region,2019,11 Depreciation,7909
Bay of Plenty Region,2019,12 Other Expenses,0
Bay of Plenty Region,2019,13 Total Expenditure,109616
Bay of Plenty Region,2019,14 Net Surplus/Deficit,16482
Hawke's Bay Region,2010,01 Rates,13174
Hawke's Bay Region,2010,02 Development Contributions,0
Hawke's Bay Region,2010,03 Subsidies,2132
Hawke's Bay Region,2010,04 Investment Income,12409
Hawke's Bay Region,2010,05 Vested Assets,0
Hawke's Bay Region,2010,06 Asset Revaluations,2870
Hawke's Bay Region,2010,07 Other Income,5823
Hawke's Bay Region,2010,08 Total Income,36408
Hawke's Bay Region,2010,09 Direct Costs,29963
Hawke's Bay Region,2010,10 Interest,645
Hawke's Bay Region,2010,11 Depreciation,1815
Hawke's Bay Region,2010,12 Other Expenses,0
Hawke's Bay Region,2010,13 Total Expenditure,32423
Hawke's Bay Region,2010,14 Net Surplus/Deficit,3985
Hawke's Bay Region,2011,01 Rates,14592
Hawke's Bay Region,2011,02 Development Contributions,0
Hawke's Bay Region,2011,03 Subsidies,2814
Hawke's Bay Region,2011,04 Investment Income,13477
Hawke's Bay Region,2011,05 Vested Assets,0
Hawke's Bay Region,2011,06 Asset Revaluations,20293
Hawke's Bay Region,2011,07 Other Income,6299
Hawke's Bay Region,2011,08 Total Income,57475
Hawke's Bay Region,2011,09 Direct Costs,32496
Hawke's Bay Region,2011,10 Interest,995
Hawke's Bay Region,2011,11 Depreciation,1922
Hawke's Bay Region,2011,12 Other Expenses,0
Hawke's Bay Region,2011,13 Total Expenditure,35413
Hawke's Bay Region,2011,14 Net Surplus/Deficit,22062
Hawke's Bay Region,2012,01 Rates,15527
Hawke's Bay Region,2012,02 Development Contributions,0
Hawke's Bay Region,2012,03 Subsidies,3551
Hawke's Bay Region,2012,04 Investment Income,15891
Hawke's Bay Region,2012,05 Vested Assets,0
Hawke's Bay Region,2012,06 Asset Revaluations,6317
Hawke's Bay Region,2012,07 Other Income,6798
Hawke's Bay Region,2012,08 Total Income,48084
Hawke's Bay Region,2012,09 Direct Costs,34261
Hawke's Bay Region,2012,10 Interest,1341
Hawke's Bay Region,2012,11 Depreciation,2017
Hawke's Bay Region,2012,12 Other Expenses,0
Hawke's Bay Region,2012,13 Total Expenditure,37619
Hawke's Bay Region,2012,14 Net Surplus/Deficit,10465
Hawke's Bay Region,2013,01 Rates,16139
Hawke's Bay Region,2013,02 Development Contributions,0
Hawke's Bay Region,2013,03 Subsidies,3875
Hawke's Bay Region,2013,04 Investment Income,17386
Hawke's Bay Region,2013,05 Vested Assets,0
Hawke's Bay Region,2013,06 Asset Revaluations,928
Hawke's Bay Region,2013,07 Other Income,6840
Hawke's Bay Region,2013,08 Total Income,45168
Hawke's Bay Region,2013,09 Direct Costs,35113
Hawke's Bay Region,2013,10 Interest,1653
Hawke's Bay Region,2013,11 Depreciation,2021
Hawke's Bay Region,2013,12 Other Expenses,0
Hawke's Bay Region,2013,13 Total Expenditure,38787
Hawke's Bay Region,2013,14 Net Surplus/Deficit,6381
Hawke's Bay Region,2014,01 Rates,16131
Hawke's Bay Region,2014,02 Development Contributions,0
Hawke's Bay Region,2014,03 Subsidies,4024
Hawke's Bay Region,2014,04 Investment Income,19455
Hawke's Bay Region,2014,05 Vested Assets,0
Hawke's Bay Region,2014,06 Asset Revaluations,15859
