Council,Date,Financial,Value ($000)
Northland Region,2010,01 Rates,12018
Northland Region,2010,02 Development Contributions,0
Northland Region,2010,03 Subsidies,1203
Northland Region,2010,04 Investment Income,4575
Northland Region,2010,05 Vested Assets,0
Northland Region,2010,06 Asset Revaluations,231
Northland Region,2010,07 Other Income,7401
Northland Region,2010,08 Total Income,25429
Northland Region,2010,09 Direct Costs,36403
Northland Region,2010,10 Interest,1
Northland Region,2010,11 Depreciation,1063
Northland Region,2010,12 Other Expenses,0
Northland Region,2010,13 Total Expenditure,37467
Northland Region,2010,14 Net Surplus/Deficit,-12038
Northland Region,2011,01 Rates,12868
Northland Region,2011,02 Development Contributions,0
Northland Region,2011,03 Subsidies,1206
Northland Region,2011,04 Investment Income,4106
Northland Region,2011,05 Vested Assets,0
Northland Region,2011,06 Asset Revaluations,0
Northland Region,2011,07 Other Income,7285
Northland Region,2011,08 Total Income,25465
Northland Region,2011,09 Direct Costs,23760
Northland Region,2011,10 Interest,1
Northland Region,2011,11 Depreciation,1098
Northland Region,2011,12 Other Expenses,0
Northland Region,2011,13 Total Expenditure,24859
Northland Region,2011,14 Net Surplus/Deficit,606
Northland Region,2012,01 Rates,13135
Northland Region,2012,02 Development Contributions,0
Northland Region,2012,03 Subsidies,1233
Northland Region,2012,04 Investment Income,4142
Northland Region,2012,05 Vested Assets,0
Northland Region,2012,06 Asset Revaluations,0
Northland Region,2012,07 Other Income,7510
Northland Region,2012,08 Total Income,26019
Northland Region,2012,09 Direct Costs,24277
Northland Region,2012,10 Interest,1
Northland Region,2012,11 Depreciation,1125
Northland Region,2012,12 Other Expenses,0
Northland Region,2012,13 Total Expenditure,25403
Northland Region,2012,14 Net Surplus/Deficit,616
Northland Region,2013,01 Rates,13416
Northland Region,2013,02 Development Contributions,0
Northland Region,2013,03 Subsidies,1252
Northland Region,2013,04 Investment Income,4181
Northland Region,2013,05 Vested Assets,0
Northland Region,2013,06 Asset Revaluations,0
Northland Region,2013,07 Other Income,9026
Northland Region,2013,08 Total Income,27875
Northland Region,2013,09 Direct Costs,24577
Northland Region,2013,10 Interest,1
Northland Region,2013,11 Depreciation,1152
Northland Region,2013,12 Other Expenses,0
Northland Region,2013,13 Total Expenditure,25731
Northland Region,2013,14 Net Surplus/Deficit,2144
Northland Region,2014,01 Rates,13615
Northland Region,2014,02 Development Contributions,0
Northland Region,2014,03 Subsidies,1279
Northland Region,2014,04 Investment Income,4260
Northland Region,2014,05 Vested Assets,0
Northland Region,2014,06 Asset Revaluations,0
Northland Region,2014,07 Other Income,9167
Northland Region,2014,08 Total Income,28320
Northland Region,2014,09 Direct Costs,24973
Northland Region,2014,10 Interest,1
Northland Region,2014,11 Depreciation,1176
Northland Region,2014,12 Other Expenses,0
Northland Region,2014,13 Total Expenditure,26150
Northland Region,2014,14 Net Surplus/Deficit,2170
Northland Region,2015,01 Rates,13987
Northland Region,2015,02 Development Contributions,0
Northland Region,2015,03 Subsidies,1343
Northland Region,2015,04 Investment Income,4305
Northland Region,2015,05 Vested Assets,0
Northland Region,2015,06 Asset Revaluations,881
Northland Region,2015,07 Other Income,9578
Northland Region,2015,08 Total Income,30094
Northland Region,2015,09 Direct Costs,25986
Northland Region,2015,10 Interest,1
Northland Region,2015,11 Depreciation,1202
Northland Region,2015,12 Other Expenses,0
Northland Region,2015,13 Total Expenditure,27190
Northland Region,2015,14 Net Surplus/Deficit,2904
Northland Region,2016,01 Rates,14276
Northland Region,2016,02 Development Contributions,0
Northland Region,2016,03 Subsidies,1324
Northland Region,2016,04 Investment Income,4353
Northland Region,2016,05 Vested Assets,0
Northland Region,2016,06 Asset Revaluations,0
Northland Region,2016,07 Other Income,9846
Northland Region,2016,08 Total Income,29799
Northland Region,2016,09 Direct Costs,25981
Northland Region,2016,10 Interest,1
Northland Region,2016,11 Depreciation,1230
Northland Region,2016,12 Other Expenses,0
Northland Region,2016,13 Total Expenditure,27212
Northland Region,2016,14 Net Surplus/Deficit,2587
Northland Region,2017,01 Rates,14573
Northland Region,2017,02 Development Contributions,0
Northland Region,2017,03 Subsidies,1350
Northland Region,2017,04 Investment Income,4405
Northland Region,2017,05 Vested Assets,0
Northland Region,2017,06 Asset Revaluations,0
Northland Region,2017,07 Other Income,9952
Northland Region,2017,08 Total Income,30280
Northland Region,2017,09 Direct Costs,26715
Northland Region,2017,10 Interest,1
Northland Region,2017,11 Depreciation,1258
Northland Region,2017,12 Other Expenses,0
Northland Region,2017,13 Total Expenditure,27975
Northland Region,2017,14 Net Surplus/Deficit,2305
Northland Region,2018,01 Rates,14886
Northland Region,2018,02 Development Contributions,0
Northland Region,2018,03 Subsidies,1389
Northland Region,2018,04 Investment Income,4461
Northland Region,2018,05 Vested Assets,0
Northland Region,2018,06 Asset Revaluations,0
Northland Region,2018,07 Other Income,9984
Northland Region,2018,08 Total Income,30720
Northland Region,2018,09 Direct Costs,27405
Northland Region,2018,10 Interest,1
Northland Region,2018,11 Depreciation,1289
