objectid_1,objectid,pghdbsdeGreenwayarea,perimeter,greenway_,greenway_i,name,acres,sqmiles,nhood,dpwdiv,shape_leng,date_resol
1,2,2361330,21532.099609,7,1,SPRING HILL/SPRING GARDEN,54.208931,0.084701, ,0,21532.104694,6/29/1981
2,17,2679890,28271.5,1,3,DUQUESNE HEIGHTS,61.522015,0.096128, ,0,28271.46514,9/17/1984
3,23,5650180,31202,0,4,BEECHVIEW-SELDOM SEEN,129.710739,0.202673, ,0,31202.045653,7/15/1985
6,0,3136220,26922,4,6,MOORE,71.997948,0.112497, ,0,26922.017619,10/20/2006
4,25,5815600,41209.898438,3,2,HAZELWOOD,139.277527,0.217621, ,0,41209.88573,3/28/1983
5,47,559893,18576.300781,6,7,PERRY SOUTH,12.853433,0.020083, ,0,18576.343088,3/2/2010
7,0,1335410,21972.099609,2,5,FAIRHAVEN,30.656847,0.047901, ,0,21972.118807,10/20/2006
8,24771,779360,22591.5,5,8,OBSERVATORY HILL HOLLOWS,18.089636,0.028265, ,0,22591.518013,11/3/2010
12,,196935.953125,3822.361084,,12,NINE MILE RUN,4.521046,0.007064,,0,,5/11/2012
9,0,1521790,24508,0,9,ALLEGHENY RIVER,34.935688,0.054587, ,0,24508.027115,3/8/2011
10,0,219760,6321.649902,0,10,OAKCLIFFE,5.045013,0.007883, ,0,6321.648193,4/6/2011
11,0,2074955,55200.765625,0,11,BIGELOW,47.634602,0.074429,,0,721.50024,5/11/2012
