X,Y,TEMA,SURVEY,SYMBOLNUMB,OBJECTID
-5.813607221800281,54.850010902879518,PRINC_STAT,20020320,319,1
-5.813967239978568,54.850218983094173,PRINC_STAT,0,319,2
-5.672182352714052,54.658693733970729,PRINC_STAT,20020701,319,3
-6.045737437306252,54.514015168246573,PRINC_STAT,20030601,319,4
-5.921833035444669,54.612228583695476,PRINC_STAT,20020701,319,5
-5.917277370680346,54.594946701295271,PRINC_STAT,20020701,319,6
-5.938578817098872,54.594461226207478,PRINC_STAT,20020701,319,7
-6.284926712733042,54.864241546918521,PRINC_STAT,20020320,319,8
-6.21146242430678,54.718145183034821,PRINC_STAT,0,319,9
-6.337747842559818,54.467417835475139,PRINC_STAT,20030601,319,10
-6.442970038181817,54.426325816315043,PRINC_STAT,20030601,319,11
-6.653643186020085,55.203595325638027,PRINC_STAT,20030113,319,12
-6.513536374529592,55.066713987727901,PRINC_STAT,20030113,319,13
-6.662137707322415,55.13346437918856,PRINC_STAT,20030113,319,14
-7.313678583521748,54.99198033924462,PRINC_STAT,20040709,319,15
-5.798813327592269,54.848237695895563,STATION,0,318,16
-5.766717753561331,54.81541851560187,STATION,0,318,17
-5.807023445164638,54.826973926803426,STATION,20020320,318,18
-5.692785239642323,54.659433057544419,STATION,20020701,318,19
-5.705571882185098,54.666064578773074,STATION,20020701,318,20
-5.721638255816681,54.663721081698704,STATION,20020701,318,21
-5.739982716636621,54.666119366931625,STATION,20020701,318,22
-5.767607546706287,54.661025797661537,STATION,20020701,318,23
-5.804642459909202,54.652468710894894,STATION,20020701,318,24
-5.809570414422264,54.717624414801342,STATION,20020701,318,25
-5.816485604362037,54.717558092290218,STATION,20020701,318,26
-5.789899566576961,54.721198778008322,STATION,20020701,318,27
-5.70960934819312,54.752756462183413,STATION,20020701,318,28
-5.725488983317543,54.776597826725059,STATION,20020701,318,29
-5.817427456570611,54.647097189591527,STATION,20020701,318,30
-5.904364281658785,54.672976055129133,STATION,20020701,318,31
-5.895329419262027,54.686964552903106,STATION,20020701,318,32
-5.873246433095066,54.700210385891808,STATION,20020701,318,33
-5.84870467098295,54.710523985002212,STATION,20020701,318,34
-5.951897316834898,54.696964773294873,STATION,20050802,318,35
-6.002590244018025,54.553582185955115,STATION,20030601,318,36
-6.018035146913598,54.541784756629632,STATION,20030601,318,37
-6.029331565551732,54.530015240271325,STATION,20030601,318,38
-6.029163898674975,54.522738292836706,STATION,20030601,318,39
-6.067766673608417,54.511334998989412,STATION,20030601,318,40
-5.986014786965895,54.564077121798235,STATION,20020701,318,41
-5.970088368448991,54.568057150588295,STATION,20020701,318,42
-5.955283757108135,54.578221363483365,STATION,20020701,318,43
-5.932257505334758,54.588480777646133,STATION,20020701,318,44
-5.907785279160315,54.601673021546368,STATION,20020701,318,45
-5.894842893686641,54.602984891814693,STATION,20020701,318,46
-5.885205548961264,54.605482326862713,STATION,20020701,318,47
-5.876575749283473,54.609442772036267,STATION,20020701,318,48
-5.839709202640945,54.641060446653739,STATION,20020701,318,49
-5.940241550804853,54.588792366821295,STATION,20020701,318,50
-6.344349593002511,54.888224829594336,STATION,19990719,318,51
-6.213169881192862,54.492218886793893,STATION,20030601,318,52
-6.203494809939984,54.544319997762294,STATION,20030601,318,53
-6.21175217508224,54.621170289039398,STATION,0,318,54
-6.21493907040912,54.588855062815831,STATION,20000503,318,55
-6.366249891497262,54.332552419860953,STATION,20030601,318,56
-6.362957378150146,54.189001875712414,STATION,20040906,318,57
-6.528720576211914,55.206871098246033,STATION,20030113,318,58
-6.516831374967582,55.232308088251443,STATION,20030113,318,59
-6.66128268796907,55.196288886154996,STATION,20030113,318,60
-6.668201279719849,55.150477388750033,STATION,20030113,318,61
-6.951767812914016,55.126648448351077,STATION,20030113,318,62
-6.786868196365773,55.165101132147804,STATION,20030113,318,63
